method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,0,0,0.2772510599970701,BirdChicken,0
shapley_sampling,0,0,0.92228178899677,BirdChicken,0
feature_ablation,0,0,0.03890682999917772,BirdChicken,0
mrsqm,0,0,2.109899651259184e-05,BirdChicken,0
hydra,0,0,0.28124345300602727,BirdChicken,1
shapley_sampling,0,0,0.9232271799992304,BirdChicken,1
feature_ablation,0,0,0.03887071200006176,BirdChicken,1
mrsqm,0,0,2.0248000510036945e-05,BirdChicken,1
hydra,0,0,0.27746924099483294,BirdChicken,2
shapley_sampling,0,0,0.9245688980008708,BirdChicken,2
feature_ablation,0,0,0.039096637003240176,BirdChicken,2
mrsqm,0,0,2.1269996068440378e-05,BirdChicken,2
hydra,0,0,0.2781260990013834,BirdChicken,3
shapley_sampling,0,0,0.9275988379959017,BirdChicken,3
feature_ablation,0,0,0.03922362699813675,BirdChicken,3
mrsqm,0,0,2.060900442302227e-05,BirdChicken,3
hydra,0,0,0.2783394110010704,BirdChicken,4
shapley_sampling,0,0,0.925430713003152,BirdChicken,4
feature_ablation,0,0,0.03938577300141333,BirdChicken,4
mrsqm,0,0,2.238199522253126e-05,BirdChicken,4
hydra,0,0,0.27746337999997195,BirdChicken,7
shapley_sampling,0,0,0.9235074079988408,BirdChicken,7
feature_ablation,0,0,0.039428413001587614,BirdChicken,7
mrsqm,0,0,2.3093998606782407e-05,BirdChicken,7
hydra,0,0,0.2831963220014586,BirdChicken,8
shapley_sampling,0,0,0.9196472740004538,BirdChicken,8
feature_ablation,0,0,0.043919916002778336,BirdChicken,8
mrsqm,0,0,2.3353997676167637e-05,BirdChicken,8
hydra,0,0,0.2775733870003023,BirdChicken,9
shapley_sampling,0,0,0.9288539529952686,BirdChicken,9
feature_ablation,0,0,0.0394972020003479,BirdChicken,9
mrsqm,0,0,2.2581996745429933e-05,BirdChicken,9
hydra,1,1,0.2842598969946266,BirdChicken,10
shapley_sampling,1,1,0.9277983539941488,BirdChicken,10
feature_ablation,1,1,0.03898725199542241,BirdChicken,10
mrsqm,1,1,2.194200351368636e-05,BirdChicken,10
hydra,1,1,0.27726694000011776,BirdChicken,11
shapley_sampling,1,1,0.9263397750037257,BirdChicken,11
feature_ablation,1,1,0.03906987800291972,BirdChicken,11
mrsqm,1,1,2.082900027744472e-05,BirdChicken,11
hydra,1,1,0.2796590570069384,BirdChicken,12
shapley_sampling,1,1,0.9302418579973164,BirdChicken,12
feature_ablation,1,1,0.039010174994473346,BirdChicken,12
mrsqm,1,1,2.213200059486553e-05,BirdChicken,12
hydra,1,1,0.27719561500271084,BirdChicken,13
shapley_sampling,1,1,0.9264803300029598,BirdChicken,13
feature_ablation,1,1,0.038999254000373185,BirdChicken,13
mrsqm,1,1,2.08690034924075e-05,BirdChicken,13
hydra,1,1,0.27693521499895724,BirdChicken,14
shapley_sampling,1,1,0.9230074869992677,BirdChicken,14
feature_ablation,1,1,0.038981381003395654,BirdChicken,14
mrsqm,1,1,2.0038001821376383e-05,BirdChicken,14
hydra,1,1,0.2859216369979549,BirdChicken,15
shapley_sampling,1,1,0.9254952339979354,BirdChicken,15
feature_ablation,1,1,0.03909737899812171,BirdChicken,15
mrsqm,1,1,2.099999983329326e-05,BirdChicken,15
hydra,1,1,0.27692823200050043,BirdChicken,16
shapley_sampling,1,1,0.9314275520009687,BirdChicken,16
feature_ablation,1,1,0.03885424100008095,BirdChicken,16
mrsqm,1,1,2.1009000192862004e-05,BirdChicken,16
hydra,1,1,0.28285320599388797,BirdChicken,17
shapley_sampling,1,1,0.9252821519985446,BirdChicken,17
feature_ablation,1,1,0.03928749799524667,BirdChicken,17
mrsqm,1,1,2.094999945256859e-05,BirdChicken,17
hydra,1,1,0.2771268560027238,BirdChicken,18
shapley_sampling,1,1,0.9237052210010006,BirdChicken,18
feature_ablation,1,1,0.03889002900541527,BirdChicken,18
mrsqm,1,1,2.0688996301032603e-05,BirdChicken,18
hydra,1,1,0.27726725999673363,BirdChicken,19
shapley_sampling,1,1,0.9261457000029623,BirdChicken,19
feature_ablation,1,1,0.03938093300530454,BirdChicken,19
mrsqm,1,1,2.2672997147310525e-05,BirdChicken,19
