method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,0,0,0.15173024899559096,Coffee,7
shapley_sampling,0,0,1.0237093939940678,Coffee,7
feature_ablation,0,0,0.04319603899784852,Coffee,7
mrsqm,0,0,2.479699469404295e-05,Coffee,7
hydra,1,1,0.15273120399797335,Coffee,22
shapley_sampling,1,1,1.0084481989979395,Coffee,22
feature_ablation,1,1,0.042593093996401876,Coffee,22
mrsqm,1,1,2.4626002414152026e-05,Coffee,22
hydra,0,0,0.1539323780016275,Coffee,3
shapley_sampling,0,0,1.0060719909961335,Coffee,3
feature_ablation,0,0,0.04288197799905902,Coffee,3
mrsqm,0,0,2.768199919955805e-05,Coffee,3
hydra,1,1,0.14788159700401593,Coffee,19
shapley_sampling,1,1,0.984700013003021,Coffee,19
feature_ablation,1,1,0.04121043800114421,Coffee,19
mrsqm,1,1,2.2362000891007483e-05,Coffee,19
hydra,1,1,0.1512024349940475,Coffee,26
shapley_sampling,1,1,0.9835955419985112,Coffee,26
feature_ablation,1,1,0.04242023800179595,Coffee,26
mrsqm,1,1,2.41960005951114e-05,Coffee,26
hydra,1,1,0.14804506500513526,Coffee,16
shapley_sampling,1,1,0.9779530899977544,Coffee,16
feature_ablation,1,1,0.04164472700358601,Coffee,16
mrsqm,1,1,2.199099981226027e-05,Coffee,16
hydra,1,1,0.15069257299910532,Coffee,25
shapley_sampling,1,1,0.9697660539968638,Coffee,25
feature_ablation,1,1,0.04152406900539063,Coffee,25
mrsqm,1,1,2.2452004486694932e-05,Coffee,25
hydra,0,0,0.1471120170026552,Coffee,0
shapley_sampling,0,0,0.9616493909998098,Coffee,0
feature_ablation,0,0,0.0404268519996549,Coffee,0
mrsqm,0,0,2.1810999896842986e-05,Coffee,0
hydra,0,0,0.14842996100196615,Coffee,10
shapley_sampling,0,0,0.96303624400025,Coffee,10
feature_ablation,0,0,0.04104909500165377,Coffee,10
mrsqm,0,0,2.0979001419618726e-05,Coffee,10
hydra,1,1,0.1470684349988005,Coffee,24
shapley_sampling,1,1,0.9616405850028968,Coffee,24
feature_ablation,1,1,0.04037618599977577,Coffee,24
mrsqm,1,1,2.142100129276514e-05,Coffee,24
hydra,0,0,0.14790881799854105,Coffee,12
shapley_sampling,0,0,0.9626038800051901,Coffee,12
feature_ablation,0,0,0.041449437994742766,Coffee,12
mrsqm,0,0,2.217200380982831e-05,Coffee,12
hydra,0,0,0.14748019100079546,Coffee,1
shapley_sampling,0,0,0.9612875299935695,Coffee,1
feature_ablation,0,0,0.04118279699468985,Coffee,1
mrsqm,0,0,2.335400495212525e-05,Coffee,1
hydra,1,1,0.1481784060015343,Coffee,27
shapley_sampling,1,1,0.9640645319959731,Coffee,27
feature_ablation,1,1,0.04143802700127708,Coffee,27
mrsqm,1,1,2.2632004402112216e-05,Coffee,27
hydra,0,0,0.14747871799772838,Coffee,13
shapley_sampling,0,0,0.9699673029972473,Coffee,13
feature_ablation,0,0,0.04184557500411756,Coffee,13
mrsqm,0,0,2.1981002646498382e-05,Coffee,13
hydra,1,1,0.14826907699898584,Coffee,17
shapley_sampling,1,1,0.9724066100025084,Coffee,17
feature_ablation,1,1,0.041836948999844026,Coffee,17
mrsqm,1,1,2.2772997908759862e-05,Coffee,17
hydra,1,1,0.1480658350046724,Coffee,15
shapley_sampling,1,1,0.9739618500025244,Coffee,15
feature_ablation,1,1,0.04252105799969286,Coffee,15
mrsqm,1,1,2.4466004106216133e-05,Coffee,15
hydra,1,1,0.1483371049980633,Coffee,23
shapley_sampling,1,1,0.9715789199981373,Coffee,23
feature_ablation,1,1,0.04275789400708163,Coffee,23
mrsqm,1,1,2.2211999748833477e-05,Coffee,23
hydra,0,0,0.1483599380007945,Coffee,5
shapley_sampling,0,0,0.9712640569996438,Coffee,5
feature_ablation,0,0,0.04168724700139137,Coffee,5
mrsqm,0,0,2.299399784533307e-05,Coffee,5
hydra,0,0,0.1486297269948409,Coffee,11
shapley_sampling,0,0,0.9741685199987842,Coffee,11
feature_ablation,0,0,0.042030654003610834,Coffee,11
mrsqm,0,0,2.3073000193107873e-05,Coffee,11
hydra,1,1,0.14875959100027103,Coffee,18
shapley_sampling,1,1,0.9726928899981431,Coffee,18
feature_ablation,1,1,0.04225478599983035,Coffee,18
mrsqm,1,1,2.272200072184205e-05,Coffee,18
