true_label,pred_label,fraction,method_a,method_b,iou,overlap_fraction,normalised_centre_distance,score_drop_a,score_drop_b,flipped_a,flipped_b,explain_time_a_s,explain_time_b_s,dataset,sample_idx
7,7,0.05,hydra,shapley_sampling,0.7464788732394366,0.8548387096774194,0.0072,0.6576244538203515,0.7618441676641963,1,1,0.9034231710029417,1.291796871999395,EOGVerticalSignal,281
7,7,0.1,hydra,shapley_sampling,0.3812154696132597,0.552,0.0448,0.631099683563333,0.496374343937115,1,0,0.9034231710029417,1.291796871999395,EOGVerticalSignal,281
7,7,0.2,hydra,shapley_sampling,0.31926121372031663,0.484,0.1032,0.6629488128773815,0.6645752100266538,1,1,0.9034231710029417,1.291796871999395,EOGVerticalSignal,281
7,7,0.05,hydra,feature_ablation,0.0,0.0,0.2592,0.6576244538203515,0.11393704126401616,1,0,0.9034231710029417,0.05360865900001954,EOGVerticalSignal,281
7,7,0.1,hydra,feature_ablation,0.0,0.0,0.2968,0.631099683563333,0.008695469671499145,1,0,0.9034231710029417,0.05360865900001954,EOGVerticalSignal,281
7,7,0.2,hydra,feature_ablation,0.15207373271889402,0.264,0.1472,0.6629488128773815,0.20071677630648765,1,1,0.9034231710029417,0.05360865900001954,EOGVerticalSignal,281
7,7,0.05,hydra,mrsqm,0.0,0.0,0.3096,0.6576244538203515,0.02929685467959997,1,0,0.9034231710029417,2.8825001209042966e-05,EOGVerticalSignal,281
7,7,0.1,hydra,mrsqm,0.0,0.0,0.2976,0.631099683563333,0.00852588896397144,1,0,0.9034231710029417,2.8825001209042966e-05,EOGVerticalSignal,281
7,7,0.2,hydra,mrsqm,0.0,0.0,0.256,0.6629488128773815,-0.038236883981159986,1,1,0.9034231710029417,2.8825001209042966e-05,EOGVerticalSignal,281
7,7,0.05,shapley_sampling,feature_ablation,0.0,0.0,0.252,0.7618441676641963,0.11393704126401616,1,0,1.291796871999395,0.05360865900001954,EOGVerticalSignal,281
7,7,0.1,shapley_sampling,feature_ablation,0.0,0.0,0.252,0.496374343937115,0.008695469671499145,0,0,1.291796871999395,0.05360865900001954,EOGVerticalSignal,281
7,7,0.2,shapley_sampling,feature_ablation,0.0,0.0,0.2504,0.6645752100266538,0.20071677630648765,1,1,1.291796871999395,0.05360865900001954,EOGVerticalSignal,281
7,7,0.05,shapley_sampling,mrsqm,0.0,0.0,0.3024,0.7618441676641963,0.02929685467959997,1,0,1.291796871999395,2.8825001209042966e-05,EOGVerticalSignal,281
7,7,0.1,shapley_sampling,mrsqm,0.0,0.0,0.2528,0.496374343937115,0.00852588896397144,0,0,1.291796871999395,2.8825001209042966e-05,EOGVerticalSignal,281
7,7,0.2,shapley_sampling,mrsqm,0.13378684807256236,0.236,0.1528,0.6645752100266538,-0.038236883981159986,1,1,1.291796871999395,2.8825001209042966e-05,EOGVerticalSignal,281
7,7,0.05,feature_ablation,mrsqm,0.0,0.0,0.0504,0.11393704126401616,0.02929685467959997,0,0,0.05360865900001954,2.8825001209042966e-05,EOGVerticalSignal,281
7,7,0.1,feature_ablation,mrsqm,0.9841269841269841,0.992,0.0008,0.008695469671499145,0.00852588896397144,0,0,0.05360865900001954,2.8825001209042966e-05,EOGVerticalSignal,281
7,7,0.2,feature_ablation,mrsqm,0.0,0.0,0.4032,0.20071677630648765,-0.038236883981159986,1,1,0.05360865900001954,2.8825001209042966e-05,EOGVerticalSignal,281
