method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,0,0,1.2871106220045476,EthanolLevel,362
shapley_sampling,0,0,1.3350877999982913,EthanolLevel,362
feature_ablation,0,0,0.054328013997292146,EthanolLevel,362
mrsqm,0,0,2.213200059486553e-05,EthanolLevel,362
hydra,3,3,1.2580055120051838,EthanolLevel,354
shapley_sampling,3,3,1.311880282999482,EthanolLevel,354
feature_ablation,3,3,0.05517897800018545,EthanolLevel,354
mrsqm,3,3,2.7793001208920032e-05,EthanolLevel,354
hydra,3,3,1.2432324170003994,EthanolLevel,100
shapley_sampling,3,3,1.2796032770056627,EthanolLevel,100
feature_ablation,3,3,0.054027037003834266,EthanolLevel,100
mrsqm,3,3,2.219099405920133e-05,EthanolLevel,100
hydra,1,1,1.2522145219991216,EthanolLevel,479
shapley_sampling,1,1,1.3099934979982208,EthanolLevel,479
feature_ablation,1,1,0.0563527400008752,EthanolLevel,479
mrsqm,1,1,2.1170002582948655e-05,EthanolLevel,479
hydra,2,2,1.2657107310005813,EthanolLevel,419
shapley_sampling,2,2,1.345708521999768,EthanolLevel,419
feature_ablation,2,2,0.05745946500246646,EthanolLevel,419
mrsqm,2,2,2.4234999727923423e-05,EthanolLevel,419
hydra,2,2,1.244909868000832,EthanolLevel,376
shapley_sampling,2,2,1.292572033002216,EthanolLevel,376
feature_ablation,2,2,0.05329790399991907,EthanolLevel,376
mrsqm,2,2,2.0999003027100116e-05,EthanolLevel,376
hydra,3,3,1.2457233700042707,EthanolLevel,64
shapley_sampling,3,3,1.2931650999962585,EthanolLevel,64
feature_ablation,3,3,0.05345665299682878,EthanolLevel,64
mrsqm,3,3,2.137000410584733e-05,EthanolLevel,64
hydra,0,0,1.2541056039990508,EthanolLevel,37
shapley_sampling,0,0,1.2901967670040904,EthanolLevel,37
feature_ablation,0,0,0.05326004300150089,EthanolLevel,37
mrsqm,0,0,2.1339998056646436e-05,EthanolLevel,37
hydra,2,2,1.2588028450045385,EthanolLevel,305
shapley_sampling,2,2,1.3545898059965111,EthanolLevel,305
feature_ablation,2,2,0.056285541999386624,EthanolLevel,305
mrsqm,2,2,2.2161002561915666e-05,EthanolLevel,305
hydra,0,0,1.262527263002994,EthanolLevel,251
shapley_sampling,0,0,1.3460289249997004,EthanolLevel,251
feature_ablation,0,0,0.05745335300161969,EthanolLevel,251
mrsqm,0,0,2.714099537115544e-05,EthanolLevel,251
hydra,3,3,1.2897507660018164,EthanolLevel,207
shapley_sampling,3,3,1.3634434780033189,EthanolLevel,207
feature_ablation,3,3,0.057728722000319976,EthanolLevel,207
mrsqm,3,3,2.441599644953385e-05,EthanolLevel,207
hydra,1,1,1.2751309399973252,EthanolLevel,481
shapley_sampling,1,1,1.3503573410052923,EthanolLevel,481
feature_ablation,1,1,0.05603251600405201,EthanolLevel,481
mrsqm,1,1,2.48869982897304e-05,EthanolLevel,481
hydra,1,1,1.2805770209961338,EthanolLevel,226
shapley_sampling,1,1,1.352528532006545,EthanolLevel,226
feature_ablation,1,1,0.05601049499819055,EthanolLevel,226
mrsqm,1,1,2.552899968577549e-05,EthanolLevel,226
hydra,0,0,1.2720197080052458,EthanolLevel,402
shapley_sampling,0,0,1.365993523002544,EthanolLevel,402
feature_ablation,0,0,0.05693712000356754,EthanolLevel,402
mrsqm,0,0,2.5016997824423015e-05,EthanolLevel,402
hydra,0,0,1.2845541949936887,EthanolLevel,44
shapley_sampling,0,0,1.3688910720011336,EthanolLevel,44
feature_ablation,0,0,0.05842913199739996,EthanolLevel,44
mrsqm,0,0,3.135899896733463e-05,EthanolLevel,44
hydra,0,0,1.2672250239993446,EthanolLevel,360
shapley_sampling,0,0,1.3175698740014923,EthanolLevel,360
feature_ablation,0,0,0.054604525001195725,EthanolLevel,360
mrsqm,0,0,2.4346001737285405e-05,EthanolLevel,360
hydra,3,3,1.2552821709978161,EthanolLevel,391
shapley_sampling,3,3,1.328062823995424,EthanolLevel,391
feature_ablation,3,3,0.05488209900067886,EthanolLevel,391
mrsqm,3,3,2.3934997443575412e-05,EthanolLevel,391
hydra,3,3,1.2532604020016151,EthanolLevel,208
shapley_sampling,3,3,1.314865757994994,EthanolLevel,208
feature_ablation,3,3,0.05487542600167217,EthanolLevel,208
mrsqm,3,3,2.409500302746892e-05,EthanolLevel,208
hydra,1,1,1.259535324999888,EthanolLevel,337
shapley_sampling,1,1,1.3230516519979574,EthanolLevel,337
feature_ablation,1,1,0.05508547199860914,EthanolLevel,337
mrsqm,1,1,2.4595996364951134e-05,EthanolLevel,337
hydra,0,0,1.2661638139979914,EthanolLevel,252
shapley_sampling,0,0,1.3303380720026325,EthanolLevel,252
feature_ablation,0,0,0.05492383700038772,EthanolLevel,252
mrsqm,0,0,2.3464002879336476e-05,EthanolLevel,252
