true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
2,2,hydra,-0.9250000013235673,-0.9060789183155368,-3.594253166443545,FaceFour,53
2,2,shapley_sampling,0.6810164939592447,-0.282306234680916,0.8895854801511156,FaceFour,53
2,2,feature_ablation,0.1087158869539086,-0.2727644696172627,0.20032093477071922,FaceFour,53
2,2,mrsqm,-0.5590592133134137,0.032340082279963725,-2.6479601553360315,FaceFour,53
3,3,hydra,0.9600788207328814,0.9186641171996304,0.14996688288980634,FaceFour,82
3,3,shapley_sampling,0.8335992912164724,0.7597240522612968,0.37303003638714044,FaceFour,82
3,3,feature_ablation,0.7454009629987487,0.8673221552209933,0.22526040348738613,FaceFour,82
3,3,mrsqm,0.7330529161572928,0.8677986459925453,0.2240048767552575,FaceFour,82
1,1,hydra,0.925000001924741,0.899116102220698,0.1819262504596297,FaceFour,15
1,1,shapley_sampling,0.49387586077483336,0.8026921572013761,0.2819672402459634,FaceFour,15
1,1,feature_ablation,0.7294117716229571,0.8267271675892477,0.2800252559932546,FaceFour,15
1,1,mrsqm,0.2154166729397549,-0.1025205325137522,0.3604136888754943,FaceFour,15
1,1,hydra,0.9250000018495567,0.31429276724281713,0.7875784971233587,FaceFour,77
1,1,shapley_sampling,-0.25030522062322236,0.6627521656455817,-1.9418531364556308,FaceFour,77
1,1,feature_ablation,0.6850846134741294,0.10826639051029974,0.7748679794312032,FaceFour,77
1,1,mrsqm,0.15379391355360564,-0.1366605401754137,0.2709300934262042,FaceFour,77
1,1,hydra,0.7730023567799233,0.36673850891363186,0.6961888777990888,FaceFour,86
1,1,shapley_sampling,0.5518260506901194,0.47260229773841067,0.53933540729821,FaceFour,86
1,1,feature_ablation,0.6451433276299336,0.4280347019733454,0.6063544171477712,FaceFour,86
1,1,mrsqm,0.523139858468127,0.4605546663091813,0.5311674915117639,FaceFour,86
0,0,hydra,0.606774919065032,0.56550295458638,0.5063843425321568,FaceFour,81
0,0,shapley_sampling,0.3927215256155265,0.13123227966260342,0.5409222244755592,FaceFour,81
0,0,feature_ablation,0.4394382906013197,0.11649223492135918,0.5869432700634208,FaceFour,81
0,0,mrsqm,0.3278403509952089,0.19122345173902344,0.46655929123012135,FaceFour,81
0,0,hydra,0.6531743282663597,0.6722343284193815,0.43649585580532846,FaceFour,10
0,0,shapley_sampling,0.3083598047255862,0.13313547397975012,0.4549023858236509,FaceFour,10
0,0,feature_ablation,0.2615242289840348,0.08504217574571497,0.4067782230631958,FaceFour,10
0,0,mrsqm,0.15206097288611936,0.2919440742424991,0.2503559065012124,FaceFour,10
3,3,hydra,0.7542390594376972,0.4476664718213761,0.6376859957690824,FaceFour,5
3,3,shapley_sampling,-0.0718621961265433,0.41643853292391464,-0.16390880730041238,FaceFour,5
3,3,feature_ablation,-0.19609657026243296,0.46307073083903155,-0.6178397113671599,FaceFour,5
3,3,mrsqm,-0.29858435710527664,0.3815234913293135,-1.1545604343368403,FaceFour,5
1,1,hydra,0.7260978420083904,0.42696628998588343,0.6405487413365563,FaceFour,45
1,1,shapley_sampling,0.5420891229115402,0.5061628550714625,0.5168393795315501,FaceFour,45
1,1,feature_ablation,0.6454379572432734,0.4989442101976011,0.5641555852673868,FaceFour,45
1,1,mrsqm,0.5094422132972767,0.4877573263300672,0.5108386054223792,FaceFour,45
0,0,hydra,0.607591338358522,0.59662255990434,0.48485896679442153,FaceFour,44
0,0,shapley_sampling,0.3956448144079969,0.19900992544114565,0.5296645991411745,FaceFour,44
0,0,feature_ablation,0.3744801760115103,0.1667626089825964,0.5167282374060204,FaceFour,44
0,0,mrsqm,0.2807339327017005,0.2715487279767816,0.40527940643437527,FaceFour,44
2,2,hydra,-0.39511110002162253,-0.05104600132827099,-1.2662230380816348,FaceFour,70
2,2,shapley_sampling,0.6020440866482437,0.4459158429817583,0.5770693555247837,FaceFour,70
2,2,feature_ablation,0.48079869331482683,0.3105186587776985,0.5665340228687283,FaceFour,70
2,2,mrsqm,0.5327561029061133,0.6345448270977279,0.4335248931874446,FaceFour,70
0,0,hydra,0.4897797558596609,0.46208672932650396,0.5127193112770168,FaceFour,73
0,0,shapley_sampling,0.43183597920396394,0.06931904018768144,0.589939856303298,FaceFour,73
0,0,feature_ablation,0.40802509464253445,0.11803811498544117,0.5579321144773612,FaceFour,73
0,0,mrsqm,0.31512441782585615,0.2015185663719671,0.4519031515293859,FaceFour,73
2,2,hydra,-0.5327154925572443,-0.3774338337996647,-1.7373373050201562,FaceFour,41
2,2,shapley_sampling,0.013545921069062793,-0.2054466561545128,0.026790787019271286,FaceFour,41
2,2,feature_ablation,-0.037139506648265666,-0.24662827176740748,-0.07655988269169382,FaceFour,41
2,2,mrsqm,-0.17380253756610964,-0.11065635724148998,-0.4120918102663852,FaceFour,41
1,1,hydra,0.9041832782629742,0.4972687406100439,0.6461816777567753,FaceFour,63
1,1,shapley_sampling,0.7335363114118232,0.6651814123874399,0.45977528997848177,FaceFour,63
1,1,feature_ablation,0.7300935651446345,0.7132241059870719,0.41179963263110736,FaceFour,63
1,1,mrsqm,0.623439318327551,0.6227794611303691,0.47003807321850555,FaceFour,63
2,2,hydra,-0.6298232594331369,-0.4960767925311682,-2.1754923375940103,FaceFour,7
2,2,shapley_sampling,-0.07800454622669382,-0.2177419654018245,-0.16668648029669658,FaceFour,7
2,2,feature_ablation,-0.0074560945534241155,-0.22891709360666726,-0.01500321673037889,FaceFour,7
2,2,mrsqm,-0.11733024312869755,0.05645559123090699,-0.2679844996310196,FaceFour,7
1,1,hydra,0.6745816617410234,0.49875467530408174,0.5751371723452531,FaceFour,59
1,1,shapley_sampling,0.5223756722225409,0.5498812850064738,0.4835628244555586,FaceFour,59
1,1,feature_ablation,0.6430337248983244,0.44492479944773466,0.5958257487741712,FaceFour,59
1,1,mrsqm,0.5589918116053807,0.4283193450265206,0.5652650337374912,FaceFour,59
3,3,hydra,0.974999998750356,0.9749999969172268,0.04875000585956042,FaceFour,66
3,3,shapley_sampling,0.9749999978324254,0.9566114433602274,0.08307996480116615,FaceFour,66
3,3,feature_ablation,0.8467952314661291,0.9637729225689423,0.06948163395075829,FaceFour,66
3,3,mrsqm,0.9372298889891822,0.9411535603171101,0.1107397908048488,FaceFour,66
