true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
11,11,hydra,0.9749999975430496,0.9181872468194131,0.15095850063399177,FacesUCR,1567
11,11,shapley_sampling,0.9749999968656692,0.9749999963902016,0.048750006859211215,FacesUCR,1567
11,11,feature_ablation,0.9620955153977809,0.810682404096469,0.31637925296650904,FacesUCR,1567
11,11,mrsqm,0.9126802580158087,0.3005065883496274,0.7919913833571182,FacesUCR,1567
6,6,hydra,0.5641763864147004,0.26072112010133147,0.6399662463194427,FacesUCR,1464
6,6,shapley_sampling,0.5327522543759853,0.36444056760038235,0.5796325145651853,FacesUCR,1464
6,6,feature_ablation,0.5062494737941562,0.4328032186870255,0.5349929178313177,FacesUCR,1464
6,6,mrsqm,0.45193603562248996,0.5150976611759748,0.46783916340249043,FacesUCR,1464
4,4,hydra,0.8250000024032692,-0.8507440175150873,1.1412629964090297,FacesUCR,408
4,4,shapley_sampling,-0.8343794305128871,0.8250000030795344,0.0,FacesUCR,408
4,4,feature_ablation,-0.5257209458878725,0.7957578328698577,0.0,FacesUCR,408
4,4,mrsqm,0.9250000024968434,0.6227098996241862,0.5359686647696008,FacesUCR,408
1,1,hydra,0.6344136576836468,0.6398506273089145,0.4594654614405568,FacesUCR,1990
1,1,shapley_sampling,0.6729236871493652,0.4187875224669788,0.6237147997367389,FacesUCR,1990
1,1,feature_ablation,0.6730000700501352,0.40383601690825466,0.6322561711212596,FacesUCR,1990
1,1,mrsqm,0.46784072633400386,0.30062875234889724,0.5606425564006171,FacesUCR,1990
6,6,hydra,0.8077393475681838,0.4609240402384705,0.64661110050908,FacesUCR,1716
6,6,shapley_sampling,0.6612941116861549,0.7558758338720176,0.35660396423732704,FacesUCR,1716
6,6,feature_ablation,0.7522427110342648,0.6530231362049861,0.47490205353714904,FacesUCR,1716
6,6,mrsqm,0.7593760789041387,0.6995742747874771,0.4305259876472242,FacesUCR,1716
6,6,hydra,0.6515603087361105,0.28696909455978553,0.6809110773403876,FacesUCR,1551
6,6,shapley_sampling,0.5102446562078622,0.6010574079664253,0.4477808638706058,FacesUCR,1551
6,6,feature_ablation,0.5376425978656506,0.5660851054254104,0.48024153585750223,FacesUCR,1551
6,6,mrsqm,0.5484412303183359,0.49784415453809827,0.5242789572627327,FacesUCR,1551
8,8,hydra,0.4963707668303134,0.42344276736798014,0.533467587436497,FacesUCR,260
8,8,shapley_sampling,0.5371347578054083,0.5062721063100776,0.5145174523768495,FacesUCR,260
8,8,feature_ablation,0.5313883042309403,0.5070875152315784,0.5114277607288144,FacesUCR,260
8,8,mrsqm,0.4445706616435806,0.4923545812286498,0.47401900544500186,FacesUCR,260
9,9,hydra,0.6817004265667258,0.3303906104452882,0.6756008149229786,FacesUCR,178
9,9,shapley_sampling,0.5367696201029308,0.513629614664869,0.5103286853764977,FacesUCR,178
9,9,feature_ablation,0.6025928891153967,0.4844153611312113,0.5557035968690222,FacesUCR,178
9,9,mrsqm,0.654005908447411,0.24638182336786615,0.7002874495471964,FacesUCR,178
1,1,hydra,0.5350585231446402,0.7388093148820309,0.35102653990273325,FacesUCR,1327
1,1,shapley_sampling,0.6803429991292044,0.5745390404794838,0.5235274895670137,FacesUCR,1327
1,1,feature_ablation,0.6699293378318129,0.431570186540163,0.6150199772623545,FacesUCR,1327
1,1,mrsqm,0.5401904744662371,0.17849974586110506,0.6517876676916247,FacesUCR,1327
7,7,hydra,0.7748395528561487,0.6450269657491554,0.48688986168795056,FacesUCR,1045
7,7,shapley_sampling,0.7081083997028333,0.7884285571146087,0.32579928124285723,FacesUCR,1045
7,7,feature_ablation,0.7555997143193367,0.7447478263188821,0.3815959030246291,FacesUCR,1045
7,7,mrsqm,0.7990496704757343,0.393701730100079,0.6894554990332726,FacesUCR,1045
2,2,hydra,0.559652484809621,0.19120114826970774,0.6615453176822911,FacesUCR,874
2,2,shapley_sampling,0.4212202499445108,0.2423582511507939,0.5414273208318127,FacesUCR,874
2,2,feature_ablation,0.44895357624202825,0.2248538185170603,0.5685887087076903,FacesUCR,874
2,2,mrsqm,0.34889564838279225,0.21102557964919005,0.48383334707467307,FacesUCR,874
7,7,hydra,0.7928548502639023,0.6972074251774407,0.43822594034393286,FacesUCR,171
