method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,2,2,0.264220593002392,GesturePebbleZ1,121
shapley_sampling,2,2,0.8540892000019085,GesturePebbleZ1,121
feature_ablation,2,2,0.036170963998301886,GesturePebbleZ1,121
mrsqm,2,2,1.85450044227764e-05,GesturePebbleZ1,121
hydra,0,0,0.2437771429977147,GesturePebbleZ1,125
shapley_sampling,0,0,0.8501441560001695,GesturePebbleZ1,125
feature_ablation,0,0,0.035743107000598684,GesturePebbleZ1,125
mrsqm,0,0,1.7983998986892402e-05,GesturePebbleZ1,125
hydra,0,0,0.243737307995616,GesturePebbleZ1,40
shapley_sampling,0,0,0.8521743119999883,GesturePebbleZ1,40
feature_ablation,0,0,0.0362560339999618,GesturePebbleZ1,40
mrsqm,0,0,1.9056002201978117e-05,GesturePebbleZ1,40
hydra,2,2,0.24375151500134962,GesturePebbleZ1,160
shapley_sampling,2,2,0.8538814580024336,GesturePebbleZ1,160
feature_ablation,2,2,0.03593576000275789,GesturePebbleZ1,160
mrsqm,2,2,1.85349999810569e-05,GesturePebbleZ1,160
hydra,5,5,0.245386114998837,GesturePebbleZ1,146
shapley_sampling,5,5,0.8510047070012661,GesturePebbleZ1,146
feature_ablation,5,5,0.03608111399807967,GesturePebbleZ1,146
mrsqm,5,5,1.8926002667285502e-05,GesturePebbleZ1,146
hydra,1,1,0.2446418019972043,GesturePebbleZ1,131
shapley_sampling,1,1,0.8531573440050124,GesturePebbleZ1,131
feature_ablation,1,1,0.03642615400167415,GesturePebbleZ1,131
mrsqm,1,1,1.8945000192616135e-05,GesturePebbleZ1,131
hydra,2,2,0.24366931000258774,GesturePebbleZ1,30
shapley_sampling,2,2,0.846954716995242,GesturePebbleZ1,30
feature_ablation,2,2,0.03616973000316648,GesturePebbleZ1,30
mrsqm,2,2,1.9206003344152123e-05,GesturePebbleZ1,30
hydra,1,1,0.2494612330046948,GesturePebbleZ1,16
shapley_sampling,1,1,0.8742334850030602,GesturePebbleZ1,16
feature_ablation,1,1,0.03892559299856657,GesturePebbleZ1,16
mrsqm,1,1,2.1170002582948655e-05,GesturePebbleZ1,16
hydra,5,5,0.24864096799865365,GesturePebbleZ1,105
shapley_sampling,5,5,0.8726862300027278,GesturePebbleZ1,105
feature_ablation,5,5,0.037349694001022726,GesturePebbleZ1,105
mrsqm,5,5,2.1260006178636104e-05,GesturePebbleZ1,105
hydra,4,4,0.24798593400191749,GesturePebbleZ1,91
shapley_sampling,4,4,0.8687512760006939,GesturePebbleZ1,91
feature_ablation,4,4,0.0369498410000233,GesturePebbleZ1,91
mrsqm,4,4,2.0268002117518336e-05,GesturePebbleZ1,91
hydra,2,2,0.24564349000138463,GesturePebbleZ1,156
shapley_sampling,2,2,0.8690999430036754,GesturePebbleZ1,156
feature_ablation,2,2,0.037153544995817356,GesturePebbleZ1,156
mrsqm,2,2,1.911700383061543e-05,GesturePebbleZ1,156
hydra,2,2,0.24585966700396966,GesturePebbleZ1,158
shapley_sampling,2,2,0.8678210329962894,GesturePebbleZ1,158
feature_ablation,2,2,0.03698781200364465,GesturePebbleZ1,158
mrsqm,2,2,1.921600050991401e-05,GesturePebbleZ1,158
hydra,2,2,0.24505398900510045,GesturePebbleZ1,83
shapley_sampling,2,2,0.8669898969965288,GesturePebbleZ1,83
feature_ablation,2,2,0.03655933499976527,GesturePebbleZ1,83
mrsqm,2,2,2.088999463012442e-05,GesturePebbleZ1,83
hydra,4,4,0.2458506800030591,GesturePebbleZ1,138
shapley_sampling,4,4,0.8689147529948968,GesturePebbleZ1,138
feature_ablation,4,4,0.03719141599867726,GesturePebbleZ1,138
mrsqm,4,4,2.006700378842652e-05,GesturePebbleZ1,138
hydra,3,3,0.24517730100342305,GesturePebbleZ1,24
shapley_sampling,3,3,0.8692669480005861,GesturePebbleZ1,24
feature_ablation,3,3,0.036681274003058206,GesturePebbleZ1,24
mrsqm,3,3,1.8624996300786734e-05,GesturePebbleZ1,24
hydra,0,4,0.24739484999736305,GesturePebbleZ1,126
shapley_sampling,0,4,0.8668613650006591,GesturePebbleZ1,126
feature_ablation,0,4,0.03701831999933347,GesturePebbleZ1,126
mrsqm,0,4,2.006800059461966e-05,GesturePebbleZ1,126
hydra,4,4,0.24538745800236939,GesturePebbleZ1,136
shapley_sampling,4,4,0.8679056229957496,GesturePebbleZ1,136
feature_ablation,4,4,0.03652618299383903,GesturePebbleZ1,136
mrsqm,4,4,1.8213999283034354e-05,GesturePebbleZ1,136
hydra,3,3,0.24822730800224235,GesturePebbleZ1,74
shapley_sampling,3,3,0.8776633179950295,GesturePebbleZ1,74
feature_ablation,3,3,0.036862125001789536,GesturePebbleZ1,74
mrsqm,3,3,2.015800419030711e-05,GesturePebbleZ1,74
hydra,2,2,0.2462863210021169,GesturePebbleZ1,115
shapley_sampling,2,2,0.8675479479934438,GesturePebbleZ1,115
feature_ablation,2,2,0.036604660002922174,GesturePebbleZ1,115
mrsqm,2,2,1.9115999748464674e-05,GesturePebbleZ1,115
hydra,0,0,0.2545460039982572,GesturePebbleZ1,90
shapley_sampling,0,0,0.8653401779956766,GesturePebbleZ1,90
feature_ablation,0,0,0.04398008700081846,GesturePebbleZ1,90
mrsqm,0,0,2.049899921985343e-05,GesturePebbleZ1,90
