true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
1,1,hydra,-0.9250000017240472,-0.9250000004886965,-3.561250011941063,HandOutlines,272
1,1,shapley_sampling,-0.32099214290592004,-0.7121133607692565,-0.7901179703308506,HandOutlines,272
1,1,feature_ablation,-0.17549964388817027,-0.7235658742790538,-0.39079102846575225,HandOutlines,272
1,1,mrsqm,-0.9250000001733332,-0.6098252870337386,-4.348812520086688,HandOutlines,272
1,1,hydra,-0.9750000001930007,-0.936188514476319,-3.9280198919057345,HandOutlines,261
1,1,shapley_sampling,-0.6880075594998071,-0.3611568830501257,-2.7824026332358867,HandOutlines,261
1,1,feature_ablation,-0.7371620715158881,-0.36405470404509593,-3.2079796096440027,HandOutlines,261
1,1,mrsqm,-0.7174475994281345,-0.49313007265600944,-2.762064693309906,HandOutlines,261
1,1,hydra,-0.9750000000532575,-0.9457975646407244,-3.908441254556536,HandOutlines,75
1,1,shapley_sampling,-0.6791621748431254,-0.36359114678766835,-2.7061961629648343,HandOutlines,75
1,1,feature_ablation,-0.7344396125381358,-0.3260955494184643,-3.2922414558663915,HandOutlines,75
1,1,mrsqm,-0.7300550937614423,-0.47247935496735893,-2.895894193453161,HandOutlines,75
1,1,hydra,-0.9750000003033735,-0.9363275280371441,-3.927733859601876,HandOutlines,351
1,1,shapley_sampling,-0.6409056297618793,-0.4081891820897501,-2.352497644014241,HandOutlines,351
1,1,feature_ablation,-0.7480061181485664,-0.3170042397185052,-3.4626730443993403,HandOutlines,351
1,1,mrsqm,-0.7366054997508598,-0.47329909295093087,-2.946245833173357,HandOutlines,351
1,1,hydra,-0.9749999997878597,-0.9384294818867144,-3.9234189518696985,HandOutlines,310
1,1,shapley_sampling,-0.6471626602467595,-0.363878347587301,-2.463044008294932,HandOutlines,310
1,1,feature_ablation,-0.750795704533847,-0.3396178698649736,-3.4162414448029486,HandOutlines,310
1,1,mrsqm,-0.716925491716391,-0.47026896145594976,-2.798387031911385,HandOutlines,310
1,1,hydra,-0.9750000010358738,-0.9587721340976066,-3.882612179368096,HandOutlines,277
1,1,shapley_sampling,-0.6664057261239043,-0.398718193532022,-2.545672386822702,HandOutlines,277
1,1,feature_ablation,-0.5735640469065827,-0.4224574997614306,-1.9221976029429715,HandOutlines,277
1,1,mrsqm,-0.8304806142932578,-0.41899643005904286,-4.004816847214069,HandOutlines,277
1,1,hydra,-0.9749999995636501,-0.9573968095330344,-3.8853177638068157,HandOutlines,46
1,1,shapley_sampling,-0.654994731776981,-0.3569187506021044,-2.532395556377762,HandOutlines,46
1,1,feature_ablation,-0.6374712858415414,-0.43085553370731816,-2.299338106042664,HandOutlines,46
1,1,mrsqm,-0.8434131002950304,-0.4332127538157288,-4.098986511309235,HandOutlines,46
1,1,hydra,-0.9749999991345404,-0.9483056582650686,-3.903394575593463,HandOutlines,31
1,1,shapley_sampling,-0.7482210861776974,-0.3546267473608417,-3.3428457587224893,HandOutlines,31
1,1,feature_ablation,-0.7168136633820814,-0.3497644304050409,-3.057203297539791,HandOutlines,31
1,1,mrsqm,-0.8334597943418234,-0.4450139669661489,-3.9386896456301392,HandOutlines,31
1,1,hydra,-0.9749999995078235,-0.9318059500432346,-3.9370800302556352,HandOutlines,230
1,1,shapley_sampling,-0.6634857917711677,-0.37528794612578226,-2.563869767087035,HandOutlines,230
1,1,feature_ablation,-0.6935441273174241,-0.36245205051768414,-2.825263644261629,HandOutlines,230
1,1,mrsqm,-0.8403363367014907,-0.42989920070706816,-4.076227759702313,HandOutlines,230
0,0,hydra,0.9750000003908852,0.9488014308982269,0.09728839306201875,HandOutlines,189
0,0,shapley_sampling,0.8127979871315762,0.32849474011599084,0.7354267056673193,HandOutlines,189
0,0,feature_ablation,0.81893617950569,0.3895236284276052,0.6995058033272896,HandOutlines,189
0,0,mrsqm,0.7873604193427652,0.5116406713260264,0.602820182743845,HandOutlines,189
1,1,hydra,-0.9749999999530936,-0.9530225827362009,-3.893973516761778,HandOutlines,156
1,1,shapley_sampling,-0.7231110033248677,-0.317461935788257,-3.2057532686342722,HandOutlines,156
1,1,feature_ablation,-0.7906911542958633,-0.340916256517705,-3.853879506400988,HandOutlines,156
1,1,mrsqm,-0.7349794378521509,-0.4637695928657038,-2.952401442605931,HandOutlines,156
0,0,hydra,0.9750000006505055,0.9573331467238146,0.08175599276230819,HandOutlines,30
0,0,shapley_sampling,0.822641386127158,0.3024364849220073,0.7549569357401414,HandOutlines,30
0,0,feature_ablation,0.8007724991956875,0.33163920309784706,0.7285995724435819,HandOutlines,30
0,0,mrsqm,0.8189958234060866,0.47577893447904024,0.6392636464630886,HandOutlines,30
1,1,hydra,-0.9749999999695559,-0.938242129832459,-3.9238027863183476,HandOutlines,168
1,1,shapley_sampling,-0.6511306743652285,-0.3582565639761232,-2.5014004591160575,HandOutlines,168
1,1,feature_ablation,-0.634805515160384,-0.4125179853795368,-2.3059272976026457,HandOutlines,168
1,1,mrsqm,-0.8357310592485333,-0.42307894107442046,-4.049767804120437,HandOutlines,168
1,1,hydra,-0.9250000026788517,-0.9250000000508926,-3.56125001976655,HandOutlines,305
