true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
8,8,hydra,0.7937426023498467,0.5948937373399201,0.5364314194005929,MelbournePedestrian,1759
8,8,shapley_sampling,0.6797444167936593,0.4580491602660431,0.6030768401816499,MelbournePedestrian,1759
8,8,feature_ablation,0.7107921317789864,0.5299930736435221,0.5658494099128655,MelbournePedestrian,1759
8,8,mrsqm,0.5857751514519052,0.6410635210583341,0.44512222258992257,MelbournePedestrian,1759
7,7,hydra,0.8739600970503416,0.6869152437636735,0.4610164193672689,MelbournePedestrian,1633
7,7,shapley_sampling,0.8577288063176304,0.8908312768978927,0.1936857954529778,MelbournePedestrian,1633
7,7,feature_ablation,0.9160893592795379,0.858339137543848,0.24537741719305614,MelbournePedestrian,1633
7,7,mrsqm,0.7668979023697602,0.6230086985033946,0.5054927301563519,MelbournePedestrian,1633
2,2,hydra,0.6279975193147465,0.5538372346296848,0.521689572511639,MelbournePedestrian,451
2,2,shapley_sampling,0.7287873134826897,0.6046817193371018,0.5125905417344555,MelbournePedestrian,451
2,2,feature_ablation,0.5355336316567961,0.5952398318105154,0.4610530939499264,MelbournePedestrian,451
2,2,mrsqm,0.5080561060105102,0.436593020672269,0.5343018531077617,MelbournePedestrian,451
1,1,hydra,0.8450630148223328,0.8806151485503133,0.20921342877798127,MelbournePedestrian,2254
1,1,shapley_sampling,0.9631768739388638,0.953547735080687,0.08863006343688486,MelbournePedestrian,2254
1,1,feature_ablation,0.968640645519133,0.9386941651871726,0.11531341587389414,MelbournePedestrian,2254
1,1,mrsqm,0.8012444544976438,0.8148598071189875,0.30078033603779153,MelbournePedestrian,2254
9,9,hydra,0.6800195444796856,0.8637872645992064,0.22696314410192897,MelbournePedestrian,1937
9,9,shapley_sampling,0.8952194464226804,0.9097191902912831,0.16402052863445007,MelbournePedestrian,1937
9,9,feature_ablation,0.879883521342938,0.7562150407198973,0.3817894194253563,MelbournePedestrian,1937
9,9,mrsqm,0.5903551508457499,0.5045934425615437,0.5387292823371487,MelbournePedestrian,1937
8,8,hydra,0.629067090966732,0.760641515952163,0.3467713286902074,MelbournePedestrian,1736
8,8,shapley_sampling,0.7147713767594596,0.6873401816820522,0.4350272599609843,MelbournePedestrian,1736
8,8,feature_ablation,0.5881290923100148,0.6576622675455517,0.43276938950052296,MelbournePedestrian,1736
8,8,mrsqm,0.6029309892731971,0.6601823506589656,0.43465794188968526,MelbournePedestrian,1736
2,2,hydra,0.6401459562911392,0.4927770213240674,0.565984887409669,MelbournePedestrian,288
2,2,shapley_sampling,0.7965658216271672,0.5456254531087293,0.5786674463141399,MelbournePedestrian,288
2,2,feature_ablation,0.6816839236195478,0.5273125807569684,0.558266482596747,MelbournePedestrian,288
2,2,mrsqm,0.5764993016292181,0.40582398938209874,0.5852042006567014,MelbournePedestrian,288
0,0,hydra,0.7232291980398412,0.5815567058788595,0.5301527541572919,MelbournePedestrian,201
0,0,shapley_sampling,0.7868775325621457,0.6120374523267464,0.5196945820549221,MelbournePedestrian,201
0,0,feature_ablation,0.7351594994374412,0.6136093268021725,0.5065467079871557,MelbournePedestrian,201
0,0,mrsqm,0.6756353509022904,0.5798188351032201,0.5181328163877085,MelbournePedestrian,201
7,7,hydra,0.9338036887279926,0.5816005035066304,0.5778761615969473,MelbournePedestrian,1489
7,7,shapley_sampling,0.9208750109995818,0.8874779987858665,0.20053996263022075,MelbournePedestrian,1489
7,7,feature_ablation,0.9556167567695313,0.7618437712402251,0.3812887135001961,MelbournePedestrian,1489
7,7,mrsqm,0.8128694821375767,0.5881509155818866,0.546704461109456,MelbournePedestrian,1489
5,5,hydra,0.8029457568377544,0.5397311525312944,0.5851276842742099,MelbournePedestrian,1172
5,5,shapley_sampling,0.768624752790394,0.8321503670528991,0.2755299762487851,MelbournePedestrian,1172
5,5,feature_ablation,0.7427165579823183,0.8312723152057314,0.27498521446570234,MelbournePedestrian,1172
5,5,mrsqm,0.6277415063883683,0.5339314245855088,0.5349568347893585,MelbournePedestrian,1172
5,5,hydra,0.6501842316604485,0.7484672398585097,0.3627360599320917,MelbournePedestrian,990
5,5,shapley_sampling,0.8444133417713856,0.7098627325718442,0.4318816235694923,MelbournePedestrian,990
5,5,feature_ablation,0.8866940816503783,0.8591997667223734,0.24301201812685838,MelbournePedestrian,990
5,5,mrsqm,0.5120381178976107,0.7263095815031637,0.3567133438141471,MelbournePedestrian,990
0,0,hydra,0.554683345197732,0.4881105599460236,0.5324278866041482,MelbournePedestrian,193
0,0,shapley_sampling,0.5161720575260281,0.4691672547341379,0.5233997582349816,MelbournePedestrian,193
0,0,feature_ablation,0.47109573798164117,0.41497453976097953,0.521915479764411,MelbournePedestrian,193
0,0,mrsqm,0.5447082889518029,0.4824856144916303,0.530763242427428,MelbournePedestrian,193
5,5,hydra,0.6815733561012032,0.7862103591425962,0.32548435330433473,MelbournePedestrian,1034
