method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,8,8,0.00820679399475921,MelbournePedestrian,1759
shapley_sampling,8,8,0.4838402370005497,MelbournePedestrian,1759
feature_ablation,8,8,0.020726305003336165,MelbournePedestrian,1759
mrsqm,8,8,1.7672995454631746e-05,MelbournePedestrian,1759
hydra,7,7,0.006323346002318431,MelbournePedestrian,1633
shapley_sampling,7,7,0.47580420499434695,MelbournePedestrian,1633
feature_ablation,7,7,0.021034454999607988,MelbournePedestrian,1633
mrsqm,7,7,1.899600465549156e-05,MelbournePedestrian,1633
hydra,2,2,0.006058505998225883,MelbournePedestrian,451
shapley_sampling,2,2,0.4720369370043045,MelbournePedestrian,451
feature_ablation,2,2,0.02167943100357661,MelbournePedestrian,451
mrsqm,2,2,1.830399560276419e-05,MelbournePedestrian,451
hydra,1,1,0.0061329370000748895,MelbournePedestrian,2254
shapley_sampling,1,1,0.48231218800356146,MelbournePedestrian,2254
feature_ablation,1,1,0.020986554998671636,MelbournePedestrian,2254
mrsqm,1,1,1.9096005416940898e-05,MelbournePedestrian,2254
hydra,9,9,0.005966322998574469,MelbournePedestrian,1937
shapley_sampling,9,9,0.46101051900041057,MelbournePedestrian,1937
feature_ablation,9,9,0.020421800996700767,MelbournePedestrian,1937
mrsqm,9,9,1.7191996448673308e-05,MelbournePedestrian,1937
hydra,8,8,0.0059686270033125766,MelbournePedestrian,1736
shapley_sampling,8,8,0.4608608370035654,MelbournePedestrian,1736
feature_ablation,8,8,0.020289642001444008,MelbournePedestrian,1736
mrsqm,8,8,1.6931997379288077e-05,MelbournePedestrian,1736
hydra,2,2,0.00586528200074099,MelbournePedestrian,288
shapley_sampling,2,2,0.4612544089977746,MelbournePedestrian,288
feature_ablation,2,2,0.020338343005278148,MelbournePedestrian,288
mrsqm,2,2,1.6250000044237822e-05,MelbournePedestrian,288
hydra,0,0,0.0060100449991296045,MelbournePedestrian,201
shapley_sampling,0,0,0.460287857997173,MelbournePedestrian,201
feature_ablation,0,0,0.020346438999695238,MelbournePedestrian,201
mrsqm,0,0,1.7102000128943473e-05,MelbournePedestrian,201
hydra,7,7,0.0059416360018076375,MelbournePedestrian,1489
shapley_sampling,7,7,0.4640559379986371,MelbournePedestrian,1489
feature_ablation,7,7,0.021352715004468337,MelbournePedestrian,1489
mrsqm,7,7,2.5517998437862843e-05,MelbournePedestrian,1489
hydra,5,5,0.0066440190057619475,MelbournePedestrian,1172
shapley_sampling,5,5,0.4757739380002022,MelbournePedestrian,1172
feature_ablation,5,5,0.02167319799627876,MelbournePedestrian,1172
mrsqm,5,5,1.964699913514778e-05,MelbournePedestrian,1172
hydra,5,5,0.006131223002739716,MelbournePedestrian,990
shapley_sampling,5,5,0.47521067700290587,MelbournePedestrian,990
feature_ablation,5,5,0.021703065001929644,MelbournePedestrian,990
mrsqm,5,5,1.8915998225566e-05,MelbournePedestrian,990
hydra,0,0,0.006086469002184458,MelbournePedestrian,193
shapley_sampling,0,0,0.4740405920019839,MelbournePedestrian,193
feature_ablation,0,0,0.02138959400326712,MelbournePedestrian,193
mrsqm,0,0,1.808399974834174e-05,MelbournePedestrian,193
hydra,5,5,0.006027117000485305,MelbournePedestrian,1034
shapley_sampling,5,5,0.47733336600504117,MelbournePedestrian,1034
feature_ablation,5,5,0.021397528995294124,MelbournePedestrian,1034
mrsqm,5,5,1.85349999810569e-05,MelbournePedestrian,1034
hydra,9,9,0.005946985998889431,MelbournePedestrian,1969
shapley_sampling,9,9,0.47512359300162643,MelbournePedestrian,1969
feature_ablation,9,9,0.021770001003460493,MelbournePedestrian,1969
mrsqm,9,9,1.931699807755649e-05,MelbournePedestrian,1969
hydra,0,0,0.006389449998096097,MelbournePedestrian,212
shapley_sampling,0,0,0.47336462900420884,MelbournePedestrian,212
feature_ablation,0,0,0.020620935996703338,MelbournePedestrian,212
mrsqm,0,0,1.8493999959900975e-05,MelbournePedestrian,212
hydra,7,7,0.005864439997822046,MelbournePedestrian,1672
shapley_sampling,7,7,0.4786967350009945,MelbournePedestrian,1672
feature_ablation,7,7,0.021535168001719285,MelbournePedestrian,1672
mrsqm,7,7,1.9186001736670732e-05,MelbournePedestrian,1672
hydra,8,8,0.005851717003679369,MelbournePedestrian,1800
shapley_sampling,8,8,0.4730861130010453,MelbournePedestrian,1800
feature_ablation,8,8,0.021124184000655077,MelbournePedestrian,1800
mrsqm,8,8,1.9686995074152946e-05,MelbournePedestrian,1800
hydra,5,5,0.006129790999693796,MelbournePedestrian,1002
shapley_sampling,5,5,0.47727548699913314,MelbournePedestrian,1002
feature_ablation,5,5,0.02091457900678506,MelbournePedestrian,1002
mrsqm,5,5,1.9606995920185e-05,MelbournePedestrian,1002
hydra,7,7,0.006001018002280034,MelbournePedestrian,1585
shapley_sampling,7,7,0.47828167399711674,MelbournePedestrian,1585
feature_ablation,7,7,0.021026590999099426,MelbournePedestrian,1585
mrsqm,7,7,1.7744001524988562e-05,MelbournePedestrian,1585
hydra,5,5,0.005835995994857512,MelbournePedestrian,1198
shapley_sampling,5,5,0.46282182200229727,MelbournePedestrian,1198
feature_ablation,5,5,0.020368690995383076,MelbournePedestrian,1198
mrsqm,5,5,1.761299790814519e-05,MelbournePedestrian,1198
