method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.04371754699968733,MiddlePhalanxOutlineCorrect,212
shapley_sampling,1,1,0.6386277220008196,MiddlePhalanxOutlineCorrect,212
feature_ablation,1,1,0.02739847599877976,MiddlePhalanxOutlineCorrect,212
mrsqm,1,1,2.1891995857004076e-05,MiddlePhalanxOutlineCorrect,212
hydra,1,1,0.030270488001406193,MiddlePhalanxOutlineCorrect,208
shapley_sampling,1,1,0.6331917700008489,MiddlePhalanxOutlineCorrect,208
feature_ablation,1,1,0.02753135700186249,MiddlePhalanxOutlineCorrect,208
mrsqm,1,1,2.2722997528035194e-05,MiddlePhalanxOutlineCorrect,208
hydra,0,0,0.030351601999427658,MiddlePhalanxOutlineCorrect,54
shapley_sampling,0,0,0.6339535349979997,MiddlePhalanxOutlineCorrect,54
feature_ablation,0,0,0.02777003699884517,MiddlePhalanxOutlineCorrect,54
mrsqm,0,0,2.2221996914595366e-05,MiddlePhalanxOutlineCorrect,54
hydra,0,0,0.03041404899704503,MiddlePhalanxOutlineCorrect,276
shapley_sampling,0,0,0.6290416389965685,MiddlePhalanxOutlineCorrect,276
feature_ablation,0,0,0.027315321000060067,MiddlePhalanxOutlineCorrect,276
mrsqm,0,0,2.1309999283403158e-05,MiddlePhalanxOutlineCorrect,276
hydra,0,0,0.030109885999991093,MiddlePhalanxOutlineCorrect,246
shapley_sampling,0,0,0.6245416300007491,MiddlePhalanxOutlineCorrect,246
feature_ablation,0,0,0.02686410999740474,MiddlePhalanxOutlineCorrect,246
mrsqm,0,0,2.051900082733482e-05,MiddlePhalanxOutlineCorrect,246
hydra,1,1,0.030415843000810128,MiddlePhalanxOutlineCorrect,219
shapley_sampling,1,1,0.6282431650033686,MiddlePhalanxOutlineCorrect,219
feature_ablation,1,1,0.027341640001395717,MiddlePhalanxOutlineCorrect,219
mrsqm,1,1,2.094999945256859e-05,MiddlePhalanxOutlineCorrect,219
hydra,1,1,0.03043915700254729,MiddlePhalanxOutlineCorrect,35
shapley_sampling,1,1,0.6280505820031976,MiddlePhalanxOutlineCorrect,35
feature_ablation,1,1,0.027208519000851084,MiddlePhalanxOutlineCorrect,35
mrsqm,1,1,2.2252002963796258e-05,MiddlePhalanxOutlineCorrect,35
hydra,1,1,0.030038951997994445,MiddlePhalanxOutlineCorrect,23
shapley_sampling,1,1,0.6252179950024583,MiddlePhalanxOutlineCorrect,23
feature_ablation,1,1,0.027336238999851048,MiddlePhalanxOutlineCorrect,23
mrsqm,1,1,2.0238003344275057e-05,MiddlePhalanxOutlineCorrect,23
hydra,1,1,0.030018994999409188,MiddlePhalanxOutlineCorrect,176
shapley_sampling,1,1,0.625571160002437,MiddlePhalanxOutlineCorrect,176
feature_ablation,1,1,0.02713241500168806,MiddlePhalanxOutlineCorrect,176
mrsqm,1,1,2.1881001885049045e-05,MiddlePhalanxOutlineCorrect,176
hydra,0,0,0.030227146002289373,MiddlePhalanxOutlineCorrect,287
shapley_sampling,0,0,0.628156011000101,MiddlePhalanxOutlineCorrect,287
feature_ablation,0,0,0.02727496400621021,MiddlePhalanxOutlineCorrect,287
mrsqm,0,0,2.3834996682126075e-05,MiddlePhalanxOutlineCorrect,287
hydra,0,0,0.030148929996357765,MiddlePhalanxOutlineCorrect,116
shapley_sampling,0,0,0.628941251001379,MiddlePhalanxOutlineCorrect,116
feature_ablation,0,0,0.02688792499975534,MiddlePhalanxOutlineCorrect,116
mrsqm,0,0,1.983800029847771e-05,MiddlePhalanxOutlineCorrect,116
hydra,1,1,0.030178354994859546,MiddlePhalanxOutlineCorrect,22
shapley_sampling,1,1,0.6266827150029712,MiddlePhalanxOutlineCorrect,22
feature_ablation,1,1,0.026852558003156446,MiddlePhalanxOutlineCorrect,22
mrsqm,1,1,2.097999822581187e-05,MiddlePhalanxOutlineCorrect,22
hydra,1,1,0.030075189999479335,MiddlePhalanxOutlineCorrect,128
shapley_sampling,1,1,0.6251380440007779,MiddlePhalanxOutlineCorrect,128
feature_ablation,1,1,0.027281627000775188,MiddlePhalanxOutlineCorrect,128
mrsqm,1,1,2.1100000594742596e-05,MiddlePhalanxOutlineCorrect,128
hydra,0,0,0.03004470299492823,MiddlePhalanxOutlineCorrect,238
shapley_sampling,0,0,0.6256255530024646,MiddlePhalanxOutlineCorrect,238
feature_ablation,0,0,0.02745889100333443,MiddlePhalanxOutlineCorrect,238
mrsqm,0,0,2.1709995053242892e-05,MiddlePhalanxOutlineCorrect,238
hydra,0,0,0.030899213001248427,MiddlePhalanxOutlineCorrect,25
shapley_sampling,0,0,0.6267189630016219,MiddlePhalanxOutlineCorrect,25
feature_ablation,0,0,0.026975369000865612,MiddlePhalanxOutlineCorrect,25
mrsqm,0,0,2.0888997823931277e-05,MiddlePhalanxOutlineCorrect,25
hydra,0,0,0.029971594995004125,MiddlePhalanxOutlineCorrect,282
shapley_sampling,0,0,0.6258501359989168,MiddlePhalanxOutlineCorrect,282
feature_ablation,0,0,0.027239466995524708,MiddlePhalanxOutlineCorrect,282
mrsqm,0,0,2.0920000679325312e-05,MiddlePhalanxOutlineCorrect,282
hydra,0,0,0.030140934999508318,MiddlePhalanxOutlineCorrect,227
shapley_sampling,0,0,0.6263878679965273,MiddlePhalanxOutlineCorrect,227
feature_ablation,0,0,0.027032758000132162,MiddlePhalanxOutlineCorrect,227
mrsqm,0,0,2.0598999981302768e-05,MiddlePhalanxOutlineCorrect,227
hydra,1,1,0.030064771002798807,MiddlePhalanxOutlineCorrect,117
shapley_sampling,1,1,0.6259599719996913,MiddlePhalanxOutlineCorrect,117
feature_ablation,1,1,0.0273233049956616,MiddlePhalanxOutlineCorrect,117
mrsqm,1,1,2.0838997443206608e-05,MiddlePhalanxOutlineCorrect,117
hydra,1,1,0.030219002001103945,MiddlePhalanxOutlineCorrect,194
shapley_sampling,1,1,0.6259845590029727,MiddlePhalanxOutlineCorrect,194
feature_ablation,1,1,0.02706585999840172,MiddlePhalanxOutlineCorrect,194
mrsqm,1,1,2.1361003746278584e-05,MiddlePhalanxOutlineCorrect,194
hydra,1,1,0.030384673998923972,MiddlePhalanxOutlineCorrect,147
shapley_sampling,1,1,0.6250761369956308,MiddlePhalanxOutlineCorrect,147
feature_ablation,1,1,0.027133447998494375,MiddlePhalanxOutlineCorrect,147
mrsqm,1,1,2.042800042545423e-05,MiddlePhalanxOutlineCorrect,147
