true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
2,2,hydra,0.4161192702332003,0.6274823260365086,0.39311316513723005,OSULeaf,174
2,2,shapley_sampling,0.03954565830819698,-0.27854163179589075,0.07671839472757858,OSULeaf,174
2,2,feature_ablation,-0.35612130075860526,-0.18278635252608078,-1.019071541685528,OSULeaf,174
2,2,mrsqm,-0.3470017490855358,-0.4594053758386724,-0.9104900521027095,OSULeaf,174
4,4,hydra,0.9749999996608755,0.9749999952391059,0.04875000905122604,OSULeaf,170
4,4,shapley_sampling,0.9749999990621641,0.9749999944180326,0.04875001061154308,OSULeaf,170
4,4,feature_ablation,0.974999995913872,0.9288898284638749,0.13255280201732808,OSULeaf,170
4,4,mrsqm,0.9749999963208517,0.974657572113179,0.049400818156808024,OSULeaf,170
1,1,hydra,0.9749999996032371,0.9749999996823421,0.04875000060345117,OSULeaf,48
1,1,shapley_sampling,0.8265224030977371,0.769149662666324,0.36090012211040096,OSULeaf,48
1,1,feature_ablation,0.8295206841469329,0.6344876326630934,0.5074337795778965,OSULeaf,48
1,1,mrsqm,0.9672015052688631,0.9557460106828758,0.08463550855333445,OSULeaf,48
3,3,hydra,0.7006671353145013,0.5621152058053224,0.5389503568421843,OSULeaf,233
3,3,shapley_sampling,0.5277001431367869,0.5061922215939642,0.5101917074776203,OSULeaf,233
3,3,feature_ablation,0.6121867210728588,0.398678031454596,0.6067057078078092,OSULeaf,233
3,3,mrsqm,0.4932336340865275,0.4421666800175917,0.5235482945483801,OSULeaf,233
3,3,hydra,0.614724291071391,0.6096704715265415,0.47747700274148314,OSULeaf,202
3,3,shapley_sampling,0.456505545066749,0.6349082293697094,0.4057131506316236,OSULeaf,202
3,3,feature_ablation,0.6402413820997563,0.4323056987284627,0.6017892989829396,OSULeaf,202
3,3,mrsqm,0.475978993312374,0.4923247477716922,0.4913164490077762,OSULeaf,202
5,5,hydra,0.9703360412571095,0.4355874239197614,0.7136932505071537,OSULeaf,180
5,5,shapley_sampling,0.8473287242265174,0.8935316450430063,0.1891674808931729,OSULeaf,180
5,5,feature_ablation,0.9521021120940046,0.7270453113224972,0.4242754057316299,OSULeaf,180
5,5,mrsqm,0.9416869134438735,0.9669679848802085,0.06382520222280896,OSULeaf,180
1,1,hydra,0.974999999933475,0.9749999998614555,0.048750000263324635,OSULeaf,33
1,1,shapley_sampling,0.8029294358963616,0.8543289290662289,0.24660242108054561,OSULeaf,33
1,1,feature_ablation,0.8309077897480955,0.7423191208454023,0.39336997687936,OSULeaf,33
1,1,mrsqm,0.7578450925230981,0.7486483705718785,0.37749944033011534,OSULeaf,33
4,4,hydra,0.9250000002638726,0.9250000009381557,0.13874999839754962,OSULeaf,22
4,4,shapley_sampling,0.9042050694960969,0.9000624783179448,0.17998243383296197,OSULeaf,22
4,4,feature_ablation,0.9161646082693994,0.8873258094619055,0.20066915391615203,OSULeaf,22
4,4,mrsqm,0.8758373787251198,0.5168076796850178,0.6227941825608254,OSULeaf,22
2,2,hydra,0.7060751618498832,0.8712806215581836,0.21774353228224036,OSULeaf,148
2,2,shapley_sampling,0.16925818613329116,0.35732014673053747,0.26794858954709055,OSULeaf,148
2,2,feature_ablation,0.2718182740460683,0.20211128208057536,0.405495590502197,OSULeaf,148
2,2,mrsqm,0.15848537048091155,0.1904774374952221,0.2650752723389578,OSULeaf,148
1,1,hydra,0.9532973331587069,0.9745572081603164,0.049562789936546926,OSULeaf,238
1,1,shapley_sampling,0.8319927593295455,0.7837816248826838,0.3432364275094927,OSULeaf,238
1,1,feature_ablation,0.6079641364938558,0.8393431900255295,0.2541527893476721,OSULeaf,238
1,1,mrsqm,0.8015066876935923,0.6794981141294266,0.4579009661711507,OSULeaf,238
4,4,hydra,0.9749999998874657,0.9472435010837539,0.10009683518863735,OSULeaf,99
4,4,shapley_sampling,0.9273458438938113,0.8476931801054763,0.26164173194419127,OSULeaf,99
4,4,feature_ablation,0.9588443126993524,0.7759219957410707,0.3632629411154697,OSULeaf,99
4,4,mrsqm,0.9434253220511993,0.8958804348553946,0.18754143231290374,OSULeaf,99
4,4,hydra,0.9736953551939007,0.9259236013465573,0.13767854503330632,OSULeaf,228
4,4,shapley_sampling,0.7793987330592245,0.8290626294724415,0.2803815818820739,OSULeaf,228
4,4,feature_ablation,0.9130670644817334,0.6191588328267764,0.5374933369113637,OSULeaf,228
4,4,mrsqm,0.8084184275955864,0.7195583013199977,0.41642490455517284,OSULeaf,228
4,4,hydra,0.9114207884688659,0.9449808918723557,0.10377377649070132,OSULeaf,110
4,4,shapley_sampling,0.8083540902343422,0.8018383970187217,0.3182955683195584,OSULeaf,110
4,4,feature_ablation,0.8247252414195956,0.6737840969336371,0.4675104208416799,OSULeaf,110
4,4,mrsqm,0.8092568953532125,0.691102028905501,0.44712556474936277,OSULeaf,110
5,5,hydra,0.30493339426476745,0.13946619228663987,0.4503009512755799,OSULeaf,196
5,5,shapley_sampling,0.3914670347457104,0.30300352781838874,0.5013510153655065,OSULeaf,196
5,5,feature_ablation,0.4665796562174585,0.30478628084315246,0.558399772209678,OSULeaf,196
5,5,mrsqm,0.40369969360825614,0.379572339357073,0.4891314648865554,OSULeaf,196
1,1,hydra,0.8371355906902171,0.6471135091982908,0.4964846375850899,OSULeaf,24
1,1,shapley_sampling,0.45622193797293825,0.4568436429860297,0.49590800012818126,OSULeaf,24
1,1,feature_ablation,0.48357827972598966,0.4476221188555655,0.5156935314677346,OSULeaf,24
1,1,mrsqm,0.49400248219590603,0.5577143786680634,0.4667157340871585,OSULeaf,24
5,5,hydra,0.9405524458022948,0.3341849786296185,0.7796895288274692,OSULeaf,173
5,5,shapley_sampling,0.9454353658073722,0.7822620452235737,0.3539578483813223,OSULeaf,173
5,5,feature_ablation,0.9601542311691282,0.8500258737869884,0.25942638234895105,OSULeaf,173
5,5,mrsqm,0.8098478915261855,0.8179686705758871,0.2972492723148058,OSULeaf,173
1,1,hydra,0.752576477816089,0.6404415658595509,0.48662301133670766,OSULeaf,187
1,1,shapley_sampling,0.4105987869292098,0.4842005008716687,0.4572259077509394,OSULeaf,187
1,1,feature_ablation,0.4784678699888845,0.43447757385700747,0.5183655665577253,OSULeaf,187
1,1,mrsqm,0.5098944528969552,0.40419802712766306,0.5495109035579988,OSULeaf,187
2,2,hydra,0.9250000067020511,0.8250000072360717,0.29431817192377924,OSULeaf,100
2,2,shapley_sampling,0.27791105063144234,0.7837565750648081,0.24322935594975467,OSULeaf,100
2,2,feature_ablation,0.21873829652125762,0.6250000117472283,0.2763064492535511,OSULeaf,100
2,2,mrsqm,-0.9546378846535164,-0.2655376650630621,-7.771830510357338,OSULeaf,100
1,1,hydra,0.974999999537405,0.9749999993503166,0.04875000123463239,OSULeaf,161
1,1,shapley_sampling,0.8758626633033804,0.8904246057006495,0.19478240350696435,OSULeaf,161
1,1,feature_ablation,0.9503006641575471,0.9190515251003403,0.14918875865441059,OSULeaf,161
1,1,mrsqm,0.9079918115576379,0.9679526169663981,0.06190967683855946,OSULeaf,161
1,1,hydra,0.9375011273523297,0.9210791433411899,0.14558597364701464,OSULeaf,124
1,1,shapley_sampling,0.7686939861878451,0.8277513262677085,0.2814337690632133,OSULeaf,124
1,1,feature_ablation,0.7110784117781677,0.7527859611802459,0.3668787455928191,OSULeaf,124
1,1,mrsqm,0.654961151208865,0.731805702180284,0.38055745916355643,OSULeaf,124
