method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,0,0,0.04394737999973586,PhalangesOutlinesCorrect,649
shapley_sampling,0,0,0.6258728389948374,PhalangesOutlinesCorrect,649
feature_ablation,0,0,0.027323025002260692,PhalangesOutlinesCorrect,649
mrsqm,0,0,2.2382002498488873e-05,PhalangesOutlinesCorrect,649
hydra,1,1,0.029806493999785744,PhalangesOutlinesCorrect,620
shapley_sampling,1,1,0.6165951960065286,PhalangesOutlinesCorrect,620
feature_ablation,1,1,0.0273507769961725,PhalangesOutlinesCorrect,620
mrsqm,1,1,2.1911000658292323e-05,PhalangesOutlinesCorrect,620
hydra,1,1,0.02979844900255557,PhalangesOutlinesCorrect,183
shapley_sampling,1,1,0.6164618249968044,PhalangesOutlinesCorrect,183
feature_ablation,1,1,0.02752532599697588,PhalangesOutlinesCorrect,183
mrsqm,1,1,2.2862994228489697e-05,PhalangesOutlinesCorrect,183
hydra,0,0,0.030063247999351006,PhalangesOutlinesCorrect,825
shapley_sampling,0,0,0.612753827997949,PhalangesOutlinesCorrect,825
feature_ablation,0,0,0.02708423500007484,PhalangesOutlinesCorrect,825
mrsqm,0,0,2.177100395783782e-05,PhalangesOutlinesCorrect,825
hydra,1,1,0.03019426499668043,PhalangesOutlinesCorrect,717
shapley_sampling,1,1,0.6129983189966879,PhalangesOutlinesCorrect,717
feature_ablation,1,1,0.02769020699633984,PhalangesOutlinesCorrect,717
mrsqm,1,1,2.2932996216695756e-05,PhalangesOutlinesCorrect,717
hydra,1,1,0.030048940992855933,PhalangesOutlinesCorrect,850
shapley_sampling,1,1,0.6142363420003676,PhalangesOutlinesCorrect,850
feature_ablation,1,1,0.02703033299621893,PhalangesOutlinesCorrect,850
mrsqm,1,1,2.2803003957960755e-05,PhalangesOutlinesCorrect,850
hydra,0,0,0.030132587999105453,PhalangesOutlinesCorrect,121
shapley_sampling,0,0,0.6134049760003109,PhalangesOutlinesCorrect,121
feature_ablation,0,0,0.027154005998454522,PhalangesOutlinesCorrect,121
mrsqm,0,0,2.2282001737039536e-05,PhalangesOutlinesCorrect,121
hydra,1,1,0.030149280006298795,PhalangesOutlinesCorrect,84
shapley_sampling,1,1,0.6168800139930681,PhalangesOutlinesCorrect,84
feature_ablation,1,1,0.0268629280035384,PhalangesOutlinesCorrect,84
mrsqm,1,1,2.1952000679448247e-05,PhalangesOutlinesCorrect,84
hydra,0,0,0.030244229004892986,PhalangesOutlinesCorrect,564
shapley_sampling,0,0,0.6172947049999493,PhalangesOutlinesCorrect,564
feature_ablation,0,0,0.02670381799543975,PhalangesOutlinesCorrect,564
mrsqm,0,0,2.1629995899274945e-05,PhalangesOutlinesCorrect,564
hydra,1,1,0.030049532004341017,PhalangesOutlinesCorrect,452
shapley_sampling,1,1,0.6212861460007844,PhalangesOutlinesCorrect,452
feature_ablation,1,1,0.02731134300120175,PhalangesOutlinesCorrect,452
mrsqm,1,1,2.3474000045098364e-05,PhalangesOutlinesCorrect,452
hydra,1,1,0.03009461700276006,PhalangesOutlinesCorrect,375
shapley_sampling,1,1,0.6204816200042842,PhalangesOutlinesCorrect,375
feature_ablation,1,1,0.02758606000134023,PhalangesOutlinesCorrect,375
mrsqm,1,1,2.289300027769059e-05,PhalangesOutlinesCorrect,375
hydra,1,1,0.029900210996856913,PhalangesOutlinesCorrect,82
shapley_sampling,1,1,0.6185281389989541,PhalangesOutlinesCorrect,82
