true_label,pred_label,fraction,method_a,method_b,iou,overlap_fraction,normalised_centre_distance,score_drop_a,score_drop_b,flipped_a,flipped_b,explain_time_a_s,explain_time_b_s,dataset,sample_idx
5,5,0.05,hydra,shapley_sampling,0.0,0.0,0.13850415512465375,0.025397466807169478,0.03860183412020757,0,0,0.2088383129957947,1.009816892001254,PickupGestureWiimoteZ,22
5,5,0.1,hydra,shapley_sampling,0.0,0.0,0.11634349030470914,0.038795554886100425,0.11763058319100694,0,0,0.2088383129957947,1.009816892001254,PickupGestureWiimoteZ,22
5,5,0.2,hydra,shapley_sampling,0.03597122302158273,0.06944444444444445,0.18559556786703602,0.08140727388422941,0.8543045535657859,0,1,0.2088383129957947,1.009816892001254,PickupGestureWiimoteZ,22
5,5,0.05,hydra,feature_ablation,0.0,0.0,0.26038781163434904,0.025397466807169478,0.4534863471702386,0,1,0.2088383129957947,0.04268421899905661,PickupGestureWiimoteZ,22
5,5,0.1,hydra,feature_ablation,0.0,0.0,0.2659279778393352,0.038795554886100425,0.6333802432460519,0,1,0.2088383129957947,0.04268421899905661,PickupGestureWiimoteZ,22
5,5,0.2,hydra,feature_ablation,0.0,0.0,0.23822714681440443,0.08140727388422941,0.9155405260220498,0,1,0.2088383129957947,0.04268421899905661,PickupGestureWiimoteZ,22
5,5,0.05,hydra,mrsqm,0.0,0.0,0.31301939058171746,0.025397466807169478,0.09629203764698469,0,0,0.2088383129957947,2.0307998056523502e-05,PickupGestureWiimoteZ,22
5,5,0.1,hydra,mrsqm,0.0,0.0,0.26869806094182824,0.038795554886100425,0.6340965917528538,0,1,0.2088383129957947,2.0307998056523502e-05,PickupGestureWiimoteZ,22
5,5,0.2,hydra,mrsqm,0.0,0.0,0.23822714681440443,0.08140727388422941,0.9155405239454909,0,1,0.2088383129957947,2.0307998056523502e-05,PickupGestureWiimoteZ,22
5,5,0.05,shapley_sampling,feature_ablation,0.0,0.0,0.3988919667590028,0.03860183412020757,0.4534863471702386,0,1,1.009816892001254,0.04268421899905661,PickupGestureWiimoteZ,22
5,5,0.1,shapley_sampling,feature_ablation,0.0,0.0,0.14958448753462603,0.11763058319100694,0.6333802432460519,0,1,1.009816892001254,0.04268421899905661,PickupGestureWiimoteZ,22
5,5,0.2,shapley_sampling,feature_ablation,0.5824175824175825,0.7361111111111112,0.05263157894736842,0.8543045535657859,0.9155405260220498,1,1,1.009816892001254,0.04268421899905661,PickupGestureWiimoteZ,22
5,5,0.05,shapley_sampling,mrsqm,0.0,0.0,0.4515235457063712,0.03860183412020757,0.09629203764698469,0,0,1.009816892001254,2.0307998056523502e-05,PickupGestureWiimoteZ,22
5,5,0.1,shapley_sampling,mrsqm,0.0,0.0,0.1523545706371191,0.11763058319100694,0.6340965917528538,0,1,1.009816892001254,2.0307998056523502e-05,PickupGestureWiimoteZ,22
5,5,0.2,shapley_sampling,mrsqm,0.5824175824175825,0.7361111111111112,0.05263157894736842,0.8543045535657859,0.9155405239454909,1,1,1.009816892001254,2.0307998056523502e-05,PickupGestureWiimoteZ,22
5,5,0.05,feature_ablation,mrsqm,0.0,0.0,0.05263157894736842,0.4534863471702386,0.09629203764698469,1,0,0.04268421899905661,2.0307998056523502e-05,PickupGestureWiimoteZ,22
5,5,0.1,feature_ablation,mrsqm,0.9459459459459459,0.9722222222222222,0.002770083102493075,0.6333802432460519,0.6340965917528538,1,1,0.04268421899905661,2.0307998056523502e-05,PickupGestureWiimoteZ,22
5,5,0.2,feature_ablation,mrsqm,1.0,1.0,0.0,0.9155405260220498,0.9155405239454909,1,1,0.04268421899905661,2.0307998056523502e-05,PickupGestureWiimoteZ,22
9,9,0.05,hydra,shapley_sampling,0.0,0.0,0.13019390581717452,0.01376861407581087,0.07816571067119316,0,0,0.19541775499965297,1.0128101520022028,PickupGestureWiimoteZ,43
9,9,0.1,hydra,shapley_sampling,0.0,0.0,0.14681440443213298,0.2927434250319463,0.2595706187606023,0,1,0.19541775499965297,1.0128101520022028,PickupGestureWiimoteZ,43
9,9,0.2,hydra,shapley_sampling,0.0,0.0,0.22160664819944598,0.4210768397219512,0.2048201545516739,1,1,0.19541775499965297,1.0128101520022028,PickupGestureWiimoteZ,43
9,9,0.05,hydra,feature_ablation,0.0,0.0,0.13019390581717452,0.01376861407581087,0.07816571017176988,0,0,0.19541775499965297,0.04288773299776949,PickupGestureWiimoteZ,43
9,9,0.1,hydra,feature_ablation,0.014084507042253521,0.027777777777777776,0.09695290858725762,0.2927434250319463,0.3104623939866814,0,1,0.19541775499965297,0.04288773299776949,PickupGestureWiimoteZ,43
9,9,0.2,hydra,feature_ablation,0.2413793103448276,0.3888888888888889,0.12188365650969529,0.4210768397219512,0.5892002572868215,1,1,0.19541775499965297,0.04288773299776949,PickupGestureWiimoteZ,43
9,9,0.05,hydra,mrsqm,0.0,0.0,0.28254847645429365,0.01376861407581087,-0.03533242267584047,0,0,0.19541775499965297,2.1349995222408324e-05,PickupGestureWiimoteZ,43
9,9,0.1,hydra,mrsqm,0.0,0.0,0.24930747922437674,0.2927434250319463,-0.06734398586889268,0,0,0.19541775499965297,2.1349995222408324e-05,PickupGestureWiimoteZ,43
9,9,0.2,hydra,mrsqm,0.0,0.0,0.22437673130193905,0.4210768397219512,0.18026809700853363,1,1,0.19541775499965297,2.1349995222408324e-05,PickupGestureWiimoteZ,43
9,9,0.05,shapley_sampling,feature_ablation,1.0,1.0,0.0,0.07816571067119316,0.07816571017176988,0,0,1.0128101520022028,0.04288773299776949,PickupGestureWiimoteZ,43
9,9,0.1,shapley_sampling,feature_ablation,0.3333333333333333,0.5,0.04986149584487535,0.2595706187606023,0.3104623939866814,1,1,1.0128101520022028,0.04288773299776949,PickupGestureWiimoteZ,43
9,9,0.2,shapley_sampling,feature_ablation,0.3333333333333333,0.5,0.0997229916897507,0.2048201545516739,0.5892002572868215,1,1,1.0128101520022028,0.04288773299776949,PickupGestureWiimoteZ,43
9,9,0.05,shapley_sampling,mrsqm,0.0,0.0,0.1523545706371191,0.07816571067119316,-0.03533242267584047,0,0,1.0128101520022028,2.1349995222408324e-05,PickupGestureWiimoteZ,43
9,9,0.1,shapley_sampling,mrsqm,0.0,0.0,0.10249307479224377,0.2595706187606023,-0.06734398586889268,1,0,1.0128101520022028,2.1349995222408324e-05,PickupGestureWiimoteZ,43
9,9,0.2,shapley_sampling,mrsqm,0.9726027397260274,0.9861111111111112,0.002770083102493075,0.2048201545516739,0.18026809700853363,1,1,1.0128101520022028,2.1349995222408324e-05,PickupGestureWiimoteZ,43
9,9,0.05,feature_ablation,mrsqm,0.0,0.0,0.1523545706371191,0.07816571017176988,-0.03533242267584047,0,0,0.04288773299776949,2.1349995222408324e-05,PickupGestureWiimoteZ,43
9,9,0.1,feature_ablation,mrsqm,0.0,0.0,0.1523545706371191,0.3104623939866814,-0.06734398586889268,1,0,0.04288773299776949,2.1349995222408324e-05,PickupGestureWiimoteZ,43
9,9,0.2,feature_ablation,mrsqm,0.3211009174311927,0.4861111111111111,0.10249307479224377,0.5892002572868215,0.18026809700853363,1,1,0.04288773299776949,2.1349995222408324e-05,PickupGestureWiimoteZ,43
2,2,0.05,hydra,shapley_sampling,0.0,0.0,0.32409972299168976,0.1611472155152247,0.1674668899301226,0,0,0.19161417699797312,1.0120629250013735,PickupGestureWiimoteZ,6
2,2,0.1,hydra,shapley_sampling,0.0,0.0,0.16620498614958448,0.09695566442248782,0.4115950441431493,0,0,0.19161417699797312,1.0120629250013735,PickupGestureWiimoteZ,6
2,2,0.2,hydra,shapley_sampling,0.0,0.0,0.3601108033240997,0.862965260676047,0.7444910554242344,1,1,0.19161417699797312,1.0120629250013735,PickupGestureWiimoteZ,6
