method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,2.284639163000975,Rock,23
shapley_sampling,1,1,1.4866805739948177,Rock,23
feature_ablation,1,1,0.06009928500134265,Rock,23
mrsqm,1,1,2.6680005248636007e-05,Rock,23
hydra,2,2,2.2798922580041108,Rock,31
shapley_sampling,2,2,1.490527492002002,Rock,31
feature_ablation,2,2,0.060793964003096335,Rock,31
mrsqm,2,2,2.6649999199435115e-05,Rock,31
hydra,0,0,2.280151795996062,Rock,8
shapley_sampling,0,0,1.4837507729971549,Rock,8
feature_ablation,0,0,0.061275811996893026,Rock,8
mrsqm,0,0,3.0408002203330398e-05,Rock,8
hydra,3,3,2.2866515340065234,Rock,39
shapley_sampling,3,3,1.4852050429981318,Rock,39
feature_ablation,3,3,0.06135486100538401,Rock,39
mrsqm,3,3,2.8874004783574492e-05,Rock,39
hydra,3,3,2.2926411100052064,Rock,48
shapley_sampling,3,3,1.47660409600212,Rock,48
feature_ablation,3,3,0.06106100699980743,Rock,48
mrsqm,3,3,2.7642003260552883e-05,Rock,48
hydra,3,3,2.283762298997317,Rock,41
shapley_sampling,3,3,1.4880393740022555,Rock,41
feature_ablation,3,3,0.06032698399940273,Rock,41
mrsqm,3,3,2.7992005925625563e-05,Rock,41
hydra,0,0,2.3021634129981976,Rock,6
shapley_sampling,0,0,1.5068345889958437,Rock,6
feature_ablation,0,0,0.060736475003068335,Rock,6
mrsqm,0,0,2.7362002583686262e-05,Rock,6
hydra,0,0,2.327002858000924,Rock,2
shapley_sampling,0,0,1.4730917580018286,Rock,2
feature_ablation,0,0,0.062121795999701135,Rock,2
mrsqm,0,0,3.28820024151355e-05,Rock,2
hydra,0,0,2.291308529995149,Rock,20
shapley_sampling,0,0,1.489943011001742,Rock,20
feature_ablation,0,0,0.059998475000611506,Rock,20
mrsqm,0,0,2.719099575188011e-05,Rock,20
hydra,1,1,2.281920157998684,Rock,24
shapley_sampling,1,1,1.482665989002271,Rock,24
feature_ablation,1,1,0.05987774700042792,Rock,24
mrsqm,1,1,2.580900036264211e-05,Rock,24
hydra,2,2,2.2987864399983664,Rock,32
shapley_sampling,2,2,1.464124181002262,Rock,32
feature_ablation,2,2,0.05948856400209479,Rock,32
mrsqm,2,2,2.6690002414397895e-05,Rock,32
hydra,2,2,2.2725268690046505,Rock,34
shapley_sampling,2,2,1.4735094050047337,Rock,34
feature_ablation,2,2,0.05933232900133589,Rock,34
mrsqm,2,2,2.7902002329938114e-05,Rock,34
hydra,1,1,2.276747791998787,Rock,22
shapley_sampling,1,1,1.4645475780052948,Rock,22
feature_ablation,1,1,0.059271454003464896,Rock,22
mrsqm,1,1,2.895500074373558e-05,Rock,22
hydra,1,1,2.2834224889957113,Rock,29
shapley_sampling,1,1,1.4681771279938403,Rock,29
feature_ablation,1,1,0.059076027006085496,Rock,29
mrsqm,1,1,2.8522998036351055e-05,Rock,29
hydra,0,0,2.2812289660068927,Rock,3
shapley_sampling,0,0,1.4721630490021198,Rock,3
feature_ablation,0,0,0.06026871399808442,Rock,3
mrsqm,0,0,2.9165006708353758e-05,Rock,3
hydra,2,2,2.2787380930021754,Rock,30
shapley_sampling,2,2,1.4825534070041613,Rock,30
feature_ablation,2,2,0.06044193100387929,Rock,30
mrsqm,2,2,2.9185001039877534e-05,Rock,30
hydra,2,2,2.283318383000733,Rock,35
shapley_sampling,2,2,1.6330809049977688,Rock,35
feature_ablation,2,2,0.06175972400524188,Rock,35
mrsqm,2,2,3.011700027855113e-05,Rock,35
hydra,0,0,2.316350435001368,Rock,15
shapley_sampling,0,0,1.5186063009969075,Rock,15
feature_ablation,0,0,0.06284013000549749,Rock,15
mrsqm,0,0,2.85339992842637e-05,Rock,15
hydra,1,1,2.3227429450053023,Rock,25
shapley_sampling,1,1,1.5308626039986848,Rock,25
feature_ablation,1,1,0.0647206229987205,Rock,25
mrsqm,1,1,3.2351003028452396e-05,Rock,25
hydra,1,1,2.341487978002988,Rock,21
shapley_sampling,1,1,1.5146672050032066,Rock,21
feature_ablation,1,1,0.059891975004575215,Rock,21
mrsqm,1,1,2.7642003260552883e-05,Rock,21
