true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
2,2,hydra,0.5201877075970454,0.4614838124678581,0.5291932945274807,SmoothSubspace,102
2,2,shapley_sampling,0.5219677708200829,0.42016164821240765,0.5493832820646413,SmoothSubspace,102
2,2,feature_ablation,0.2731934791359335,0.4089279773547599,0.37367457558719347,SmoothSubspace,102
2,2,mrsqm,0.5305968036076224,0.3522610549775987,0.5833451360542088,SmoothSubspace,102
2,2,hydra,0.5805843759474517,0.458737081971263,0.5602345259904526,SmoothSubspace,104
2,2,shapley_sampling,0.6509740527472194,0.43612287518583776,0.6043034471573014,SmoothSubspace,104
2,2,feature_ablation,0.6490665310696497,0.42658011749103264,0.608902724565988,SmoothSubspace,104
2,2,mrsqm,0.5416050672722824,0.5643151045793805,0.4829050867228677,SmoothSubspace,104
0,0,hydra,0.06788098375120782,0.024819748350131045,0.12692676627233648,SmoothSubspace,27
0,0,shapley_sampling,-0.023374024832388728,0.32945297560278025,-0.04843645458041051,SmoothSubspace,27
0,0,feature_ablation,-0.2830055950343257,-0.025451171152176336,-0.7817634805988855,SmoothSubspace,27
0,0,mrsqm,0.12008430143555511,-0.009311770854021732,0.21463240736791228,SmoothSubspace,27
2,2,hydra,0.4629148475093011,0.4407081822390478,0.5065599654714857,SmoothSubspace,137
2,2,shapley_sampling,0.5284291506125298,0.3773490681828899,0.5716837743099904,SmoothSubspace,137
2,2,feature_ablation,0.5036232787459047,0.27947089263303243,0.5928595746748044,SmoothSubspace,137
2,2,mrsqm,0.4906912451873535,0.4253073541845003,0.5293803526722689,SmoothSubspace,137
2,2,hydra,0.3938505523170661,0.5186474082895708,0.43322738360374974,SmoothSubspace,125
2,2,shapley_sampling,0.5608495781782161,0.32478953394854915,0.6127396591036639,SmoothSubspace,125
2,2,feature_ablation,0.5099476057936096,0.2763655063256283,0.5982831263165471,SmoothSubspace,125
2,2,mrsqm,0.47103267836006907,0.4300373455095225,0.5157968095298042,SmoothSubspace,125
2,2,hydra,0.5010454236426866,0.4021869324789598,0.5451684708883671,SmoothSubspace,110
2,2,shapley_sampling,0.4721699122211414,0.30245020255906085,0.5631469212786238,SmoothSubspace,110
2,2,feature_ablation,0.3732066714975347,0.41390572593993974,0.45602851580341014,SmoothSubspace,110
2,2,mrsqm,0.5170685752081582,0.3748031204538002,0.5660149458009452,SmoothSubspace,110
0,0,hydra,0.8250000353363479,-0.0749999646636523,0.933552640877985,SmoothSubspace,19
0,0,shapley_sampling,0.8250000353363479,0.6250000353363477,0.5156249734977372,SmoothSubspace,19
0,0,feature_ablation,0.9250000353363479,0.7142017805648522,0.43667615481733285,SmoothSubspace,19
0,0,mrsqm,0.6250000353363477,0.4250000353363478,0.5989583303886357,SmoothSubspace,19
0,0,hydra,0.7679178980226591,0.7441421956330614,0.3838297526763976,SmoothSubspace,11
0,0,shapley_sampling,0.9749999985123108,-0.3136470941275007,1.119269037973596,SmoothSubspace,11
0,0,feature_ablation,0.8888998116698352,-0.35239016400851125,1.0727209554644666,SmoothSubspace,11
0,0,mrsqm,0.7344600318248601,0.5035321671189019,0.5924567812509048,SmoothSubspace,11
1,1,hydra,0.4876964144465268,0.4724144061991478,0.5068574057654814,SmoothSubspace,88
1,1,shapley_sampling,0.5239600979092589,0.2847017688502096,0.6048581194723698,SmoothSubspace,88
1,1,feature_ablation,0.2167894737218837,0.25461655046083065,0.335888241791141,SmoothSubspace,88
1,1,mrsqm,0.2449584215494163,0.6056334212316936,0.30220440182667435,SmoothSubspace,88
1,1,hydra,0.6038149197697839,0.11942530499940844,0.7163943125475651,SmoothSubspace,76
1,1,shapley_sampling,0.7602535737724492,-0.055319154224540625,0.8838094405117718,SmoothSubspace,76
1,1,feature_ablation,0.7558736447524491,0.028011821987720554,0.8504155101880194,SmoothSubspace,76
1,1,mrsqm,-0.0315835053442396,0.8257087931760692,-0.07714688422700114,SmoothSubspace,76
