true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
4,4,hydra,0.5198474974469119,0.4420359632279723,0.538231776098984,SwedishLeaf,472
4,4,shapley_sampling,0.5760811038852874,0.521796381954947,0.5225989951954069,SwedishLeaf,472
4,4,feature_ablation,0.5372984778174041,0.5363377450214802,0.497771821928474,SwedishLeaf,472
4,4,mrsqm,0.5770888249546635,0.5161666591677995,0.5263624856544608,SwedishLeaf,472
4,4,hydra,0.4949009060729843,0.47155157559005617,0.51112478654753,SwedishLeaf,447
4,4,shapley_sampling,0.551593156305446,0.5846194760360757,0.4738930520161513,SwedishLeaf,447
4,4,feature_ablation,0.6367719302660657,0.5333506106214073,0.5385961411870857,SwedishLeaf,447
4,4,mrsqm,0.5791644721235256,0.5164545021080776,0.5270532524131898,SwedishLeaf,447
12,12,hydra,0.945328315330576,0.8889613290473724,0.19873396482697836,SwedishLeaf,124
12,12,shapley_sampling,0.8990096687037068,0.9304060866929297,0.1291872177802614,SwedishLeaf,124
12,12,feature_ablation,0.9180140379238066,0.9215575474593676,0.14453470530942852,SwedishLeaf,124
12,12,mrsqm,0.5972887119397879,0.6883018729246606,0.40962919339204096,SwedishLeaf,124
14,14,hydra,0.4200370450897409,0.3573209804284955,0.508035975551073,SwedishLeaf,602
14,14,shapley_sampling,0.3004644319400753,0.660884725440842,0.3186219865865686,SwedishLeaf,602
14,14,feature_ablation,0.4297866133251923,0.7042419571005222,0.350392898716608,SwedishLeaf,602
14,14,mrsqm,0.38544398126080753,0.3883461330705777,0.4728889989096956,SwedishLeaf,602
6,6,hydra,0.9431505365462488,0.9301735392734909,0.1300263758735674,SwedishLeaf,623
6,6,shapley_sampling,0.9016687839835732,0.9050962195418059,0.17173215353187485,SwedishLeaf,623
6,6,feature_ablation,0.8772169936583604,0.7805291898971063,0.3510999640443474,SwedishLeaf,623
6,6,mrsqm,0.20130174929785152,-0.16098088968393004,0.343111594183469,SwedishLeaf,623
14,14,hydra,0.35678266309223877,0.5604529742679498,0.39386389982894826,SwedishLeaf,473
14,14,shapley_sampling,0.31381746705136226,0.6522728657658761,0.3299032242976174,SwedishLeaf,473
14,14,feature_ablation,0.6521858221677738,0.8806317495413464,0.20180123034305972,SwedishLeaf,473
14,14,mrsqm,0.7334477289156406,0.7299096672897633,0.39479746449765296,SwedishLeaf,473
4,4,hydra,0.5456100999546888,0.5281129930328731,0.5060777377884705,SwedishLeaf,79
4,4,shapley_sampling,0.633652249600381,0.5783926346396666,0.5063255557611966,SwedishLeaf,79
4,4,feature_ablation,0.6290429231027818,0.5705884288617729,0.5104013661289115,SwedishLeaf,79
