true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
4,4,hydra,0.5482399761038972,0.2270306185926518,0.6414921492685566,SyntheticControl,211
4,4,shapley_sampling,0.5412851686979981,0.38990082497387085,0.5736357918649154,SyntheticControl,211
4,4,feature_ablation,0.48520716444988315,0.5125060981464706,0.4863478451892199,SyntheticControl,211
4,4,mrsqm,0.20477602171180048,0.3317286190431325,0.3134903199938459,SyntheticControl,211
4,4,hydra,0.5869522840546989,0.22835171654400038,0.6667459638873148,SyntheticControl,205
4,4,shapley_sampling,0.44137848497635546,0.43605507782425806,0.4951902116059635,SyntheticControl,205
4,4,feature_ablation,0.49414879066867035,0.3598893488304352,0.5577381902273586,SyntheticControl,205
4,4,mrsqm,0.18119731270512543,0.4282654532740423,0.2751823080662424,SyntheticControl,205
1,1,hydra,0.5058586639079331,0.39821587423975,0.5496676666116848,SyntheticControl,56
1,1,shapley_sampling,0.4579148621542263,0.4433681382334786,0.5024707019237844,SyntheticControl,56
1,1,feature_ablation,0.4354649018257154,0.4579652041073823,0.4829405671028957,SyntheticControl,56
1,1,mrsqm,0.39854662140375335,0.4551032334004593,0.46037052801162515,SyntheticControl,56
5,5,hydra,0.5469537566408521,0.3346485372248508,0.6003710554453637,SyntheticControl,283
5,5,shapley_sampling,0.545712829611948,0.437987028187335,0.5537429727321953,SyntheticControl,283
5,5,feature_ablation,0.5801040422587638,0.3326314130660295,0.6206841030371048,SyntheticControl,283
5,5,mrsqm,0.3874303925501334,0.45281509692539734,0.453654167202545,SyntheticControl,283
4,4,hydra,0.9089045359080345,0.19907027081974327,0.8515078667673545,SyntheticControl,245
4,4,shapley_sampling,0.92308508540403,0.9167119536638895,0.1527901549445487,SyntheticControl,245
4,4,feature_ablation,0.9250000003487746,0.8451704707676257,0.2652591185379026,SyntheticControl,245
4,4,mrsqm,0.25941312045362924,0.7760172910610376,0.2403994818346843,SyntheticControl,245
4,4,hydra,0.6242424860355856,0.28414293749292147,0.666918204444606,SyntheticControl,218
4,4,shapley_sampling,0.6120905021969977,0.23994935758918778,0.6780931848543257,SyntheticControl,218
4,4,feature_ablation,0.5146949597610917,0.3384981036900933,0.5789365787635833,SyntheticControl,218
4,4,mrsqm,0.3094636817770531,0.38576411563448776,0.4115703963121659,SyntheticControl,218
0,0,hydra,0.5891578758464813,0.2939704334235898,0.642320742317935,SyntheticControl,36
0,0,shapley_sampling,0.7349784292693607,0.2301264653678622,0.7520214011655662,SyntheticControl,36
0,0,feature_ablation,0.6589891720967083,0.3526514340554403,0.6531170050548143,SyntheticControl,36
0,0,mrsqm,0.5988066379017007,0.37363902076796274,0.612273956381939,SyntheticControl,36
0,0,hydra,0.6156419224311367,0.25911446360181933,0.6724820687717319,SyntheticControl,24
0,0,shapley_sampling,0.6936840300375031,0.19388947920585806,0.7456834596579095,SyntheticControl,24
0,0,feature_ablation,0.5094839684326533,0.2780345540690725,0.5973933093374126,SyntheticControl,24
0,0,mrsqm,0.5532570924047865,0.32759805595896174,0.6070385538317924,SyntheticControl,24
3,3,hydra,-0.5045312459396476,-0.01866634209502783,-1.9992760759466364,SyntheticControl,180
3,3,shapley_sampling,-0.46374696458454334,-0.11466627699872661,-1.588286267204782,SyntheticControl,180
3,3,feature_ablation,-0.3885023357169426,-0.3292571751352617,-1.0978833074679968,SyntheticControl,180
3,3,mrsqm,-0.18238506049772063,-0.45715971809260725,-0.41695865501527635,SyntheticControl,180
2,2,hydra,-0.2339095633092019,-0.10789869223977881,-0.593023621723394,SyntheticControl,148
2,2,shapley_sampling,-0.015177706099844021,-0.1432587175787205,-0.030763827482117524,SyntheticControl,148
2,2,feature_ablation,-0.17206347220147966,0.0028052756726184135,-0.41588725741922594,SyntheticControl,148
2,2,mrsqm,0.0759093485731592,0.02764126509778997,0.14082488880351812,SyntheticControl,148
2,2,hydra,-0.2722742199378426,-0.11979982044602887,-0.7194888801368633,SyntheticControl,119
2,2,shapley_sampling,-0.17233662027722316,0.13545335650885523,-0.4304850886715237,SyntheticControl,119
2,2,feature_ablation,-0.08918236355134791,-0.12110210017785143,-0.1937796739949918,SyntheticControl,119
2,2,mrsqm,0.039118201914314546,-0.1071577366822575,0.07556648174532583,SyntheticControl,119
0,0,hydra,0.5181139491148086,0.37860416116469453,0.5650743072626664,SyntheticControl,23
0,0,shapley_sampling,0.6583006939529479,0.25428975518324404,0.6992845398780962,SyntheticControl,23
0,0,feature_ablation,0.5854218624370039,0.33393823426872105,0.6231437800959431,SyntheticControl,23
0,0,mrsqm,0.5533686906932177,0.429190379260153,0.5619538631042315,SyntheticControl,23
2,2,hydra,-0.546847279413166,-0.3310411749573131,-1.8563680473621693,SyntheticControl,132
2,2,shapley_sampling,-0.4843756193503433,-0.1246137613537171,-1.7016652131380052,SyntheticControl,132
2,2,feature_ablation,-0.4403060579488503,-0.11365365054441116,-1.4564496975519112,SyntheticControl,132
2,2,mrsqm,-0.32982974033959256,-0.25294162593949276,-0.8953571448724817,SyntheticControl,132
4,4,hydra,0.538456489626403,0.19259488342317585,0.6460582912455936,SyntheticControl,240
4,4,shapley_sampling,0.4831068225058415,0.3527230357955545,0.5532703514230107,SyntheticControl,240
4,4,feature_ablation,0.5282511742099292,0.4307104600865188,0.5480031201665511,SyntheticControl,240
4,4,mrsqm,0.1133275854067955,0.3865427205741845,0.1913128233443919,SyntheticControl,240
0,0,hydra,0.5821228469714032,0.32289892309936663,0.6260300477150943,SyntheticControl,26
0,0,shapley_sampling,0.6557384218631521,0.24540800813401195,0.7017007604457813,SyntheticControl,26
0,0,feature_ablation,0.531524541540138,0.2781007074141301,0.6122544985709597,SyntheticControl,26
0,0,mrsqm,0.5358227958872442,0.4127264062169588,0.5603696741718847,SyntheticControl,26
4,4,hydra,0.6933311974523152,0.07376673479279078,0.7930359472468702,SyntheticControl,209
4,4,shapley_sampling,0.5495708519255285,0.2278776125023984,0.6421095994605174,SyntheticControl,209
4,4,feature_ablation,0.4818187261363123,0.29765567128370074,0.5715473867967793,SyntheticControl,209
4,4,mrsqm,-0.10068845905938054,0.5573584668569731,-0.2606725733189399,SyntheticControl,209
4,4,hydra,0.5873746790695771,0.24551267527479634,0.6605250748128442,SyntheticControl,228
4,4,shapley_sampling,0.4263560552891422,0.2543123829710215,0.5425197684752185,SyntheticControl,228
4,4,feature_ablation,0.4020852143786973,0.3193270346057346,0.5055395384216353,SyntheticControl,228
4,4,mrsqm,0.21477288394585572,0.311067682218769,0.3274607260212759,SyntheticControl,228
2,2,hydra,-0.40668993142148274,-0.2794313550820906,-1.1924078219511145,SyntheticControl,120
2,2,shapley_sampling,-0.14922612619376988,-0.2609637577237283,-0.3385128496134399,SyntheticControl,120
2,2,feature_ablation,-0.38626927202149386,-0.2226813953785575,-1.1293099162922628,SyntheticControl,120
2,2,mrsqm,-0.11051865471117123,-0.220684073543973,-0.2430419095151988,SyntheticControl,120
3,3,hydra,-0.4164359878340412,-0.19476123646120688,-1.2784927036842821,SyntheticControl,195
3,3,shapley_sampling,-0.36568489268812027,-0.16713090924763202,-1.0650801987472756,SyntheticControl,195
3,3,feature_ablation,-0.2986280901908381,-0.2521881931482019,-0.7842999461064565,SyntheticControl,195
3,3,mrsqm,-0.19936792307210838,-0.34171528624708375,-0.4683251322605063,SyntheticControl,195
2,2,hydra,-0.29970801782698214,-0.3488158288053605,-0.7706565793041154,SyntheticControl,149
2,2,shapley_sampling,-0.1522861181376985,-0.12731988479956652,-0.3521419975911433,SyntheticControl,149
2,2,feature_ablation,0.24174522089345785,-0.43075603839446175,0.4136061872904996,SyntheticControl,149
2,2,mrsqm,0.46903432922292587,-0.3043761456791023,0.6899668172725572,SyntheticControl,149
