method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.1633314920036355,ToeSegmentation1,164
shapley_sampling,1,1,1.0008745110026211,ToeSegmentation1,164
feature_ablation,1,1,0.042525837998255156,ToeSegmentation1,164
mrsqm,1,1,2.1089996153023094e-05,ToeSegmentation1,164
hydra,1,1,0.14516734199423809,ToeSegmentation1,162
shapley_sampling,1,1,0.9962730100014596,ToeSegmentation1,162
feature_ablation,1,1,0.0421686750050867,ToeSegmentation1,162
mrsqm,1,1,2.1691004803869873e-05,ToeSegmentation1,162
hydra,0,0,0.14554738900187658,ToeSegmentation1,45
shapley_sampling,0,0,0.9996457160013961,ToeSegmentation1,45
feature_ablation,0,0,0.042195045003609266,ToeSegmentation1,45
mrsqm,0,0,2.248200325993821e-05,ToeSegmentation1,45
hydra,1,1,0.14577733199985232,ToeSegmentation1,219
shapley_sampling,1,1,1.0007500570063712,ToeSegmentation1,219
feature_ablation,1,1,0.04275083199900109,ToeSegmentation1,219
mrsqm,1,1,2.283299545524642e-05,ToeSegmentation1,219
hydra,1,1,0.1456836459983606,ToeSegmentation1,192
shapley_sampling,1,1,0.9992799160027062,ToeSegmentation1,192
feature_ablation,1,1,0.04254089699679753,ToeSegmentation1,192
mrsqm,1,1,3.0085997423157096e-05,ToeSegmentation1,192
hydra,1,1,0.1479392059991369,ToeSegmentation1,171
shapley_sampling,1,1,1.0000771589984652,ToeSegmentation1,171
feature_ablation,1,1,0.042585260001942515,ToeSegmentation1,171
mrsqm,1,1,2.248200325993821e-05,ToeSegmentation1,171
hydra,0,0,0.14603505799459526,ToeSegmentation1,30
shapley_sampling,0,0,1.0023659619982936,ToeSegmentation1,30
feature_ablation,0,0,0.04301590200338978,ToeSegmentation1,30
mrsqm,0,0,2.1269996068440378e-05,ToeSegmentation1,30
hydra,0,0,0.14601933799713152,ToeSegmentation1,19
shapley_sampling,0,0,1.0041205790039385,ToeSegmentation1,19
feature_ablation,0,0,0.042756082002597395,ToeSegmentation1,19
mrsqm,0,0,2.237199805676937e-05,ToeSegmentation1,19
hydra,1,1,0.1454058620001888,ToeSegmentation1,141
shapley_sampling,1,1,1.0003407659969525,ToeSegmentation1,141
feature_ablation,1,1,0.04204356900299899,ToeSegmentation1,141
mrsqm,1,1,2.2092004655860364e-05,ToeSegmentation1,141
hydra,1,1,0.1457141330029117,ToeSegmentation1,224
shapley_sampling,1,1,1.0004552609971142,ToeSegmentation1,224
feature_ablation,1,1,0.042230462000588886,ToeSegmentation1,224
mrsqm,1,1,2.1651001588907093e-05,ToeSegmentation1,224
hydra,0,0,0.14530530200136127,ToeSegmentation1,94
shapley_sampling,0,0,0.9981733909953618,ToeSegmentation1,94
feature_ablation,0,0,0.04203547500219429,ToeSegmentation1,94
mrsqm,0,0,2.172100357711315e-05,ToeSegmentation1,94
hydra,1,1,0.14531206600076985,ToeSegmentation1,214
shapley_sampling,1,1,0.9974647560011363,ToeSegmentation1,214
feature_ablation,1,1,0.04270051699859323,ToeSegmentation1,214
mrsqm,1,1,2.216199936810881e-05,ToeSegmentation1,214
hydra,0,0,0.1452459300053306,ToeSegmentation1,108
shapley_sampling,0,0,0.9976676079968456,ToeSegmentation1,108
feature_ablation,0,0,0.04347819399845321,ToeSegmentation1,108
mrsqm,0,0,2.348500129301101e-05,ToeSegmentation1,108
hydra,1,1,0.14733344499836676,ToeSegmentation1,185
shapley_sampling,1,1,0.9981101720040897,ToeSegmentation1,185
feature_ablation,1,1,0.042537260000244714,ToeSegmentation1,185
mrsqm,1,1,2.2461994376499206e-05,ToeSegmentation1,185
hydra,0,0,0.14648477499576984,ToeSegmentation1,21
shapley_sampling,0,0,0.9989197079994483,ToeSegmentation1,21
feature_ablation,0,0,0.04264604500349378,ToeSegmentation1,21
mrsqm,0,0,2.16209955397062e-05,ToeSegmentation1,21
hydra,1,1,0.14563254999666242,ToeSegmentation1,165
shapley_sampling,1,1,1.0000707159997546,ToeSegmentation1,165
feature_ablation,1,1,0.042184375000942964,ToeSegmentation1,165
mrsqm,1,1,2.2241998522076756e-05,ToeSegmentation1,165
hydra,1,1,0.14637879499787232,ToeSegmentation1,178
shapley_sampling,1,1,0.9996105489990441,ToeSegmentation1,178
feature_ablation,1,1,0.042684897998697124,ToeSegmentation1,178
mrsqm,1,1,2.21820009755902e-05,ToeSegmentation1,178
hydra,0,0,0.1455050989970914,ToeSegmentation1,95
shapley_sampling,0,0,0.9949293879981269,ToeSegmentation1,95
feature_ablation,0,0,0.042021307002869435,ToeSegmentation1,95
mrsqm,0,0,2.21820009755902e-05,ToeSegmentation1,95
hydra,1,1,0.14639491600246402,ToeSegmentation1,153
shapley_sampling,1,1,1.002870261996577,ToeSegmentation1,153
feature_ablation,1,1,0.04259502900094958,ToeSegmentation1,153
mrsqm,1,1,2.097999822581187e-05,ToeSegmentation1,153
hydra,1,1,0.14536155899986625,ToeSegmentation1,120
shapley_sampling,1,1,1.0121124789948226,ToeSegmentation1,120
feature_ablation,1,1,0.04244186999858357,ToeSegmentation1,120
mrsqm,1,1,2.4446002498734742e-05,ToeSegmentation1,120
