method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,10,10,0.1812392129941145,CricketZ,289
shapley_sampling,10,10,1.0098693600011757,CricketZ,289
feature_ablation,10,10,0.04344920400035335,CricketZ,289
tshap_centroid,10,10,0.029986438996274956,CricketZ,289
tshap_zero,10,10,0.02028040499862982,CricketZ,289
tshap_train,10,10,0.39186323100148,CricketZ,289
mrsqm,10,10,2.699100150493905e-05,CricketZ,289
hydra,0,0,0.16102668600069592,CricketZ,280
shapley_sampling,0,0,0.9890459520029253,CricketZ,280
feature_ablation,0,0,0.04218572300305823,CricketZ,280
tshap_centroid,0,0,0.017517416999908164,CricketZ,280
tshap_zero,0,0,0.019988113999716006,CricketZ,280
tshap_train,0,0,0.3973291030051769,CricketZ,280
mrsqm,0,0,2.516699896659702e-05,CricketZ,280
hydra,8,8,0.16105497000535252,CricketZ,81
shapley_sampling,8,8,0.9973117609988549,CricketZ,81
feature_ablation,8,8,0.04270405900024343,CricketZ,81
tshap_centroid,8,8,0.017910147995280568,CricketZ,81
tshap_zero,8,8,0.020159025996690616,CricketZ,81
tshap_train,8,8,0.400613573998271,CricketZ,81
mrsqm,8,8,2.6629997591953725e-05,CricketZ,81
hydra,4,4,0.16466280900203856,CricketZ,370
shapley_sampling,4,4,0.9995443489970057,CricketZ,370
feature_ablation,4,4,0.04321138500381494,CricketZ,370
tshap_centroid,4,4,0.01764292400184786,CricketZ,370
tshap_zero,4,4,0.018742986998404376,CricketZ,370
tshap_train,4,4,0.4030811049960903,CricketZ,370
mrsqm,4,4,2.3694999981671572e-05,CricketZ,370
hydra,8,8,0.16193795300205238,CricketZ,329
shapley_sampling,8,8,1.0105380609966232,CricketZ,329
feature_ablation,8,8,0.04433899099967675,CricketZ,329
tshap_centroid,8,8,0.018431941003655083,CricketZ,329
tshap_zero,8,8,0.020458129998587538,CricketZ,329
tshap_train,8,8,0.4023019160013064,CricketZ,329
mrsqm,8,8,2.4845998268574476e-05,CricketZ,329
hydra,6,6,0.1606074660012382,CricketZ,294
shapley_sampling,6,6,1.0166489890034427,CricketZ,294
feature_ablation,6,6,0.044817552996391896,CricketZ,294
tshap_centroid,6,6,0.019183908007107675,CricketZ,294
tshap_zero,6,6,0.020041334006236866,CricketZ,294
tshap_train,6,6,0.4081515620055143,CricketZ,294
mrsqm,6,6,2.4706998374313116e-05,CricketZ,294
hydra,2,2,0.16320632499991916,CricketZ,54
shapley_sampling,2,2,1.0148288480049814,CricketZ,54
feature_ablation,2,2,0.04519530499965185,CricketZ,54
tshap_centroid,2,2,0.01810100700095063,CricketZ,54
tshap_zero,2,2,0.020011006999993697,CricketZ,54
tshap_train,2,2,0.399764514004346,CricketZ,54
mrsqm,2,2,2.3153996153268963e-05,CricketZ,54
hydra,7,7,0.16134156999760307,CricketZ,33
shapley_sampling,7,7,1.000857895000081,CricketZ,33
feature_ablation,7,7,0.04302197800279828,CricketZ,33
tshap_centroid,7,7,0.01780048100044951,CricketZ,33
tshap_zero,7,7,0.019978415002697147,CricketZ,33
tshap_train,7,7,0.39971729399985634,CricketZ,33
mrsqm,7,7,2.3164000594988465e-05,CricketZ,33
hydra,8,8,0.16077770700212568,CricketZ,251
shapley_sampling,8,8,0.9846955119937775,CricketZ,251
feature_ablation,8,8,0.04205949400056852,CricketZ,251
tshap_centroid,8,8,0.01742021399695659,CricketZ,251
tshap_zero,8,8,0.017840335000073537,CricketZ,251
tshap_train,8,8,0.39345381900056964,CricketZ,251
mrsqm,8,8,2.2813001123722643e-05,CricketZ,251
hydra,5,5,0.16121493100217776,CricketZ,207
shapley_sampling,5,5,1.0010494970047148,CricketZ,207
feature_ablation,5,5,0.044255013002839405,CricketZ,207
tshap_centroid,5,5,0.01885069999843836,CricketZ,207
tshap_zero,5,5,0.020489640002779197,CricketZ,207
tshap_train,5,5,0.40928888600319624,CricketZ,207
