method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,0,0,0.044203294994076714,DistalPhalanxOutlineCorrect,202
shapley_sampling,0,0,0.642485227996076,DistalPhalanxOutlineCorrect,202
feature_ablation,0,0,0.02930956300406251,DistalPhalanxOutlineCorrect,202
tshap_centroid,0,0,0.0103148920024978,DistalPhalanxOutlineCorrect,202
tshap_zero,0,0,0.002033652999671176,DistalPhalanxOutlineCorrect,202
tshap_train,0,0,0.0430465550016379,DistalPhalanxOutlineCorrect,202
mrsqm,0,0,2.5497996830381453e-05,DistalPhalanxOutlineCorrect,202
hydra,1,1,0.031097302002308425,DistalPhalanxOutlineCorrect,201
shapley_sampling,1,1,0.6449522580005578,DistalPhalanxOutlineCorrect,201
feature_ablation,1,1,0.02901938599825371,DistalPhalanxOutlineCorrect,201
tshap_centroid,1,1,0.0020582700017257594,DistalPhalanxOutlineCorrect,201
tshap_zero,1,1,0.0019547849951777607,DistalPhalanxOutlineCorrect,201
tshap_train,1,1,0.03258997599914437,DistalPhalanxOutlineCorrect,201
mrsqm,1,1,2.697099989745766e-05,DistalPhalanxOutlineCorrect,201
hydra,0,0,0.03098551199946087,DistalPhalanxOutlineCorrect,48
shapley_sampling,0,0,0.6446519710007124,DistalPhalanxOutlineCorrect,48
feature_ablation,0,0,0.030342991005454678,DistalPhalanxOutlineCorrect,48
tshap_centroid,0,0,0.0027056399994762614,DistalPhalanxOutlineCorrect,48
tshap_zero,0,0,0.0027587899967329577,DistalPhalanxOutlineCorrect,48
tshap_train,0,0,0.031481056998018175,DistalPhalanxOutlineCorrect,48
mrsqm,0,0,2.838400541804731e-05,DistalPhalanxOutlineCorrect,48
hydra,0,0,0.032336096999642905,DistalPhalanxOutlineCorrect,258
shapley_sampling,0,0,0.6444563929981086,DistalPhalanxOutlineCorrect,258
feature_ablation,0,0,0.028067781997378916,DistalPhalanxOutlineCorrect,258
tshap_centroid,0,0,0.0020555640003294684,DistalPhalanxOutlineCorrect,258
tshap_zero,0,0,0.0019612860050983727,DistalPhalanxOutlineCorrect,258
tshap_train,0,0,0.03098093299922766,DistalPhalanxOutlineCorrect,258
mrsqm,0,0,2.834299812093377e-05,DistalPhalanxOutlineCorrect,258
hydra,1,1,0.03171438499703072,DistalPhalanxOutlineCorrect,233
shapley_sampling,1,1,0.6421564080010285,DistalPhalanxOutlineCorrect,233
feature_ablation,1,1,0.027418879995821044,DistalPhalanxOutlineCorrect,233
tshap_centroid,1,1,0.0020271410030545667,DistalPhalanxOutlineCorrect,233
tshap_zero,1,1,0.0019155199988745153,DistalPhalanxOutlineCorrect,233
tshap_train,1,1,0.034121682998375036,DistalPhalanxOutlineCorrect,233
mrsqm,1,1,2.697099989745766e-05,DistalPhalanxOutlineCorrect,233
hydra,1,1,0.03062684600445209,DistalPhalanxOutlineCorrect,209
