true_label,pred_label,fraction,method_a,method_b,iou,overlap_fraction,normalised_centre_distance,score_drop_a,score_drop_b,flipped_a,flipped_b,explain_time_a_s,explain_time_b_s,dataset,sample_idx
1,1,0.05,hydra,shapley_sampling,0.0,0.0,0.3,-0.17046500028257383,0.24301776451062995,0,1,0.044366944006469566,0.6468210809980519,DistalPhalanxTW,75
1,1,0.1,hydra,shapley_sampling,0.0,0.0,0.45,-0.47271196590860765,0.43943612597577864,0,1,0.044366944006469566,0.6468210809980519,DistalPhalanxTW,75
1,1,0.2,hydra,shapley_sampling,0.0,0.0,0.3375,-0.19974297778542627,0.5099565572641548,0,1,0.044366944006469566,0.6468210809980519,DistalPhalanxTW,75
1,1,0.05,hydra,feature_ablation,0.0,0.0,0.3,-0.17046500028257383,0.2430177790767778,0,1,0.044366944006469566,0.027843349002068862,DistalPhalanxTW,75
1,1,0.1,hydra,feature_ablation,0.0,0.0,0.25,-0.47271196590860765,-0.06500346553045855,0,0,0.044366944006469566,0.027843349002068862,DistalPhalanxTW,75
1,1,0.2,hydra,feature_ablation,0.0,0.0,0.3375,-0.19974297778542627,0.5099565780787243,0,1,0.044366944006469566,0.027843349002068862,DistalPhalanxTW,75
1,1,0.05,hydra,tshap_centroid,0.0,0.0,0.4125,-0.17046500028257383,0.07546039611970401,0,0,0.044366944006469566,0.0030689350023749284,DistalPhalanxTW,75
1,1,0.1,hydra,tshap_centroid,0.0,0.0,0.3875,-0.47271196590860765,0.14901404119532913,0,0,0.044366944006469566,0.0030689350023749284,DistalPhalanxTW,75
1,1,0.2,hydra,tshap_centroid,0.0,0.0,0.375,-0.19974297778542627,0.554170893427214,0,1,0.044366944006469566,0.0030689350023749284,DistalPhalanxTW,75
1,1,0.05,hydra,tshap_zero,0.0,0.0,0.15,-0.17046500028257383,-0.23484124234088188,0,0,0.044366944006469566,0.0026418799970997497,DistalPhalanxTW,75
1,1,0.1,hydra,tshap_zero,0.0,0.0,0.175,-0.47271196590860765,-0.5253813373043368,0,0,0.044366944006469566,0.0026418799970997497,DistalPhalanxTW,75
1,1,0.2,hydra,tshap_zero,0.23076923076923078,0.375,0.125,-0.19974297778542627,-0.7064092182134496,0,0,0.044366944006469566,0.0026418799970997497,DistalPhalanxTW,75
1,1,0.05,hydra,tshap_train,0.0,0.0,0.425,-0.17046500028257383,0.020886834601566595,0,0,0.044366944006469566,0.03194390799762914,DistalPhalanxTW,75
1,1,0.1,hydra,tshap_train,0.0,0.0,0.3875,-0.47271196590860765,0.14901404022246822,0,0,0.044366944006469566,0.03194390799762914,DistalPhalanxTW,75
1,1,0.2,hydra,tshap_train,0.0,0.0,0.3625,-0.19974297778542627,0.6313914522464809,0,1,0.044366944006469566,0.03194390799762914,DistalPhalanxTW,75
1,1,0.05,hydra,mrsqm,0.0,0.0,0.2,-0.17046500028257383,-0.30815553113598937,0,0,0.044366944006469566,2.298400067957118e-05,DistalPhalanxTW,75
1,1,0.1,hydra,mrsqm,0.0,0.0,0.2,-0.47271196590860765,-0.48012450614746216,0,0,0.044366944006469566,2.298400067957118e-05,DistalPhalanxTW,75
1,1,0.2,hydra,mrsqm,0.10344827586206896,0.1875,0.1625,-0.19974297778542627,-0.8077951316477976,0,0,0.044366944006469566,2.298400067957118e-05,DistalPhalanxTW,75
1,1,0.05,shapley_sampling,feature_ablation,1.0,1.0,0.0,0.24301776451062995,0.2430177790767778,1,1,0.6468210809980519,0.027843349002068862,DistalPhalanxTW,75
1,1,0.1,shapley_sampling,feature_ablation,0.0,0.0,0.2,0.43943612597577864,-0.06500346553045855,1,0,0.6468210809980519,0.027843349002068862,DistalPhalanxTW,75
