method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,2,2,0.26847352900222177,Fish,121
shapley_sampling,2,2,0.8664806829983718,Fish,121
feature_ablation,2,2,0.037352669998654164,Fish,121
tshap_centroid,2,2,0.058803022002393845,Fish,121
tshap_zero,2,2,0.0522940840019146,Fish,121
tshap_train,2,2,1.9466871990007348,Fish,121
mrsqm,2,2,2.5016997824423015e-05,Fish,121
hydra,4,4,0.25218620800296776,Fish,122
shapley_sampling,4,4,0.8652852609957336,Fish,122
feature_ablation,4,4,0.0411937390017556,Fish,122
tshap_centroid,4,4,0.04809469700558111,Fish,122
tshap_zero,4,4,0.05259309699613368,Fish,122
tshap_train,4,4,1.9239442190009868,Fish,122
mrsqm,4,4,2.5077002646867186e-05,Fish,122
hydra,0,0,0.25827435399696697,Fish,33
shapley_sampling,0,0,0.8681231700029457,Fish,33
feature_ablation,0,0,0.037276135000865906,Fish,33
tshap_centroid,0,0,0.04848296999989543,Fish,33
tshap_zero,0,0,0.05256795999594033,Fish,33
tshap_train,0,0,1.9347211330023129,Fish,33
mrsqm,0,0,2.8353999368846416e-05,Fish,33
hydra,0,0,0.2629091700000572,Fish,162
shapley_sampling,0,0,0.8750072859984357,Fish,162
feature_ablation,0,0,0.03749939600675134,Fish,162
tshap_centroid,0,0,0.0502085519983666,Fish,162
tshap_zero,0,0,0.05481136800517561,Fish,162
tshap_train,0,0,1.9322860520042013,Fish,162
mrsqm,0,0,2.4296001356560737e-05,Fish,162
hydra,4,4,0.25958432300103595,Fish,146
shapley_sampling,4,4,0.8842398790002335,Fish,146
feature_ablation,4,4,0.03918139699817402,Fish,146
tshap_centroid,4,4,0.04899273000046378,Fish,146
tshap_zero,4,4,0.053031433999422006,Fish,146
tshap_train,4,4,1.9462994569985312,Fish,146
mrsqm,4,4,2.3804001102689654e-05,Fish,146
hydra,2,2,0.258856561005814,Fish,129
shapley_sampling,2,2,0.8688540880029905,Fish,129
feature_ablation,2,2,0.036368143002619036,Fish,129
tshap_centroid,2,2,0.05000870600633789,Fish,129
tshap_zero,2,2,0.0538960429985309,Fish,129
tshap_train,2,2,1.8971357539994642,Fish,129
mrsqm,2,2,2.3845001123845577e-05,Fish,129
hydra,2,2,0.25327445899893064,Fish,22
shapley_sampling,2,2,0.8580284219933674,Fish,22
feature_ablation,2,2,0.03666887999861501,Fish,22
tshap_centroid,2,2,0.05021663799561793,Fish,22
tshap_zero,2,2,0.05304562999663176,Fish,22
tshap_train,2,2,1.896350363997044,Fish,22
mrsqm,2,2,2.371400478295982e-05,Fish,22
hydra,4,4,0.25520352499734145,Fish,14
shapley_sampling,4,4,0.8472483910009032,Fish,14
feature_ablation,4,4,0.035645781994389836,Fish,14
tshap_centroid,4,4,0.045998977999261115,Fish,14
tshap_zero,4,4,0.053674776005209424,Fish,14
tshap_train,4,4,1.897535006995895,Fish,14
mrsqm,4,4,2.354399475734681e-05,Fish,14
hydra,1,1,0.2519284510053694,Fish,104
shapley_sampling,1,1,0.8602559600039967,Fish,104
feature_ablation,1,1,0.03649161599605577,Fish,104
tshap_centroid,1,1,0.0467857709954842,Fish,104
tshap_zero,1,1,0.05247298099857289,Fish,104
tshap_train,1,1,1.896457957001985,Fish,104
mrsqm,1,1,2.6428999262861907e-05,Fish,104
hydra,3,3,0.25181167099799495,Fish,89
shapley_sampling,3,3,0.857698881001852,Fish,89
feature_ablation,3,3,0.03671442600170849,Fish,89
tshap_centroid,3,3,0.046657909006171394,Fish,89
tshap_zero,3,3,0.05253266400541179,Fish,89
tshap_train,3,3,1.8984331500032567,Fish,89
mrsqm,3,3,2.5168003048747778e-05,Fish,89
hydra,1,1,0.2527396509976825,Fish,159
shapley_sampling,1,1,0.8614714620052837,Fish,159
feature_ablation,1,1,0.03916003700578585,Fish,159
tshap_centroid,1,1,0.05181542199716205,Fish,159
tshap_zero,1,1,0.054818621996673755,Fish,159
tshap_train,1,1,1.9262544230005005,Fish,159
mrsqm,1,1,2.5198001821991056e-05,Fish,159
hydra,0,0,0.25107473200478125,Fish,161
shapley_sampling,0,0,0.8487216580033419,Fish,161
feature_ablation,0,0,0.03563498099538265,Fish,161
tshap_centroid,0,0,0.04564874700008659,Fish,161
tshap_zero,0,0,0.05230826000479283,Fish,161
tshap_train,0,0,1.897531421003805,Fish,161
mrsqm,0,0,2.333400334464386e-05,Fish,161
hydra,1,1,0.2529878790010116,Fish,79
shapley_sampling,1,1,0.8476889619996655,Fish,79
feature_ablation,1,1,0.03580892999889329,Fish,79
tshap_centroid,1,1,0.04613414200139232,Fish,79
tshap_zero,1,1,0.05236133099970175,Fish,79
tshap_train,1,1,1.8874538449963438,Fish,79
mrsqm,1,1,2.360399957979098e-05,Fish,79
hydra,5,5,0.2523105119980755,Fish,138
shapley_sampling,5,5,0.8651763849993586,Fish,138
feature_ablation,5,5,0.035782710001512896,Fish,138
tshap_centroid,5,5,0.045689162994676735,Fish,138
tshap_zero,5,5,0.0517388980006217,Fish,138
tshap_train,5,5,1.8820075780022307,Fish,138
mrsqm,5,5,2.281299384776503e-05,Fish,138
hydra,5,5,0.25084996900113765,Fish,16
shapley_sampling,5,5,0.8531149500049651,Fish,16
feature_ablation,5,5,0.035670007004227955,Fish,16
tshap_centroid,5,5,0.04571066399512347,Fish,16
tshap_zero,5,5,0.052415202000702266,Fish,16
tshap_train,5,5,1.9257214079989353,Fish,16
mrsqm,5,5,2.7821995900012553e-05,Fish,16
hydra,1,1,0.2509609180051484,Fish,124
shapley_sampling,1,1,0.8613576780044241,Fish,124
feature_ablation,1,1,0.03695327600144083,Fish,124
tshap_centroid,1,1,0.04690766999556217,Fish,124
tshap_zero,1,1,0.05291151800338412,Fish,124
tshap_train,1,1,1.9054644040006679,Fish,124
mrsqm,1,1,2.576799306552857e-05,Fish,124
hydra,3,3,0.25313374400138855,Fish,134
shapley_sampling,3,3,0.8455282990034902,Fish,134
feature_ablation,3,3,0.03595123800187139,Fish,134
tshap_centroid,3,3,0.046176362004189286,Fish,134
tshap_zero,3,3,0.0522609210020164,Fish,134
tshap_train,3,3,1.8968097499964642,Fish,134
mrsqm,3,3,2.464700082782656e-05,Fish,134
hydra,3,3,0.2532195949970628,Fish,70
shapley_sampling,3,3,0.8485400660065352,Fish,70
feature_ablation,3,3,0.03570657600357663,Fish,70
tshap_centroid,3,3,0.04586202900100034,Fish,70
tshap_zero,3,3,0.05233647400018526,Fish,70
tshap_train,3,3,1.9003206679990399,Fish,70
mrsqm,3,3,2.8053000278305262e-05,Fish,70
hydra,1,1,0.2532823439978529,Fish,114
shapley_sampling,1,1,0.8485857919949922,Fish,114
feature_ablation,1,1,0.03604872099822387,Fish,114
tshap_centroid,1,1,0.046102903004793916,Fish,114
tshap_zero,1,1,0.05335232900688425,Fish,114
tshap_train,1,1,1.8933069179984159,Fish,114
mrsqm,1,1,2.5117995392065495e-05,Fish,114
hydra,6,6,0.2505810410002596,Fish,88
shapley_sampling,6,6,0.8349908460004372,Fish,88
feature_ablation,6,6,0.03624714600300649,Fish,88
tshap_centroid,6,6,0.04577831200003857,Fish,88
tshap_zero,6,6,0.05340434599929722,Fish,88
tshap_train,6,6,1.879559683999105,Fish,88
mrsqm,6,6,2.5538000045344234e-05,Fish,88
