method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,4,4,0.7923330170015106,Haptics,213
shapley_sampling,4,4,1.097263005001878,Haptics,213
feature_ablation,4,4,0.04602946499653626,Haptics,213
tshap_centroid,4,4,0.26008288300363347,Haptics,213
tshap_zero,4,4,0.26341074499941897,Haptics,213
tshap_train,4,4,21.7838784380001,Haptics,213
mrsqm,4,4,2.757199399638921e-05,Haptics,213
hydra,2,2,0.7818142289979733,Haptics,214
shapley_sampling,2,2,1.0969586119972519,Haptics,214
feature_ablation,2,2,0.04761808899638709,Haptics,214
tshap_centroid,2,2,0.26356692999979714,Haptics,214
tshap_zero,2,2,0.2797608759938157,Haptics,214
tshap_train,2,2,21.907828842995514,Haptics,214
mrsqm,2,2,2.9003997042309493e-05,Haptics,214
hydra,4,4,0.7891021370014641,Haptics,55
shapley_sampling,4,4,1.0951399039986427,Haptics,55
feature_ablation,4,4,0.04828314299811609,Haptics,55
tshap_centroid,4,4,0.2601872689992888,Haptics,55
tshap_zero,4,4,0.26276718200097093,Haptics,55
tshap_train,4,4,21.999718262995884,Haptics,55
mrsqm,4,4,2.9235001420602202e-05,Haptics,55
hydra,3,3,0.7744418919974123,Haptics,282
shapley_sampling,3,3,1.1000724109981093,Haptics,282
feature_ablation,3,3,0.04572131400345825,Haptics,282
tshap_centroid,3,3,0.25968442099838285,Haptics,282
tshap_zero,3,3,0.26232549999986077,Haptics,282
tshap_train,3,3,21.772231383998587,Haptics,282
mrsqm,3,3,3.129900142084807e-05,Haptics,282
hydra,2,2,0.770701380999526,Haptics,252
shapley_sampling,2,2,1.07346601899917,Haptics,252
feature_ablation,2,2,0.04547335600364022,Haptics,252
tshap_centroid,2,2,0.25332183799764607,Haptics,252
tshap_zero,2,2,0.25959554399742046,Haptics,252
tshap_train,2,2,21.826766072001192,Haptics,252
mrsqm,2,2,2.767200203379616e-05,Haptics,252
hydra,1,1,0.7713891280000098,Haptics,223
shapley_sampling,1,1,1.0753475650053588,Haptics,223
feature_ablation,1,1,0.045527878995926585,Haptics,223
tshap_centroid,1,1,0.25337561999913305,Haptics,223
tshap_zero,1,1,0.2626021719988785,Haptics,223
tshap_train,1,1,21.749859823998122,Haptics,223
mrsqm,1,1,3.336300142109394e-05,Haptics,223
hydra,0,0,0.7667456249982934,Haptics,37
shapley_sampling,0,0,1.0618771739973454,Haptics,37
feature_ablation,0,0,0.04421527500380762,Haptics,37
tshap_centroid,0,0,0.24863101600203663,Haptics,37
tshap_zero,0,0,0.2578111010006978,Haptics,37
tshap_train,0,0,21.6914018009993,Haptics,37
mrsqm,0,0,2.9626004106830806e-05,Haptics,37
hydra,3,3,0.7673944480047794,Haptics,20
shapley_sampling,3,3,1.0677269910011091,Haptics,20
feature_ablation,3,3,0.04489752099470934,Haptics,20
tshap_centroid,3,3,0.2506922710017534,Haptics,20
tshap_zero,3,3,0.2584008920021006,Haptics,20
tshap_train,3,3,21.831101873998705,Haptics,20
mrsqm,3,3,2.810300065902993e-05,Haptics,20
hydra,4,4,0.7672035180003149,Haptics,171
shapley_sampling,4,4,1.0707847140001832,Haptics,171
feature_ablation,4,4,0.044717151002259925,Haptics,171
tshap_centroid,4,4,0.252276167004311,Haptics,171
tshap_zero,4,4,0.2597524499942665,Haptics,171
tshap_train,4,4,21.788212227998883,Haptics,171
mrsqm,4,4,2.9015005566179752e-05,Haptics,171
hydra,0,0,0.7694924520037603,Haptics,149
shapley_sampling,0,0,1.0783973439974943,Haptics,149
feature_ablation,0,0,0.04516947400406934,Haptics,149
tshap_centroid,0,0,0.2529094709971105,Haptics,149
tshap_zero,0,0,0.2623973849986214,Haptics,149
tshap_train,0,0,21.795293244998902,Haptics,149
mrsqm,0,0,2.9575996450148523e-05,Haptics,149
hydra,2,2,0.7706401960022049,Haptics,274
shapley_sampling,2,2,1.1258914700010791,Haptics,274
feature_ablation,2,2,0.04711084400332766,Haptics,274
tshap_centroid,2,2,0.2635142409999389,Haptics,274
tshap_zero,2,2,0.2646006880022469,Haptics,274
tshap_train,2,2,21.7938816149981,Haptics,274
mrsqm,2,2,2.8063004720024765e-05,Haptics,274
hydra,4,4,0.7646882059998461,Haptics,277
shapley_sampling,4,4,1.0640203439979814,Haptics,277
feature_ablation,4,4,0.044633623998379335,Haptics,277
tshap_centroid,4,4,0.2490236060039024,Haptics,277
tshap_zero,4,4,0.25633573999948567,Haptics,277
tshap_train,4,4,21.80910371799837,Haptics,277
mrsqm,4,4,3.023700264748186e-05,Haptics,277
hydra,0,0,0.7595883229951141,Haptics,129
shapley_sampling,0,0,1.0891792780021206,Haptics,129
feature_ablation,0,0,0.045287806999112945,Haptics,129
tshap_centroid,0,0,0.25714121800410794,Haptics,129
tshap_zero,0,0,0.26297669800260337,Haptics,129
tshap_train,0,0,21.93065076300263,Haptics,129
mrsqm,0,0,2.5967994588427246e-05,Haptics,129
hydra,2,2,0.7911041400002432,Haptics,238
shapley_sampling,2,2,1.1300413819990354,Haptics,238
feature_ablation,2,2,0.047305319996667095,Haptics,238
tshap_centroid,2,2,0.264189574001648,Haptics,238
tshap_zero,2,2,0.2663098800039734,Haptics,238
tshap_train,2,2,21.88602758900379,Haptics,238
mrsqm,2,2,2.933500218205154e-05,Haptics,238
hydra,3,3,0.7708355040012975,Haptics,22
shapley_sampling,3,3,1.1012303039969993,Haptics,22
feature_ablation,3,3,0.047355945003801025,Haptics,22
tshap_centroid,3,3,0.2574617409991333,Haptics,22
tshap_zero,3,3,0.2641641360023641,Haptics,22
tshap_train,3,3,22.119630908004183,Haptics,22
mrsqm,3,3,3.078799636568874e-05,Haptics,22
hydra,4,4,0.7717652470018947,Haptics,215
shapley_sampling,4,4,1.1082296269960352,Haptics,215
feature_ablation,4,4,0.047992123996664304,Haptics,215
tshap_centroid,4,4,0.25826199999573873,Haptics,215
tshap_zero,4,4,0.26175856099871453,Haptics,215
tshap_train,4,4,22.064625553997757,Haptics,215
mrsqm,4,4,3.19399987347424e-05,Haptics,215
hydra,1,1,0.7719989470060682,Haptics,231
shapley_sampling,1,1,1.0714347000030102,Haptics,231
feature_ablation,1,1,0.04485255599865923,Haptics,231
tshap_centroid,1,1,0.2516171850002138,Haptics,231
tshap_zero,1,1,0.2605394330021227,Haptics,231
tshap_train,1,1,21.780894393996277,Haptics,231
mrsqm,1,1,2.855400089174509e-05,Haptics,231
hydra,3,3,0.7596059159986908,Haptics,113
shapley_sampling,3,3,1.0867937710063416,Haptics,113
feature_ablation,3,3,0.04490937400260009,Haptics,113
tshap_centroid,3,3,0.25734324799850583,Haptics,113
tshap_zero,3,3,0.2650651539952378,Haptics,113
tshap_train,3,3,21.824240631001885,Haptics,113
mrsqm,3,3,2.8724003641400486e-05,Haptics,113
hydra,1,1,0.7928696390008554,Haptics,197
shapley_sampling,1,1,1.1249496640011785,Haptics,197
feature_ablation,1,1,0.047844396001892164,Haptics,197
tshap_centroid,1,1,0.2635831110019353,Haptics,197
tshap_zero,1,1,0.2637548550046631,Haptics,197
tshap_train,1,1,21.639691748998303,Haptics,197
mrsqm,1,1,3.0226998205762357e-05,Haptics,197
hydra,4,4,0.7677278960036347,Haptics,143
shapley_sampling,4,4,1.0689771979959914,Haptics,143
feature_ablation,4,4,0.044431733003875706,Haptics,143
tshap_centroid,4,4,0.2547315050032921,Haptics,143
tshap_zero,4,4,0.2587607300010859,Haptics,143
tshap_train,4,4,22.074830318997556,Haptics,143
mrsqm,4,4,2.9515998903661966e-05,Haptics,143
