true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
1,1,hydra,-0.10508770928589431,-0.18081454336493802,-0.230707446393538,Symbols,757
1,1,shapley_sampling,0.4417415237845742,0.23204606168404318,0.560863710803709,Symbols,757
1,1,feature_ablation,0.2911249345387621,0.4574466622877013,0.3789250846103693,Symbols,757
1,1,tshap_centroid,0.306177863918833,0.43006796892500493,0.39835315832083656,Symbols,757
1,1,tshap_zero,0.48968679409201354,0.29753126811183744,0.5770885656640686,Symbols,757
1,1,tshap_train,0.5044488507043251,0.3841398722570494,0.5546147350619866,Symbols,757
1,1,mrsqm,0.29964821465578667,0.05887749354347901,0.4545653343258573,Symbols,757
4,4,hydra,0.33867414282993646,-0.004966572635963444,0.5066178609245365,Symbols,711
4,4,shapley_sampling,0.19947561008944917,0.33741813550032695,0.30663598553744226,Symbols,711
4,4,feature_ablation,0.47415752305428,0.07476294132145177,0.6269970138626789,Symbols,711
4,4,tshap_centroid,0.5551862829432953,0.0265298049161043,0.7071010484477195,Symbols,711
4,4,tshap_zero,0.5670399953936768,0.0038298027853931604,0.7227029950430166,Symbols,711
4,4,tshap_train,0.5591102854617689,0.012943444821985776,0.7138601835544889,Symbols,711
4,4,mrsqm,0.4485074101586552,0.3522252000839947,0.5300310361810621,Symbols,711
0,0,hydra,0.9692883092949929,0.9749999997218968,0.04874281990168683,Symbols,197
0,0,shapley_sampling,0.953134331195242,0.9517064926620704,0.09192913966728179,Symbols,197
0,0,feature_ablation,0.9009104219441861,0.8484398372396686,0.259469731822812,Symbols,197
0,0,tshap_centroid,0.9668402884661801,0.9364985190852818,0.11917558221968749,Symbols,197
0,0,tshap_zero,0.9038019587865949,0.8607700826166635,0.2412894081719396,Symbols,197
0,0,tshap_train,0.9501646529058723,0.845483578943536,0.265807109475976,Symbols,197
0,0,mrsqm,0.9613483002757901,0.9642949230650029,0.06885291360969766,Symbols,197
3,3,hydra,0.895276460786671,0.7829147055776603,0.34943911577173287,Symbols,963
3,3,shapley_sampling,0.9237352897738297,0.5434755153108736,0.6110556649631267,Symbols,963
3,3,feature_ablation,0.6504416656607701,0.7667092347376998,0.3434117129366627,Symbols,963
3,3,tshap_centroid,0.9304662957656116,0.3811960214207059,0.743287023947013,Symbols,963
3,3,tshap_zero,0.9173878674014572,0.8116989073613982,0.3124660624247033,Symbols,963
3,3,tshap_train,0.9342599167415186,0.3888096331335887,0.7389570111938887,Symbols,963
3,3,mrsqm,0.671732668764442,0.6248414648364139,0.48143731285475466,Symbols,963
0,0,hydra,0.9749999998936058,0.9633569841460113,0.0706315170422809,Symbols,835
0,0,shapley_sampling,0.9537418485816184,0.9219471114034273,0.14429673572636986,Symbols,835
0,0,feature_ablation,0.9253891605624994,0.8400315216681081,0.27278215138524287,Symbols,835
0,0,tshap_centroid,0.9583905255441748,0.9324265412064846,0.12624568439946113,Symbols,835
0,0,tshap_zero,0.9692045204630106,0.9215740841363368,0.14510985847840016,Symbols,835
0,0,tshap_train,0.9725660019292751,0.9129480978702973,0.15980047164229716,Symbols,835
0,0,mrsqm,0.9667632518359138,0.9695787250481397,0.05898641606923796,Symbols,835
0,0,hydra,0.9749999997144232,0.9749999997860643,0.048750000406388216,Symbols,753
0,0,shapley_sampling,0.9612683063646903,0.9119296736362037,0.16135727938383707,Symbols,753
0,0,feature_ablation,0.9554746673115501,0.8325679259430805,0.2849339118970045,Symbols,753
0,0,tshap_centroid,0.9629666445003715,0.9568506643369237,0.082597576810464,Symbols,753
0,0,tshap_zero,0.9523895855927571,0.9042833083278038,0.17395102442068133,Symbols,753
0,0,tshap_train,0.9710661462805334,0.9022552946308686,0.1776115469180142,Symbols,753
0,0,mrsqm,0.97166212834104,0.9749999997384904,0.04874581418416072,Symbols,753
1,1,hydra,-0.12162601377236862,-0.2670808642408033,-0.26908087137931846,Symbols,127
1,1,shapley_sampling,0.3630160209262019,0.23802321827446984,0.49175386489256695,Symbols,127
1,1,feature_ablation,0.29330615127081827,0.5123432386907786,0.3662983875335837,Symbols,127
1,1,tshap_centroid,0.13629146905669026,0.22117147314708818,0.23198637237192843,Symbols,127
1,1,tshap_zero,0.39850686572318816,0.14969758141399161,0.5426791040154684,Symbols,127
1,1,tshap_train,0.44812271046523905,0.21535755764457543,0.570451066384952,Symbols,127
1,1,mrsqm,0.24164721063808364,-0.11420137398475885,0.39715888214380957,Symbols,127
5,5,hydra,0.5244686986875979,0.33940433075569604,0.5847138102917494,Symbols,87
5,5,shapley_sampling,0.6057812697998924,0.29832632123047503,0.6502109653189272,Symbols,87
5,5,feature_ablation,0.37150717638385394,0.5440977405360806,0.4094006033347212,Symbols,87
5,5,tshap_centroid,0.43133534013661873,0.395247082322464,0.5035310524517922,Symbols,87
5,5,tshap_zero,0.4473281888457466,0.34235926319410837,0.5324697063911966,Symbols,87
5,5,tshap_train,0.43425161963110426,0.4054952911888045,0.5018965629508824,Symbols,87
5,5,mrsqm,0.32546013528204254,0.31218745339496967,0.4418466390505288,Symbols,87
1,1,hydra,0.1667802018711968,0.00605387364338094,0.28563242096170527,Symbols,640
1,1,shapley_sampling,0.37872627538363696,0.2460358507194078,0.5041907794258567,Symbols,640
1,1,feature_ablation,0.245345960097532,0.5169875602664041,0.32540340248143274,Symbols,640
1,1,tshap_centroid,0.4428493816854282,0.28114004223203704,0.5480659869115699,Symbols,640
1,1,tshap_zero,0.46488032984278355,0.2251601102535254,0.5811114763297651,Symbols,640
1,1,tshap_train,0.5229213589625124,0.25715227646736594,0.6137785263741156,Symbols,640
1,1,mrsqm,0.2897716786932916,0.012956699240705818,0.4480166646018102,Symbols,640
1,1,hydra,0.12893702961014306,0.03829681956885959,0.22738782287648285,Symbols,506
1,1,shapley_sampling,0.44295110643883806,0.33767327725073143,0.5308680712093939,Symbols,506
1,1,feature_ablation,0.40812004379692923,0.6015002349689785,0.40325253552560886,Symbols,506
1,1,tshap_centroid,0.5170548288132737,0.543117024013359,0.4851101328487878,Symbols,506
1,1,tshap_zero,0.5850655659391583,0.4261043417684672,0.5794267850738828,Symbols,506
1,1,tshap_train,0.575493543655987,0.49059206331074934,0.5404379733328261,Symbols,506
1,1,mrsqm,0.36244378849154696,0.19412134555799593,0.5000087336284144,Symbols,506
0,0,hydra,0.9749999998329795,0.9749999997999235,0.04875000038018673,Symbols,421
0,0,shapley_sampling,0.957106312750927,0.945942266420815,0.10233551766288694,Symbols,421
0,0,feature_ablation,0.9561854111760736,0.8016684048462857,0.3285214108090664,Symbols,421
0,0,tshap_centroid,0.9749999998024808,0.9522243028712165,0.09108801632829136,Symbols,421
0,0,tshap_zero,0.9420804598919756,0.9147856700276864,0.15629156491742546,Symbols,421
0,0,tshap_train,0.9653843274114036,0.9115630736026197,0.16203055764893165,Symbols,421
0,0,mrsqm,0.972353064111759,0.9749999997540277,0.04874668301665087,Symbols,421
5,5,hydra,0.3407017676507166,0.20895841398635745,0.4762727623139242,Symbols,84
5,5,shapley_sampling,0.4079599185819202,0.2255623619685619,0.5344048860571042,Symbols,84
5,5,feature_ablation,0.2582931004558419,0.37789656514662934,0.36502875363104476,Symbols,84
5,5,tshap_centroid,0.32773395465466637,0.31200803977252933,0.44397474277719695,Symbols,84
5,5,tshap_zero,0.3041163474269888,0.25553151819343045,0.43182969875125077,Symbols,84
5,5,tshap_train,0.33606935407332483,0.31539886065893563,0.4508280864014447,Symbols,84
5,5,mrsqm,0.22170519558835786,0.2351953116556558,0.34375970434340436,Symbols,84
4,4,hydra,0.2964519404928552,0.03265084851831974,0.4538254238138279,Symbols,445
4,4,shapley_sampling,0.20063779814191796,0.36795420477479146,0.3045869468042525,Symbols,445
4,4,feature_ablation,0.5597841112325864,0.12843267690555224,0.6817187276822434,Symbols,445
4,4,tshap_centroid,0.6295530388197995,0.13818168663555197,0.7275992492339538,Symbols,445
4,4,tshap_zero,0.61063187547337,0.10579347638633288,0.7257005229345618,Symbols,445
4,4,tshap_train,0.6139916142329909,0.1023167655415611,0.7292176339007632,Symbols,445
4,4,mrsqm,0.3150269847823157,0.39946990554958894,0.41326355115793606,Symbols,445
4,4,hydra,-0.2976668146392941,-0.5840519233808256,-0.7330925817655096,Symbols,842
4,4,shapley_sampling,-0.1059730549163391,0.27214973549529253,-0.24806349183397375,Symbols,842
4,4,feature_ablation,0.31385773829131663,-0.11390143143195888,0.48972766746993407,Symbols,842
4,4,tshap_centroid,0.4185546714065603,-0.29230264386043775,0.6323137571228976,Symbols,842
4,4,tshap_zero,0.2264005877356363,-0.33262256052027983,0.3870456077179866,Symbols,842
4,4,tshap_train,0.37656621494917625,-0.3181272837798749,0.5857840399417087,Symbols,842
4,4,mrsqm,0.14422067392990207,0.3824471976673092,0.23383298084014364,Symbols,842
4,4,hydra,-0.14261667348967938,-0.3785699744534304,-0.31814642798557774,Symbols,93
4,4,shapley_sampling,-0.1349160095973919,0.3140642087282289,-0.33589980932156394,Symbols,93
4,4,feature_ablation,0.2948477257443747,-0.053746036071590626,0.4607682921942167,Symbols,93
4,4,tshap_centroid,0.4449081430980202,-0.20981325154372307,0.6505696596208347,Symbols,93
4,4,tshap_zero,0.2924954459696135,-0.2198065504837458,0.4718473715132767,Symbols,93
4,4,tshap_train,0.4108751604682827,-0.25890514645296053,0.6195459988588832,Symbols,93
4,4,mrsqm,0.181604008691462,0.41268889830664435,0.2774247741421893,Symbols,93
1,1,hydra,0.25215504386614945,0.1005458877055739,0.3938869188872014,Symbols,727
1,1,shapley_sampling,0.3712082965152895,0.38105553863193825,0.4640845916203145,Symbols,727
1,1,feature_ablation,0.3065101815948134,0.5337535441233776,0.36986880197186056,Symbols,727
1,1,tshap_centroid,0.3887188692897408,0.48240713540185604,0.44399317708473507,Symbols,727
1,1,tshap_zero,0.4911039304271152,0.4653024710943544,0.511974428669722,Symbols,727
1,1,tshap_train,0.5050392339524533,0.5075425431678267,0.49866899619899424,Symbols,727
1,1,mrsqm,0.29323390053303805,0.15387300593844383,0.43553033984591527,Symbols,727
