method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,3,3,0.2058289800042985,DiatomSizeReduction,222
shapley_sampling,3,3,1.0004708859996754,DiatomSizeReduction,222
feature_ablation,3,3,0.04294283700437518,DiatomSizeReduction,222
tshap_centroid,3,3,0.02532195200183196,DiatomSizeReduction,222
tshap_zero,3,3,0.028633934998651966,DiatomSizeReduction,222
tshap_train,3,3,0.2752859560059733,DiatomSizeReduction,222
mrsqm,3,3,2.577900158939883e-05,DiatomSizeReduction,222
hydra,3,3,0.18594663100520847,DiatomSizeReduction,213
shapley_sampling,3,3,1.0370246800011955,DiatomSizeReduction,213
feature_ablation,3,3,0.04408570200030226,DiatomSizeReduction,213
tshap_centroid,3,3,0.025960736005799845,DiatomSizeReduction,213
tshap_zero,3,3,0.028623705002246425,DiatomSizeReduction,213
tshap_train,3,3,0.27483133900386747,DiatomSizeReduction,213
mrsqm,3,3,2.2341999283526093e-05,DiatomSizeReduction,213
hydra,1,1,0.18510457299998961,DiatomSizeReduction,58
shapley_sampling,1,1,1.0282968179963063,DiatomSizeReduction,58
feature_ablation,1,1,0.04644529000506736,DiatomSizeReduction,58
tshap_centroid,1,1,0.026578560995403677,DiatomSizeReduction,58
tshap_zero,1,1,0.028807962997234426,DiatomSizeReduction,58
tshap_train,1,1,0.267030414994224,DiatomSizeReduction,58
mrsqm,1,1,2.2932996216695756e-05,DiatomSizeReduction,58
hydra,2,2,0.19136312099726638,DiatomSizeReduction,290
shapley_sampling,2,2,1.0439935160029563,DiatomSizeReduction,290
feature_ablation,2,2,0.04589224699884653,DiatomSizeReduction,290
tshap_centroid,2,2,0.025968922003812622,DiatomSizeReduction,290
tshap_zero,2,2,0.02732561899756547,DiatomSizeReduction,290
tshap_train,2,2,0.27518951399542857,DiatomSizeReduction,290
mrsqm,2,2,2.9696006095036864e-05,DiatomSizeReduction,290
hydra,2,2,0.18754633700154955,DiatomSizeReduction,256
shapley_sampling,2,2,1.0359993469974142,DiatomSizeReduction,256
feature_ablation,2,2,0.04552378199878149,DiatomSizeReduction,256
tshap_centroid,2,2,0.026411655999254435,DiatomSizeReduction,256
tshap_zero,2,2,0.026321716002712492,DiatomSizeReduction,256
tshap_train,2,2,0.2699191690044245,DiatomSizeReduction,256
mrsqm,2,2,2.3063003027345985e-05,DiatomSizeReduction,256
hydra,2,2,0.18731008099712199,DiatomSizeReduction,228
shapley_sampling,2,2,1.02686036999512,DiatomSizeReduction,228
feature_ablation,2,2,0.045330038003157824,DiatomSizeReduction,228
tshap_centroid,2,2,0.02639494500181172,DiatomSizeReduction,228
tshap_zero,2,2,0.026853408999159,DiatomSizeReduction,228
tshap_train,2,2,0.27484178899612743,DiatomSizeReduction,228
mrsqm,2,2,2.2833002731204033e-05,DiatomSizeReduction,228
hydra,1,1,0.18472623100387864,DiatomSizeReduction,39
shapley_sampling,1,1,0.9972662049985956,DiatomSizeReduction,39
feature_ablation,1,1,0.04299247099697823,DiatomSizeReduction,39
tshap_centroid,1,1,0.025199220996000804,DiatomSizeReduction,39
tshap_zero,1,1,0.02657630600151606,DiatomSizeReduction,39
tshap_train,1,1,0.2702649519997067,DiatomSizeReduction,39
mrsqm,1,1,2.3253000108525157e-05,DiatomSizeReduction,39
hydra,2,2,0.18331078199844342,DiatomSizeReduction,25
shapley_sampling,2,2,0.997244543999841,DiatomSizeReduction,25
feature_ablation,2,2,0.042890169002930634,DiatomSizeReduction,25
tshap_centroid,2,2,0.025386795001395512,DiatomSizeReduction,25
tshap_zero,2,2,0.026448766002431512,DiatomSizeReduction,25
tshap_train,2,2,0.26927106799848843,DiatomSizeReduction,25
mrsqm,2,2,2.280299668200314e-05,DiatomSizeReduction,25
hydra,3,3,0.18337787900236435,DiatomSizeReduction,185
shapley_sampling,3,3,1.0016998819992295,DiatomSizeReduction,185
feature_ablation,3,3,0.0427198170000338,DiatomSizeReduction,185
tshap_centroid,3,3,0.02512212600413477,DiatomSizeReduction,185
tshap_zero,3,3,0.026277773999026977,DiatomSizeReduction,185
tshap_train,3,3,0.2697136720016715,DiatomSizeReduction,185
mrsqm,3,3,2.1881001885049045e-05,DiatomSizeReduction,185
hydra,1,1,0.18366529999912018,DiatomSizeReduction,152
shapley_sampling,1,1,0.99415487999795,DiatomSizeReduction,152
feature_ablation,1,1,0.04225354800291825,DiatomSizeReduction,152
tshap_centroid,1,1,0.0250850860029459,DiatomSizeReduction,152
tshap_zero,1,1,0.02683875100046862,DiatomSizeReduction,152
tshap_train,1,1,0.2696992749988567,DiatomSizeReduction,152
mrsqm,1,1,2.5367000489495695e-05,DiatomSizeReduction,152
hydra,2,2,0.1829351839987794,DiatomSizeReduction,124
shapley_sampling,2,2,0.990711309001199,DiatomSizeReduction,124
feature_ablation,2,2,0.041950366998207755,DiatomSizeReduction,124
tshap_centroid,2,2,0.024795789999188855,DiatomSizeReduction,124
tshap_zero,2,2,0.02570062599988887,DiatomSizeReduction,124
tshap_train,2,2,0.269432852997852,DiatomSizeReduction,124
mrsqm,2,2,2.625000342959538e-05,DiatomSizeReduction,124
hydra,2,2,0.18241560499882326,DiatomSizeReduction,24
shapley_sampling,2,2,0.9812037270021392,DiatomSizeReduction,24
feature_ablation,2,2,0.04195350300142309,DiatomSizeReduction,24
tshap_centroid,2,2,0.02468493200285593,DiatomSizeReduction,24
tshap_zero,2,2,0.025968039997678716,DiatomSizeReduction,24
tshap_train,2,2,0.2646378050048952,DiatomSizeReduction,24
mrsqm,2,2,2.244200004497543e-05,DiatomSizeReduction,24
hydra,1,1,0.18361564700171584,DiatomSizeReduction,136
shapley_sampling,1,1,0.9837964640028076,DiatomSizeReduction,136
feature_ablation,1,1,0.04192232400237117,DiatomSizeReduction,136
tshap_centroid,1,1,0.02477524199639447,DiatomSizeReduction,136
tshap_zero,1,1,0.025685487998998724,DiatomSizeReduction,136
tshap_train,1,1,0.26589477399829775,DiatomSizeReduction,136
mrsqm,1,1,2.2312000510282815e-05,DiatomSizeReduction,136
hydra,1,1,0.18343426499632187,DiatomSizeReduction,249
shapley_sampling,1,1,0.9852679790055845,DiatomSizeReduction,249
feature_ablation,1,1,0.04163466199679533,DiatomSizeReduction,249
tshap_centroid,1,1,0.02501164700515801,DiatomSizeReduction,249
tshap_zero,1,1,0.027108089001558255,DiatomSizeReduction,249
tshap_train,1,1,0.2666274040020653,DiatomSizeReduction,249
mrsqm,1,1,2.251299883937463e-05,DiatomSizeReduction,249
hydra,2,2,0.18479072199988877,DiatomSizeReduction,27
shapley_sampling,2,2,1.0012100690000807,DiatomSizeReduction,27
feature_ablation,2,2,0.04240406199824065,DiatomSizeReduction,27
tshap_centroid,2,2,0.02503430000069784,DiatomSizeReduction,27
tshap_zero,2,2,0.026196449995040894,DiatomSizeReduction,27
tshap_train,2,2,0.26976008000201546,DiatomSizeReduction,27
mrsqm,2,2,2.2632004402112216e-05,DiatomSizeReduction,27
hydra,1,1,0.18707814399385825,DiatomSizeReduction,217
shapley_sampling,1,1,1.0130285170016577,DiatomSizeReduction,217
feature_ablation,1,1,0.04260109299502801,DiatomSizeReduction,217
tshap_centroid,1,1,0.025293298000178766,DiatomSizeReduction,217
tshap_zero,1,1,0.02655402399977902,DiatomSizeReduction,217
tshap_train,1,1,0.27167994900082704,DiatomSizeReduction,217
mrsqm,1,1,2.6680005248636007e-05,DiatomSizeReduction,217
hydra,1,1,0.18372222700418206,DiatomSizeReduction,237
shapley_sampling,1,1,1.005108356999699,DiatomSizeReduction,237
