method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,2,2,0.04373729499639012,DistalPhalanxOutlineAgeGroup,99
shapley_sampling,2,2,0.6453692159993807,DistalPhalanxOutlineAgeGroup,99
feature_ablation,2,2,0.027881977999641094,DistalPhalanxOutlineAgeGroup,99
tshap_centroid,2,2,0.00232413099729456,DistalPhalanxOutlineAgeGroup,99
tshap_zero,2,2,0.0021258570050122216,DistalPhalanxOutlineAgeGroup,99
tshap_train,2,2,0.02528630499728024,DistalPhalanxOutlineAgeGroup,99
mrsqm,2,2,2.68299991148524e-05,DistalPhalanxOutlineAgeGroup,99
hydra,2,2,0.030536601996573154,DistalPhalanxOutlineAgeGroup,133
shapley_sampling,2,2,0.6400102940024226,DistalPhalanxOutlineAgeGroup,133
feature_ablation,2,2,0.027998536999803036,DistalPhalanxOutlineAgeGroup,133
tshap_centroid,2,2,0.002439788993797265,DistalPhalanxOutlineAgeGroup,133
tshap_zero,2,2,0.002144311998563353,DistalPhalanxOutlineAgeGroup,133
tshap_train,2,2,0.015441537005244754,DistalPhalanxOutlineAgeGroup,133
mrsqm,2,2,2.7632006094790995e-05,DistalPhalanxOutlineAgeGroup,133
hydra,0,0,0.030943148005462717,DistalPhalanxOutlineAgeGroup,29
shapley_sampling,0,0,0.6468567199990503,DistalPhalanxOutlineAgeGroup,29
feature_ablation,0,0,0.029114259996276814,DistalPhalanxOutlineAgeGroup,29
tshap_centroid,0,0,0.0021709029970224947,DistalPhalanxOutlineAgeGroup,29
tshap_zero,0,0,0.002034525001363363,DistalPhalanxOutlineAgeGroup,29
tshap_train,0,0,0.015708910999819636,DistalPhalanxOutlineAgeGroup,29
mrsqm,0,0,2.3494998458772898e-05,DistalPhalanxOutlineAgeGroup,29
hydra,2,2,0.030460948997642845,DistalPhalanxOutlineAgeGroup,128
shapley_sampling,2,2,0.6397092070037615,DistalPhalanxOutlineAgeGroup,128
feature_ablation,2,2,0.027849436999531463,DistalPhalanxOutlineAgeGroup,128
tshap_centroid,2,2,0.0021421279961941764,DistalPhalanxOutlineAgeGroup,128
tshap_zero,2,2,0.0020440129956114106,DistalPhalanxOutlineAgeGroup,128
tshap_train,2,2,0.015379841999674682,DistalPhalanxOutlineAgeGroup,128
mrsqm,2,2,2.2733001969754696e-05,DistalPhalanxOutlineAgeGroup,128
hydra,2,2,0.030945362006605137,DistalPhalanxOutlineAgeGroup,121
shapley_sampling,2,2,0.64470598600019,DistalPhalanxOutlineAgeGroup,121
feature_ablation,2,2,0.027744888997403905,DistalPhalanxOutlineAgeGroup,121
tshap_centroid,2,2,0.0022516940007335506,DistalPhalanxOutlineAgeGroup,121
tshap_zero,2,2,0.002123792997736018,DistalPhalanxOutlineAgeGroup,121
tshap_train,2,2,0.015403155004605651,DistalPhalanxOutlineAgeGroup,121
mrsqm,2,2,2.7130998205393553e-05,DistalPhalanxOutlineAgeGroup,121
hydra,2,2,0.0303594580036588,DistalPhalanxOutlineAgeGroup,109
shapley_sampling,2,2,0.6435269939975115,DistalPhalanxOutlineAgeGroup,109
feature_ablation,2,2,0.028214273996127304,DistalPhalanxOutlineAgeGroup,109
tshap_centroid,2,2,0.002157797003746964,DistalPhalanxOutlineAgeGroup,109
tshap_zero,2,2,0.0020948580058757216,DistalPhalanxOutlineAgeGroup,109
tshap_train,2,2,0.015471022998099215,DistalPhalanxOutlineAgeGroup,109
mrsqm,2,2,2.4225999368354678e-05,DistalPhalanxOutlineAgeGroup,109
hydra,1,1,0.03052056100568734,DistalPhalanxOutlineAgeGroup,19
shapley_sampling,1,1,0.6456527499976801,DistalPhalanxOutlineAgeGroup,19
feature_ablation,1,1,0.027869985002325848,DistalPhalanxOutlineAgeGroup,19
tshap_centroid,1,1,0.0021571360048255883,DistalPhalanxOutlineAgeGroup,19
tshap_zero,1,1,0.002031408999755513,DistalPhalanxOutlineAgeGroup,19
tshap_train,1,1,0.015487083997868467,DistalPhalanxOutlineAgeGroup,19
mrsqm,1,1,2.8062000637874007e-05,DistalPhalanxOutlineAgeGroup,19
hydra,0,0,0.03048429299815325,DistalPhalanxOutlineAgeGroup,10
shapley_sampling,0,0,0.6437028349973843,DistalPhalanxOutlineAgeGroup,10
feature_ablation,0,0,0.02775349600415211,DistalPhalanxOutlineAgeGroup,10
tshap_centroid,0,0,0.002209465004852973,DistalPhalanxOutlineAgeGroup,10
tshap_zero,0,0,0.00203963400417706,DistalPhalanxOutlineAgeGroup,10
