true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
1,1,hydra,-0.6843188930298003,-0.11083273943615304,-3.564544677726489,DistalPhalanxTW,75
1,1,shapley_sampling,-0.05075521103564197,0.013561527173264226,-0.10701675429388108,DistalPhalanxTW,75
1,1,feature_ablation,0.04651531863380064,-0.1888825928252124,0.0895278389424063,DistalPhalanxTW,75
1,1,tshap_centroid,0.17472212226196943,-0.1572000214785206,0.30360399755275463,DistalPhalanxTW,75
1,1,tshap_zero,-0.29834365758785997,0.3251438431121911,-1.0694946625461095,DistalPhalanxTW,75
1,1,tshap_train,0.13029601592407017,-0.13233622455982944,0.23370050916822024,DistalPhalanxTW,75
1,1,mrsqm,0.5341625598831554,-0.09666781680785677,0.7184056622199471,DistalPhalanxTW,75
2,2,hydra,0.4986700439398676,0.4095500449231969,0.5406928626933337,DistalPhalanxTW,124
2,2,shapley_sampling,0.5193234361292768,0.3457596414897802,0.5790266410533699,DistalPhalanxTW,124
2,2,feature_ablation,0.49930752836540193,0.32370570510744034,0.5744782394001604,DistalPhalanxTW,124
2,2,tshap_centroid,0.4738213952201622,0.4681553796623899,0.5011591445872565,DistalPhalanxTW,124
2,2,tshap_zero,0.5923022115461057,0.29601385754192294,0.6433330173610207,DistalPhalanxTW,124
2,2,tshap_train,0.5275802184279672,0.3757811914998503,0.5718454133681212,DistalPhalanxTW,124
2,2,mrsqm,0.4831216386060787,0.41717818776351806,0.5283091306963559,DistalPhalanxTW,124
5,5,hydra,-0.4724027888299584,0.28970930136822337,-2.821020262805017,DistalPhalanxTW,25
5,5,shapley_sampling,0.23087088890766003,0.4769053790081555,0.3203523730078837,DistalPhalanxTW,25
5,5,feature_ablation,0.5224537299504225,0.41398881814550564,0.5524103189770952,DistalPhalanxTW,25
5,5,tshap_centroid,0.16972798915264542,-0.32194858822262734,0.30083153284742914,DistalPhalanxTW,25
5,5,tshap_zero,0.18894874825149402,-0.04294414894376227,0.31993526691778457,DistalPhalanxTW,25
5,5,tshap_train,0.23121578009937213,-0.35699259756733676,0.3951094912325772,DistalPhalanxTW,25
5,5,mrsqm,-0.22040696993901396,-0.733442833206593,-0.5050281909438087,DistalPhalanxTW,25
3,3,hydra,-0.212882414387741,-0.3135679045997387,-0.5081115531732484,DistalPhalanxTW,117
3,3,shapley_sampling,-0.2267959053896554,0.4633973210569987,-0.7856464144379791,DistalPhalanxTW,117
3,3,feature_ablation,-0.15309292936752036,0.3893399615126031,-0.40862960766363027,DistalPhalanxTW,117
3,3,tshap_centroid,0.21792159612314363,-0.3396434686078383,0.3748636246735377,DistalPhalanxTW,117
3,3,tshap_zero,0.4386395205696137,-0.8106403808691479,0.7061979508022994,DistalPhalanxTW,117
3,3,tshap_train,0.44262833276888086,-0.5122793740960068,0.6848176982333067,DistalPhalanxTW,117
3,3,mrsqm,-0.6895030121521238,0.6686515767302526,0.0,DistalPhalanxTW,117
2,2,hydra,0.44060728819814976,0.365971566485522,0.5199111533090077,DistalPhalanxTW,106
2,2,shapley_sampling,0.3798535053868989,0.37317130551783423,0.4730451713700974,DistalPhalanxTW,106
2,2,feature_ablation,0.519745407654177,0.1944300128736829,0.6318364715325497,DistalPhalanxTW,106
2,2,tshap_centroid,0.3363311953110624,0.41192820387749207,0.4279235181008605,DistalPhalanxTW,106
2,2,tshap_zero,0.3541712920241137,0.40073723597551136,0.4452152008836476,DistalPhalanxTW,106
2,2,tshap_train,0.4371717045644688,0.36530721846609127,0.5177328454792676,DistalPhalanxTW,106
2,2,mrsqm,0.4822311902555149,0.37398092550421297,0.5447973856058663,DistalPhalanxTW,106
2,2,hydra,0.8111031734974619,0.6872497710317578,0.4514337949623109,DistalPhalanxTW,86
2,2,shapley_sampling,0.7170441958265728,0.6490174713196613,0.4712803139696003,DistalPhalanxTW,86
2,2,feature_ablation,0.8741896571673407,0.5862188007155695,0.561694766512432,DistalPhalanxTW,86
2,2,tshap_centroid,0.768901031576191,0.8372965949749889,0.2685749681938096,DistalPhalanxTW,86
2,2,tshap_zero,0.8901675171984125,0.6671818915703771,0.4844928068673418,DistalPhalanxTW,86
2,2,tshap_train,0.8104912913795193,0.8337410401514505,0.2759178999987837,DistalPhalanxTW,86
2,2,mrsqm,0.726036906985893,0.7267536244213213,0.3970584854799273,DistalPhalanxTW,86
5,5,hydra,-0.4877975204405169,0.5912383059002012,0.0,DistalPhalanxTW,17
5,5,shapley_sampling,0.12091925756639288,0.561240312512871,0.18958903539218405,DistalPhalanxTW,17
5,5,feature_ablation,0.42317523594726786,0.4838656653075688,0.4650549205310622,DistalPhalanxTW,17
5,5,tshap_centroid,0.536337786528776,-0.4898019310619745,0.7887284999498428,DistalPhalanxTW,17
5,5,tshap_zero,0.3633579798065908,0.05845238395914839,0.524357993015018,DistalPhalanxTW,17
5,5,tshap_train,0.6660803557096531,-0.31157615122895016,0.8834851818663153,DistalPhalanxTW,17
5,5,mrsqm,0.13485591685260914,-0.7171013937293402,0.2500719443770532,DistalPhalanxTW,17
0,0,hydra,0.8741360743539407,0.6966825456038865,0.45036296107637247,DistalPhalanxTW,8
0,0,shapley_sampling,0.7331441163451504,0.5498052858458592,0.5578412494966173,DistalPhalanxTW,8
0,0,feature_ablation,0.6236879706199044,0.5606730260192976,0.5155204077465825,DistalPhalanxTW,8
0,0,tshap_centroid,0.5337581773318513,0.6949103448677934,0.38825658705662114,DistalPhalanxTW,8
0,0,tshap_zero,0.4699729577079605,0.5701039227974041,0.44904207850653666,DistalPhalanxTW,8
