true_label,pred_label,method,aucs_top,aucs_bottom,f1s,dataset,sample_idx
1,1,hydra,0.9749999850804523,0.6218440954308231,0.5449512567373149,ElectricDevices,5824
1,1,shapley_sampling,0.8749999754947376,0.6580662064350287,0.4917146168461576,ElectricDevices,5824
1,1,feature_ablation,0.875000006469397,0.9749999601901023,0.04861118637899998,ElectricDevices,5824
1,1,tshap_centroid,0.974999958580272,0.3436043076861629,0.7845868320998735,ElectricDevices,5824
1,1,tshap_zero,0.9749999808546319,-0.14091307836070044,1.0514517358959938,ElectricDevices,5824
1,1,tshap_train,0.9749999632918187,0.17509471072326904,0.8936944048763573,ElectricDevices,5824
1,1,mrsqm,-0.47933010262888853,0.9396056729693609,0.0,ElectricDevices,5824
0,3,hydra,0.1086590648297104,0.34452120491815125,0.18641587238601798,ElectricDevices,5258
0,3,shapley_sampling,0.4010532114460548,0.1866826913604849,0.5372059238255477,ElectricDevices,5258
0,3,feature_ablation,0.0666675099627172,0.1248226094531506,0.12389703946341914,ElectricDevices,5258
0,3,tshap_centroid,0.2851927922471724,0.22079266679354215,0.4175578521318084,ElectricDevices,5258
0,3,tshap_zero,0.3840278067897941,0.13068077117589594,0.532721979402931,ElectricDevices,5258
0,3,tshap_train,0.2451115142479688,0.11614945320888516,0.3837895946538196,ElectricDevices,5258
0,3,mrsqm,0.19995597332918053,0.2090180761795873,0.31921588813637247,ElectricDevices,5258
6,6,hydra,0.8855265248338291,0.7689088140744955,0.36653077023680863,ElectricDevices,1579
6,6,shapley_sampling,0.9749999980651805,0.8668760918298233,0.23426226882751489,ElectricDevices,1579
6,6,feature_ablation,0.9749999988487956,0.7355235893257714,0.4160861765850598,ElectricDevices,1579
6,6,tshap_centroid,0.9749999993216099,0.9456860233872724,0.10289596449420323,ElectricDevices,1579
6,6,tshap_zero,0.518115985282445,0.9749999986229361,0.04769846833347004,ElectricDevices,1579
6,6,tshap_train,0.9749999964125184,0.5115674203651892,0.650828430617491,ElectricDevices,1579
6,6,mrsqm,0.8054519134465868,0.8512385695074112,0.25113918097742466,ElectricDevices,1579
2,6,hydra,0.8834929360733669,0.6585249638549844,0.49256925751808095,ElectricDevices,7481
2,6,shapley_sampling,0.9238989760504991,0.9198322356370777,0.14753384894845686,ElectricDevices,7481
2,6,feature_ablation,0.9749999991596897,0.9749999980369427,0.048750003731212285,ElectricDevices,7481
2,6,tshap_centroid,0.9439621771909023,0.9145007835981396,0.15679660639074527,ElectricDevices,7481
2,6,tshap_zero,0.8504228785289673,0.9749999984808589,0.048572121519072316,ElectricDevices,7481
2,6,tshap_train,0.961328338876878,0.9636846240242491,0.06998690923966754,ElectricDevices,7481
2,6,mrsqm,0.8822916254056353,0.917991495270399,0.15006825089781547,ElectricDevices,7481
4,4,hydra,0.8250000089955841,0.7004460596190044,0.43952004907543457,ElectricDevices,6607
4,4,shapley_sampling,0.656448013446192,0.10799776765507561,0.7563085672323041,ElectricDevices,6607
4,4,feature_ablation,-0.3242178188275059,0.4172300148872458,-1.4615573805940725,ElectricDevices,6607
4,4,tshap_centroid,-0.1056353858588496,-0.20095445786175864,-0.23164626782796582,ElectricDevices,6607
4,4,tshap_zero,-0.9749999882945272,0.825000009243502,0.0,ElectricDevices,6607
4,4,tshap_train,0.6942369839027691,-0.37886823816786047,0.9235048145881013,ElectricDevices,6607
4,4,mrsqm,0.7250739237216273,-0.3177717080248273,0.935442099058712,ElectricDevices,6607
1,1,hydra,0.9194853586887536,-0.31352862561930406,1.081740058918406,ElectricDevices,5757
1,1,shapley_sampling,0.5538955037427353,0.5613810708935293,0.4895627602937624,ElectricDevices,5757
1,1,feature_ablation,0.6929613964363465,0.5484678555995641,0.5467821951897697,ElectricDevices,5757
1,1,tshap_centroid,0.9595130334819516,-0.2688715451782213,1.0927187318312115,ElectricDevices,5757
1,1,tshap_zero,0.9595130321175628,-0.14603451676476364,1.0445122027057105,ElectricDevices,5757
1,1,tshap_train,0.9595130322250397,-0.317797103124673,1.1104710549951995,ElectricDevices,5757
1,1,mrsqm,-0.2149300474994279,0.9531066002119223,0.0,ElectricDevices,5757
1,1,hydra,0.8645832147753608,0.719631964641982,0.42342675690663545,ElectricDevices,1068
1,1,shapley_sampling,0.9442044913458424,0.922012371990569,0.14407520316700967,ElectricDevices,1068
1,1,feature_ablation,0.9120895706996329,0.85323319347766,0.2528472726492434,ElectricDevices,1068
1,1,tshap_centroid,0.9602479504827003,0.7925873692069543,0.3411394660692297,ElectricDevices,1068
1,1,tshap_zero,0.9001274794554378,0.7700545175138852,0.3663130692141912,ElectricDevices,1068
1,1,tshap_train,0.9421466427740636,0.754919595727515,0.388976448387768,ElectricDevices,1068
1,1,mrsqm,0.42798276076250497,0.8854327421684106,0.18074945947587168,ElectricDevices,1068
2,6,hydra,0.9740651534523556,0.45856773423763647,0.6959963063574856,ElectricDevices,798
2,6,shapley_sampling,0.9749999874186871,0.9749999994255539,0.04875000107643895,ElectricDevices,798
