method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,2,2,0.27088514500064775,Fish,121
shapley_sampling,2,2,0.8791478869970888,Fish,121
feature_ablation,2,2,0.03734340299706673,Fish,121
tshap_centroid,2,2,0.05860150799708208,Fish,121
tshap_zero,2,2,0.05232981799781555,Fish,121
tshap_train,2,2,0.5126576609982294,Fish,121
mrsqm,2,2,2.604899782454595e-05,Fish,121
hydra,4,4,0.24949826700321864,Fish,122
shapley_sampling,4,4,0.8475626270010252,Fish,122
feature_ablation,4,4,0.036237417996744625,Fish,122
tshap_centroid,4,4,0.04608018900034949,Fish,122
tshap_zero,4,4,0.052889192003931385,Fish,122
tshap_train,4,4,0.4972769430023618,Fish,122
mrsqm,4,4,2.606899943202734e-05,Fish,122
hydra,0,0,0.2494565790038905,Fish,33
shapley_sampling,0,0,0.8372919600005844,Fish,33
feature_ablation,0,0,0.037560562006547116,Fish,33
tshap_centroid,0,0,0.04584334199898876,Fish,33
tshap_zero,0,0,0.05236274000344565,Fish,33
tshap_train,0,0,0.4882719099987298,Fish,33
mrsqm,0,0,2.894400677178055e-05,Fish,33
hydra,0,0,0.24818500200490234,Fish,162
shapley_sampling,0,0,0.8355880680028349,Fish,162
feature_ablation,0,0,0.03574336699966807,Fish,162
tshap_centroid,0,0,0.04555935700045666,Fish,162
tshap_zero,0,0,0.05252881300111767,Fish,162
tshap_train,0,0,0.4949973160037189,Fish,162
mrsqm,0,0,3.139900218229741e-05,Fish,162
hydra,4,4,0.2497140039995429,Fish,146
shapley_sampling,4,4,0.8387177460026578,Fish,146
feature_ablation,4,4,0.035324126001796685,Fish,146
tshap_centroid,4,4,0.04564649099484086,Fish,146
tshap_zero,4,4,0.05241043999558315,Fish,146
tshap_train,4,4,0.49372916600259487,Fish,146
mrsqm,4,4,2.772200241452083e-05,Fish,146
hydra,2,2,0.24825508399953833,Fish,129
shapley_sampling,2,2,0.8338981830020202,Fish,129
feature_ablation,2,2,0.03539884700148832,Fish,129
tshap_centroid,2,2,0.047020351004903205,Fish,129
tshap_zero,2,2,0.052149297000141814,Fish,129
tshap_train,2,2,0.4907992149965139,Fish,129
mrsqm,2,2,2.3173997760750353e-05,Fish,129
hydra,2,2,0.2501525199986645,Fish,22
shapley_sampling,2,2,0.847003062001022,Fish,22
feature_ablation,2,2,0.03664573800051585,Fish,22
tshap_centroid,2,2,0.05070768999576103,Fish,22
tshap_zero,2,2,0.052488455999991857,Fish,22
tshap_train,2,2,0.5110942040046211,Fish,22
mrsqm,2,2,2.365499676670879e-05,Fish,22
hydra,4,4,0.25246345600317,Fish,14
shapley_sampling,4,4,0.8735779990020092,Fish,14
feature_ablation,4,4,0.03764332699938677,Fish,14
tshap_centroid,4,4,0.04795446200296283,Fish,14
tshap_zero,4,4,0.053259640000760555,Fish,14
tshap_train,4,4,0.4982403190006153,Fish,14
mrsqm,4,4,2.7512003725860268e-05,Fish,14
hydra,1,1,0.2480780709956889,Fish,104
shapley_sampling,1,1,0.8354151320017991,Fish,104
feature_ablation,1,1,0.03553232899866998,Fish,104
