method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.1786724490011693,FreezerRegularTrain,2192
shapley_sampling,1,1,0.9890149060011026,FreezerRegularTrain,2192
feature_ablation,1,1,0.04166119000001345,FreezerRegularTrain,2192
tshap_centroid,1,1,0.027210093998291995,FreezerRegularTrain,2192
tshap_zero,1,1,0.024442636997264344,FreezerRegularTrain,2192
tshap_train,1,1,0.22620217999792658,FreezerRegularTrain,2192
mrsqm,1,1,2.7832997147925198e-05,FreezerRegularTrain,2192
hydra,1,1,0.16043115900538396,FreezerRegularTrain,2041
shapley_sampling,1,1,0.9890608130008331,FreezerRegularTrain,2041
feature_ablation,1,1,0.04191171200363897,FreezerRegularTrain,2041
tshap_centroid,1,1,0.02164308200008236,FreezerRegularTrain,2041
tshap_zero,1,1,0.02456314500159351,FreezerRegularTrain,2041
tshap_train,1,1,0.21493151700269664,FreezerRegularTrain,2041
mrsqm,1,1,2.8182999812997878e-05,FreezerRegularTrain,2041
hydra,0,0,0.15927483000268694,FreezerRegularTrain,570
shapley_sampling,0,0,1.014367158000823,FreezerRegularTrain,570
feature_ablation,0,0,0.04365957700065337,FreezerRegularTrain,570
tshap_centroid,0,0,0.021824223003932275,FreezerRegularTrain,570
tshap_zero,0,0,0.024204758999985643,FreezerRegularTrain,570
tshap_train,0,0,0.2193108309948002,FreezerRegularTrain,570
mrsqm,0,0,2.6881003577727824e-05,FreezerRegularTrain,570
hydra,1,1,0.1596041110024089,FreezerRegularTrain,2772
shapley_sampling,1,1,1.0147139920009067,FreezerRegularTrain,2772
feature_ablation,1,1,0.04470908499934012,FreezerRegularTrain,2772
tshap_centroid,1,1,0.02493803100514924,FreezerRegularTrain,2772
tshap_zero,1,1,0.024405186995863914,FreezerRegularTrain,2772
tshap_train,1,1,0.222779208997963,FreezerRegularTrain,2772
mrsqm,1,1,2.9275004635564983e-05,FreezerRegularTrain,2772
hydra,1,1,0.16312580900557805,FreezerRegularTrain,2393
shapley_sampling,1,1,1.0278609309971216,FreezerRegularTrain,2393
feature_ablation,1,1,0.043414314997789916,FreezerRegularTrain,2393
tshap_centroid,1,1,0.021974315997795202,FreezerRegularTrain,2393
tshap_zero,1,1,0.024667231999046635,FreezerRegularTrain,2393
tshap_train,1,1,0.22283614600019064,FreezerRegularTrain,2393
mrsqm,1,1,2.5729001208674163e-05,FreezerRegularTrain,2393
hydra,1,1,0.16528815299534472,FreezerRegularTrain,2165
shapley_sampling,1,1,1.0222825070013641,FreezerRegularTrain,2165
feature_ablation,1,1,0.0443710870022187,FreezerRegularTrain,2165
tshap_centroid,1,1,0.02184055300313048,FreezerRegularTrain,2165
tshap_zero,1,1,0.024225046996434685,FreezerRegularTrain,2165
tshap_train,1,1,0.21969663799973205,FreezerRegularTrain,2165
mrsqm,1,1,2.6710004021879286e-05,FreezerRegularTrain,2165
hydra,0,0,0.16145185299683362,FreezerRegularTrain,363
shapley_sampling,0,0,1.0168259830024908,FreezerRegularTrain,363
feature_ablation,0,0,0.04188213700399501,FreezerRegularTrain,363
tshap_centroid,0,0,0.021170952000829857,FreezerRegularTrain,363
tshap_zero,0,0,0.024186175003706012,FreezerRegularTrain,363
tshap_train,0,0,0.2141672669968102,FreezerRegularTrain,363
mrsqm,0,0,2.5717999960761517e-05,FreezerRegularTrain,363
hydra,0,0,0.1630757539969636,FreezerRegularTrain,252
shapley_sampling,0,0,0.9873082089980016,FreezerRegularTrain,252
feature_ablation,0,0,0.04212205899966648,FreezerRegularTrain,252
tshap_centroid,0,0,0.02129633800359443,FreezerRegularTrain,252
tshap_zero,0,0,0.024301701996591873,FreezerRegularTrain,252
tshap_train,0,0,0.21525627000664826,FreezerRegularTrain,252
mrsqm,0,0,2.576899714767933e-05,FreezerRegularTrain,252
hydra,1,1,0.16182177099835826,FreezerRegularTrain,1853
shapley_sampling,1,1,0.9841079879988683,FreezerRegularTrain,1853
feature_ablation,1,1,0.04158440500032157,FreezerRegularTrain,1853
tshap_centroid,1,1,0.021252524995361455,FreezerRegularTrain,1853
tshap_zero,1,1,0.024606667000625748,FreezerRegularTrain,1853
tshap_train,1,1,0.21520296900416724,FreezerRegularTrain,1853
mrsqm,1,1,3.81520003429614e-05,FreezerRegularTrain,1853
hydra,1,1,0.15984530599962454,FreezerRegularTrain,1457
shapley_sampling,1,1,0.9823029359977227,FreezerRegularTrain,1457
feature_ablation,1,1,0.04126493299554568,FreezerRegularTrain,1457
tshap_centroid,1,1,0.021089036999910604,FreezerRegularTrain,1457
tshap_zero,1,1,0.024214097000367474,FreezerRegularTrain,1457
tshap_train,1,1,0.21543866400315892,FreezerRegularTrain,1457
mrsqm,1,1,2.6980997063219547e-05,FreezerRegularTrain,1457
hydra,0,0,0.1610566689996631,FreezerRegularTrain,1224
shapley_sampling,0,0,0.9951855160034029,FreezerRegularTrain,1224
feature_ablation,0,0,0.04175905499869259,FreezerRegularTrain,1224
tshap_centroid,0,0,0.021205446995736565,FreezerRegularTrain,1224
tshap_zero,0,0,0.024286974999995437,FreezerRegularTrain,1224
tshap_train,0,0,0.21678699499898357,FreezerRegularTrain,1224
mrsqm,0,0,2.668100205482915e-05,FreezerRegularTrain,1224
hydra,0,0,0.16100259700033348,FreezerRegularTrain,243
shapley_sampling,0,0,0.9853281079995213,FreezerRegularTrain,243
feature_ablation,0,0,0.04161524300434394,FreezerRegularTrain,243
tshap_centroid,0,0,0.021152316003281157,FreezerRegularTrain,243
tshap_zero,0,0,0.02426112599641783,FreezerRegularTrain,243
tshap_train,0,0,0.21516661100031342,FreezerRegularTrain,243
mrsqm,0,0,2.542800211813301e-05,FreezerRegularTrain,243
hydra,0,0,0.16056691599806072,FreezerRegularTrain,1280
shapley_sampling,0,0,0.9814942819939461,FreezerRegularTrain,1280
feature_ablation,0,0,0.04153144599695224,FreezerRegularTrain,1280
tshap_centroid,0,0,0.02101771299930988,FreezerRegularTrain,1280
tshap_zero,0,0,0.02421576999768149,FreezerRegularTrain,1280
tshap_train,0,0,0.21469288799562491,FreezerRegularTrain,1280
mrsqm,0,0,2.5818000722210854e-05,FreezerRegularTrain,1280
hydra,1,1,0.16113749999931315,FreezerRegularTrain,2435
shapley_sampling,1,1,0.9875957120020757,FreezerRegularTrain,2435
feature_ablation,1,1,0.042016028994112276,FreezerRegularTrain,2435
tshap_centroid,1,1,0.021185809004236944,FreezerRegularTrain,2435
tshap_zero,1,1,0.0243023639995954,FreezerRegularTrain,2435
tshap_train,1,1,0.21552853300090646,FreezerRegularTrain,2435
mrsqm,1,1,2.3895001504570246e-05,FreezerRegularTrain,2435
hydra,0,0,0.16041021000273759,FreezerRegularTrain,266
shapley_sampling,0,0,0.9809513779982808,FreezerRegularTrain,266
feature_ablation,0,0,0.04203377199883107,FreezerRegularTrain,266
