method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.25645549199543893,Ham,61
shapley_sampling,1,1,1.0082076389953727,Ham,61
feature_ablation,1,1,0.04266271399683319,Ham,61
tshap_centroid,1,1,0.03766933600127231,Ham,61
tshap_zero,1,1,0.04271147600229597,Ham,61
tshap_train,1,1,0.4354838859944721,Ham,61
mrsqm,1,1,2.858399966498837e-05,Ham,61
hydra,1,1,0.23283898399677128,Ham,99
shapley_sampling,1,1,1.0062625639984617,Ham,99
feature_ablation,1,1,0.043000461999326944,Ham,99
tshap_centroid,1,1,0.03758309299882967,Ham,99
tshap_zero,1,1,0.04238322899618652,Ham,99
tshap_train,1,1,0.4262314330044319,Ham,99
mrsqm,1,1,2.4827000743243843e-05,Ham,99
hydra,0,0,0.23500876300386153,Ham,18
shapley_sampling,0,0,1.0035308770020492,Ham,18
feature_ablation,0,0,0.04260063700348837,Ham,18
tshap_centroid,0,0,0.04111976800049888,Ham,18
tshap_zero,0,0,0.042484890000196174,Ham,18
tshap_train,0,0,0.4244528819981497,Ham,18
mrsqm,0,0,2.428600419079885e-05,Ham,18
hydra,1,1,0.23251978200278245,Ham,95
shapley_sampling,1,1,0.9953893170022639,Ham,95
feature_ablation,1,1,0.04313212000124622,Ham,95
tshap_centroid,1,1,0.03779727700020885,Ham,95
tshap_zero,1,1,0.04276901500270469,Ham,95
tshap_train,1,1,0.4226160609978251,Ham,95
mrsqm,1,1,2.5497996830381453e-05,Ham,95
hydra,1,1,0.23371770000085235,Ham,92
shapley_sampling,1,1,1.0028315790041233,Ham,92
feature_ablation,1,1,0.0429508379966137,Ham,92
tshap_centroid,1,1,0.03787955300504109,Ham,92
tshap_zero,1,1,0.04313933199591702,Ham,92
tshap_train,1,1,0.4245650629964075,Ham,92
mrsqm,1,1,2.462699922034517e-05,Ham,92
hydra,1,1,0.23257790200295858,Ham,98
shapley_sampling,1,1,1.0039044709992595,Ham,98
feature_ablation,1,1,0.04234643899690127,Ham,98
tshap_centroid,1,1,0.03763740599970333,Ham,98
tshap_zero,1,1,0.04262495400325861,Ham,98
tshap_train,1,1,0.42334522400051355,Ham,98
mrsqm,1,1,2.5708999601192772e-05,Ham,98
hydra,0,0,0.23349779500131262,Ham,15
shapley_sampling,0,0,1.0082393789998605,Ham,15
feature_ablation,0,0,0.04391796999698272,Ham,15
tshap_centroid,0,0,0.037706165996496566,Ham,15
tshap_zero,0,0,0.04262107700196793,Ham,15
tshap_train,0,0,0.4247106080001686,Ham,15
mrsqm,0,0,2.4355998903047293e-05,Ham,15
hydra,0,0,0.23411223299626727,Ham,9
shapley_sampling,0,0,1.0048168400026043,Ham,9
feature_ablation,0,0,0.04265312699862989,Ham,9
tshap_centroid,0,0,0.037738596998678986,Ham,9
tshap_zero,0,0,0.04261604599741986,Ham,9
tshap_train,0,0,0.4246971320026205,Ham,9
