method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,5,5,0.04951147999963723,MiddlePhalanxTW,82
shapley_sampling,5,5,0.6468701470002998,MiddlePhalanxTW,82
feature_ablation,5,5,0.02795181800320279,MiddlePhalanxTW,82
tshap_centroid,5,5,0.002240631998574827,MiddlePhalanxTW,82
tshap_zero,5,5,0.002121858997270465,MiddlePhalanxTW,82
tshap_train,5,5,0.015488369994272944,MiddlePhalanxTW,82
mrsqm,5,5,2.705100632738322e-05,MiddlePhalanxTW,82
hydra,1,1,0.03050239499862073,MiddlePhalanxTW,139
shapley_sampling,1,1,0.6486430580043816,MiddlePhalanxTW,139
feature_ablation,1,1,0.02820292099931976,MiddlePhalanxTW,139
tshap_centroid,1,1,0.002274295999086462,MiddlePhalanxTW,139
tshap_zero,1,1,0.0021203860014793463,MiddlePhalanxTW,139
tshap_train,1,1,0.01563971499854233,MiddlePhalanxTW,139
mrsqm,1,1,2.211199898738414e-05,MiddlePhalanxTW,139
hydra,5,5,0.030525798996677622,MiddlePhalanxTW,26
shapley_sampling,5,5,0.6499127999995835,MiddlePhalanxTW,26
feature_ablation,5,5,0.028218641004059464,MiddlePhalanxTW,26
tshap_centroid,5,5,0.002308451003045775,MiddlePhalanxTW,26
tshap_zero,5,5,0.002109686000039801,MiddlePhalanxTW,26
tshap_train,5,5,0.015583046995743643,MiddlePhalanxTW,26
mrsqm,5,5,2.1559993911068887e-05,MiddlePhalanxTW,26
hydra,1,1,0.030401474999962375,MiddlePhalanxTW,129
shapley_sampling,1,1,0.6491724439983955,MiddlePhalanxTW,129
feature_ablation,1,1,0.028213632002007216,MiddlePhalanxTW,129
tshap_centroid,1,1,0.0022690059995511547,MiddlePhalanxTW,129
tshap_zero,1,1,0.0021085639964439906,MiddlePhalanxTW,129
tshap_train,1,1,0.018017935995885637,MiddlePhalanxTW,129
mrsqm,1,1,2.300300548085943e-05,MiddlePhalanxTW,129
hydra,1,1,0.03072532500664238,MiddlePhalanxTW,116
shapley_sampling,1,1,0.6481218350018025,MiddlePhalanxTW,116
feature_ablation,1,1,0.027985672000795603,MiddlePhalanxTW,116
tshap_centroid,1,1,0.002245051000500098,MiddlePhalanxTW,116
tshap_zero,1,1,0.0021079130019643344,MiddlePhalanxTW,116
tshap_train,1,1,0.015466949000256136,MiddlePhalanxTW,116
mrsqm,1,1,2.0678999135270715e-05,MiddlePhalanxTW,116
hydra,5,5,0.03061802299635019,MiddlePhalanxTW,93
shapley_sampling,5,5,0.6508599859953392,MiddlePhalanxTW,93
feature_ablation,5,5,0.027850576996570453,MiddlePhalanxTW,93
tshap_centroid,5,5,0.002257033993373625,MiddlePhalanxTW,93
tshap_zero,5,5,0.002129432999936398,MiddlePhalanxTW,93
tshap_train,5,5,0.018146709000575356,MiddlePhalanxTW,93
mrsqm,5,5,2.2262000129558146e-05,MiddlePhalanxTW,93
hydra,5,5,0.030960028001572937,MiddlePhalanxTW,18
shapley_sampling,5,5,0.629493096996157,MiddlePhalanxTW,18
feature_ablation,5,5,0.027223324999795295,MiddlePhalanxTW,18
tshap_centroid,5,5,0.0022174990008352324,MiddlePhalanxTW,18
tshap_zero,5,5,0.0021028839983046055,MiddlePhalanxTW,18
tshap_train,5,5,0.015196979999018367,MiddlePhalanxTW,18
mrsqm,5,5,2.2082000214140862e-05,MiddlePhalanxTW,18
hydra,0,0,0.030586644003051333,MiddlePhalanxTW,10
shapley_sampling,0,0,0.6293241090024821,MiddlePhalanxTW,10
feature_ablation,0,0,0.027444993000244722,MiddlePhalanxTW,10
tshap_centroid,0,0,0.0022307940016617067,MiddlePhalanxTW,10
tshap_zero,0,0,0.002087414002744481,MiddlePhalanxTW,10
tshap_train,0,0,0.015177584005868994,MiddlePhalanxTW,10
mrsqm,0,0,2.2823005565442145e-05,MiddlePhalanxTW,10
hydra,1,1,0.030755752995901275,MiddlePhalanxTW,73
shapley_sampling,1,1,0.6291843360013445,MiddlePhalanxTW,73
feature_ablation,1,1,0.027291513993986882,MiddlePhalanxTW,73
tshap_centroid,1,1,0.002201429000706412,MiddlePhalanxTW,73
tshap_zero,1,1,0.002060271996015217,MiddlePhalanxTW,73
tshap_train,1,1,0.015170440005022101,MiddlePhalanxTW,73
mrsqm,1,1,2.1921005100011826e-05,MiddlePhalanxTW,73
hydra,1,1,0.03078807300335029,MiddlePhalanxTW,69
shapley_sampling,1,1,0.6484930040023755,MiddlePhalanxTW,69
feature_ablation,1,1,0.028052047004166525,MiddlePhalanxTW,69
tshap_centroid,1,1,0.0024714270039112307,MiddlePhalanxTW,69
tshap_zero,1,1,0.0022010679967934266,MiddlePhalanxTW,69
tshap_train,1,1,0.015497126005357131,MiddlePhalanxTW,69
mrsqm,1,1,2.1150000975467265e-05,MiddlePhalanxTW,69
hydra,1,1,0.030415430999710225,MiddlePhalanxTW,114
shapley_sampling,1,1,0.6592513889991096,MiddlePhalanxTW,114
feature_ablation,1,1,0.029351196004427038,MiddlePhalanxTW,114
tshap_centroid,1,1,0.002423517005809117,MiddlePhalanxTW,114
tshap_zero,1,1,0.0020846780025749467,MiddlePhalanxTW,114
tshap_train,1,1,0.01940852800180437,MiddlePhalanxTW,114
mrsqm,1,1,2.1952000679448247e-05,MiddlePhalanxTW,114
hydra,5,5,0.030826415997580625,MiddlePhalanxTW,12
shapley_sampling,5,5,0.6351337570013129,MiddlePhalanxTW,12
feature_ablation,5,5,0.027444250998087227,MiddlePhalanxTW,12
tshap_centroid,5,5,0.0022158959982334636,MiddlePhalanxTW,12
tshap_zero,5,5,0.0020934050044161268,MiddlePhalanxTW,12
tshap_train,5,5,0.01853635400038911,MiddlePhalanxTW,12
mrsqm,5,5,2.1530999219976366e-05,MiddlePhalanxTW,12
hydra,5,5,0.03044933500495972,MiddlePhalanxTW,61
shapley_sampling,5,5,0.6365938189992448,MiddlePhalanxTW,61
feature_ablation,5,5,0.027431186994363088,MiddlePhalanxTW,61
tshap_centroid,5,5,0.0022183010005392134,MiddlePhalanxTW,61
tshap_zero,5,5,0.0020652820021496154,MiddlePhalanxTW,61
tshap_train,5,5,0.015484782998100854,MiddlePhalanxTW,61
mrsqm,5,5,2.2833002731204033e-05,MiddlePhalanxTW,61
hydra,5,5,0.030430079001234844,MiddlePhalanxTW,94
shapley_sampling,5,5,0.6332384049965185,MiddlePhalanxTW,94
feature_ablation,5,5,0.027411108996602707,MiddlePhalanxTW,94
tshap_centroid,5,5,0.00220905300375307,MiddlePhalanxTW,94
tshap_zero,5,5,0.0020742800043080933,MiddlePhalanxTW,94
tshap_train,5,5,0.015202000002318528,MiddlePhalanxTW,94
mrsqm,5,5,2.5548004487063736e-05,MiddlePhalanxTW,94
hydra,5,5,0.030369474996405188,MiddlePhalanxTW,13
shapley_sampling,5,5,0.6371587739995448,MiddlePhalanxTW,13
feature_ablation,5,5,0.028204775000631344,MiddlePhalanxTW,13
tshap_centroid,5,5,0.0025810850056586787,MiddlePhalanxTW,13
tshap_zero,5,5,0.0022930010018171743,MiddlePhalanxTW,13
tshap_train,5,5,0.018550581000454258,MiddlePhalanxTW,13
mrsqm,5,5,2.2542000806424767e-05,MiddlePhalanxTW,13
hydra,5,5,0.030664810998132452,MiddlePhalanxTW,88
shapley_sampling,5,5,0.635154727002373,MiddlePhalanxTW,88
feature_ablation,5,5,0.027696937999280635,MiddlePhalanxTW,88
tshap_centroid,5,5,0.0023172670044004917,MiddlePhalanxTW,88
tshap_zero,5,5,0.002101741003571078,MiddlePhalanxTW,88
tshap_train,5,5,0.015526220995525364,MiddlePhalanxTW,88
mrsqm,5,5,2.1870997443329543e-05,MiddlePhalanxTW,88
hydra,5,5,0.030462670998531394,MiddlePhalanxTW,97
shapley_sampling,5,5,0.6351441980004893,MiddlePhalanxTW,97
feature_ablation,5,5,0.027647435003018472,MiddlePhalanxTW,97
tshap_centroid,5,5,0.002219232999777887,MiddlePhalanxTW,97
tshap_zero,5,5,0.0020907400030409917,MiddlePhalanxTW,97
tshap_train,5,5,0.018349481004406698,MiddlePhalanxTW,97
mrsqm,5,5,2.284299989696592e-05,MiddlePhalanxTW,97
hydra,5,5,0.030724542993993964,MiddlePhalanxTW,53
shapley_sampling,5,5,0.6413260280023678,MiddlePhalanxTW,53
feature_ablation,5,5,0.027823856995382812,MiddlePhalanxTW,53
tshap_centroid,5,5,0.002200436996645294,MiddlePhalanxTW,53
tshap_zero,5,5,0.0022934020016691647,MiddlePhalanxTW,53
