method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,5,5,0.22695728299731854,ShakeGestureWiimoteZ,23
shapley_sampling,5,5,0.8807421579986112,ShakeGestureWiimoteZ,23
feature_ablation,5,5,0.038287232993752696,ShakeGestureWiimoteZ,23
tshap_centroid,5,5,0.027771342000050936,ShakeGestureWiimoteZ,23
tshap_zero,5,5,0.03058439499727683,ShakeGestureWiimoteZ,23
tshap_train,5,5,0.3031708179987618,ShakeGestureWiimoteZ,23
mrsqm,5,5,2.6500005333218724e-05,ShakeGestureWiimoteZ,23
hydra,7,7,0.21018252600333653,ShakeGestureWiimoteZ,31
shapley_sampling,7,7,0.8771033199955127,ShakeGestureWiimoteZ,31
feature_ablation,7,7,0.03792959800193785,ShakeGestureWiimoteZ,31
tshap_centroid,7,7,0.027610930002992973,ShakeGestureWiimoteZ,31
tshap_zero,7,7,0.03081403800024418,ShakeGestureWiimoteZ,31
tshap_train,7,7,0.30547564199514454,ShakeGestureWiimoteZ,31
mrsqm,7,7,2.4877001123968512e-05,ShakeGestureWiimoteZ,31
hydra,2,2,0.21073421600158326,ShakeGestureWiimoteZ,8
shapley_sampling,2,2,0.8915865970047889,ShakeGestureWiimoteZ,8
feature_ablation,2,2,0.03749201400205493,ShakeGestureWiimoteZ,8
tshap_centroid,2,2,0.028133023995906115,ShakeGestureWiimoteZ,8
tshap_zero,2,2,0.031096288999833632,ShakeGestureWiimoteZ,8
tshap_train,2,2,0.30933297199953813,ShakeGestureWiimoteZ,8
mrsqm,2,2,2.574899554019794e-05,ShakeGestureWiimoteZ,8
hydra,9,9,0.20775886800402077,ShakeGestureWiimoteZ,41
shapley_sampling,9,9,0.8872098280044156,ShakeGestureWiimoteZ,41
feature_ablation,9,9,0.03785896600311389,ShakeGestureWiimoteZ,41
tshap_centroid,9,9,0.027871541999047622,ShakeGestureWiimoteZ,41
tshap_zero,9,9,0.030555440003809053,ShakeGestureWiimoteZ,41
tshap_train,9,9,0.3085093789995881,ShakeGestureWiimoteZ,41
mrsqm,9,9,2.6460002118255943e-05,ShakeGestureWiimoteZ,41
hydra,1,1,0.2090245940053137,ShakeGestureWiimoteZ,48
shapley_sampling,1,1,0.8807537600005162,ShakeGestureWiimoteZ,48
feature_ablation,1,1,0.03737388100125827,ShakeGestureWiimoteZ,48
tshap_centroid,1,1,0.02768607200414408,ShakeGestureWiimoteZ,48
tshap_zero,1,1,0.03054345700365957,ShakeGestureWiimoteZ,48
tshap_train,1,1,0.3078564190000179,ShakeGestureWiimoteZ,48
mrsqm,1,1,2.466700243530795e-05,ShakeGestureWiimoteZ,48
hydra,9,9,0.20790597499581054,ShakeGestureWiimoteZ,43
shapley_sampling,9,9,0.8873955189992557,ShakeGestureWiimoteZ,43
feature_ablation,9,9,0.03720829899975797,ShakeGestureWiimoteZ,43
tshap_centroid,9,9,0.027635736994852778,ShakeGestureWiimoteZ,43
tshap_zero,9,9,0.03100854399963282,ShakeGestureWiimoteZ,43
tshap_train,9,9,0.3075040550029371,ShakeGestureWiimoteZ,43
mrsqm,9,9,2.907399903051555e-05,ShakeGestureWiimoteZ,43
hydra,2,2,0.20896259699657094,ShakeGestureWiimoteZ,6
shapley_sampling,2,2,0.8838856529982877,ShakeGestureWiimoteZ,6
feature_ablation,2,2,0.038089429996034596,ShakeGestureWiimoteZ,6
tshap_centroid,2,2,0.030477893000352196,ShakeGestureWiimoteZ,6
tshap_zero,2,2,0.030641612996987533,ShakeGestureWiimoteZ,6
tshap_train,2,2,0.30786460399394855,ShakeGestureWiimoteZ,6
mrsqm,2,2,2.565800241427496e-05,ShakeGestureWiimoteZ,6
hydra,0,0,0.21042118599871174,ShakeGestureWiimoteZ,3
shapley_sampling,0,0,0.8834444410022115,ShakeGestureWiimoteZ,3
feature_ablation,0,0,0.03867229799652705,ShakeGestureWiimoteZ,3
