method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.16722129100526217,ToeSegmentation1,164
shapley_sampling,1,1,1.026477025996428,ToeSegmentation1,164
feature_ablation,1,1,0.04531449700152734,ToeSegmentation1,164
tshap_centroid,1,1,0.03202617100032512,ToeSegmentation1,164
tshap_zero,1,1,0.02100036000047112,ToeSegmentation1,164
tshap_train,1,1,0.17946013799519278,ToeSegmentation1,164
mrsqm,1,1,3.067699435632676e-05,ToeSegmentation1,164
hydra,1,1,0.1489763940044213,ToeSegmentation1,162
shapley_sampling,1,1,1.0049224399990635,ToeSegmentation1,162
feature_ablation,1,1,0.043270793998090085,ToeSegmentation1,162
tshap_centroid,1,1,0.019754251996346284,ToeSegmentation1,162
tshap_zero,1,1,0.01898062400141498,ToeSegmentation1,162
tshap_train,1,1,0.1663118159995065,ToeSegmentation1,162
mrsqm,1,1,2.8293005016166717e-05,ToeSegmentation1,162
hydra,0,0,0.14817819999734638,ToeSegmentation1,45
shapley_sampling,0,0,1.0169154340037494,ToeSegmentation1,45
feature_ablation,0,0,0.04344668699923204,ToeSegmentation1,45
tshap_centroid,0,0,0.01697170799889136,ToeSegmentation1,45
tshap_zero,0,0,0.019247567004640587,ToeSegmentation1,45
tshap_train,0,0,0.16529232599714305,ToeSegmentation1,45
mrsqm,0,0,2.608900103950873e-05,ToeSegmentation1,45
hydra,1,1,0.14896509199752472,ToeSegmentation1,219
shapley_sampling,1,1,1.008344670997758,ToeSegmentation1,219
feature_ablation,1,1,0.04338634199666558,ToeSegmentation1,219
tshap_centroid,1,1,0.016635323001537472,ToeSegmentation1,219
tshap_zero,1,1,0.018659178000234533,ToeSegmentation1,219
tshap_train,1,1,0.16541713100014022,ToeSegmentation1,219
mrsqm,1,1,2.7080997824668884e-05,ToeSegmentation1,219
hydra,1,1,0.14988268200249877,ToeSegmentation1,192
shapley_sampling,1,1,1.0120838889997685,ToeSegmentation1,192
feature_ablation,1,1,0.04322438699455233,ToeSegmentation1,192
tshap_centroid,1,1,0.016545714999665506,ToeSegmentation1,192
tshap_zero,1,1,0.01859664000221528,ToeSegmentation1,192
tshap_train,1,1,0.16503659300360596,ToeSegmentation1,192
mrsqm,1,1,2.7952999516855925e-05,ToeSegmentation1,192
hydra,1,1,0.14879470199957723,ToeSegmentation1,171
shapley_sampling,1,1,1.0152824159958982,ToeSegmentation1,171
feature_ablation,1,1,0.04356595100398408,ToeSegmentation1,171
tshap_centroid,1,1,0.018592952998005785,ToeSegmentation1,171
tshap_zero,1,1,0.018645541997102555,ToeSegmentation1,171
tshap_train,1,1,0.16879637900274247,ToeSegmentation1,171
mrsqm,1,1,2.836400381056592e-05,ToeSegmentation1,171
