method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,1,1,0.06871767600387102,TwoPatterns,3082
shapley_sampling,1,1,0.6939304469997296,TwoPatterns,3082
feature_ablation,1,1,0.030232008997700177,TwoPatterns,3082
tshap_centroid,1,1,0.0037059250025777146,TwoPatterns,3082
tshap_zero,1,1,0.0035618539986899123,TwoPatterns,3082
tshap_train,1,1,0.026712967999628745,TwoPatterns,3082
mrsqm,1,1,2.768199919955805e-05,TwoPatterns,3082
hydra,2,2,0.0484198300036951,TwoPatterns,2868
shapley_sampling,2,2,0.6922344509948744,TwoPatterns,2868
feature_ablation,2,2,0.029536928996094503,TwoPatterns,2868
tshap_centroid,2,2,0.0034473069972591475,TwoPatterns,2868
tshap_zero,2,2,0.0033460260019637644,TwoPatterns,2868
tshap_train,2,2,0.02670041300007142,TwoPatterns,2868
mrsqm,2,2,2.5508001272100955e-05,TwoPatterns,2868
hydra,2,2,0.048536239002714865,TwoPatterns,801
shapley_sampling,2,2,0.6856953259994043,TwoPatterns,801
feature_ablation,2,2,0.029786731000058353,TwoPatterns,801
tshap_centroid,2,2,0.0033814429989433847,TwoPatterns,801
tshap_zero,2,2,0.0033782169994083233,TwoPatterns,801
tshap_train,2,2,0.026877477997913957,TwoPatterns,801
mrsqm,2,2,2.7982998290099204e-05,TwoPatterns,801
hydra,0,0,0.04891935100022238,TwoPatterns,3894
shapley_sampling,0,0,0.6886991680003121,TwoPatterns,3894
feature_ablation,0,0,0.03031986499991035,TwoPatterns,3894
tshap_centroid,0,0,0.003840487996058073,TwoPatterns,3894
tshap_zero,0,0,0.0033363280017510988,TwoPatterns,3894
tshap_train,0,0,0.026861997997912113,TwoPatterns,3894
mrsqm,0,0,2.6841000362765044e-05,TwoPatterns,3894
hydra,3,3,0.047756590000062715,TwoPatterns,3358
shapley_sampling,3,3,0.6950405399984447,TwoPatterns,3358
feature_ablation,3,3,0.03053291700052796,TwoPatterns,3358
tshap_centroid,3,3,0.0033764740001061,TwoPatterns,3358
tshap_zero,3,3,0.0033799399971030653,TwoPatterns,3358
tshap_train,3,3,0.027103603002615273,TwoPatterns,3358
mrsqm,3,3,2.6130001060664654e-05,TwoPatterns,3358
hydra,1,1,0.04923022699949797,TwoPatterns,3041
shapley_sampling,1,1,0.6969507000030717,TwoPatterns,3041
feature_ablation,1,1,0.029470083994965535,TwoPatterns,3041
tshap_centroid,1,1,0.003404996998142451,TwoPatterns,3041
tshap_zero,1,1,0.0032955819988274015,TwoPatterns,3041
tshap_train,1,1,0.026636333001079038,TwoPatterns,3041
