method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,6,6,0.18298633399535902,UWaveGestureLibraryX,2736
shapley_sampling,6,6,1.0116739759978373,UWaveGestureLibraryX,2736
feature_ablation,6,6,0.043282456004817504,UWaveGestureLibraryX,2736
tshap_centroid,6,6,0.03610940700309584,UWaveGestureLibraryX,2736
tshap_zero,6,6,0.023542361006548163,UWaveGestureLibraryX,2736
tshap_train,6,6,0.22293575900403084,UWaveGestureLibraryX,2736
mrsqm,6,6,2.5938999897334725e-05,UWaveGestureLibraryX,2736
hydra,2,2,0.1689756770065287,UWaveGestureLibraryX,2540
shapley_sampling,2,2,0.9927014670029166,UWaveGestureLibraryX,2540
feature_ablation,2,2,0.042394613003125414,UWaveGestureLibraryX,2540
tshap_centroid,2,2,0.023716679999779444,UWaveGestureLibraryX,2540
tshap_zero,2,2,0.02347306100273272,UWaveGestureLibraryX,2540
tshap_train,2,2,0.21176184900105,UWaveGestureLibraryX,2540
mrsqm,2,2,2.427499566692859e-05,UWaveGestureLibraryX,2540
hydra,6,6,0.1691857629994047,UWaveGestureLibraryX,727
shapley_sampling,6,6,1.0011008270012098,UWaveGestureLibraryX,727
feature_ablation,6,6,0.042829713005630765,UWaveGestureLibraryX,727
tshap_centroid,6,6,0.02094516700162785,UWaveGestureLibraryX,727
tshap_zero,6,6,0.02349535199755337,UWaveGestureLibraryX,727
tshap_train,6,6,0.21545464800146874,UWaveGestureLibraryX,727
mrsqm,6,6,2.45769988396205e-05,UWaveGestureLibraryX,727
hydra,3,3,0.1693497220039717,UWaveGestureLibraryX,3489
shapley_sampling,3,3,1.0044287599957897,UWaveGestureLibraryX,3489
feature_ablation,3,3,0.04266824899968924,UWaveGestureLibraryX,3489
tshap_centroid,3,3,0.020999499000026844,UWaveGestureLibraryX,3489
tshap_zero,3,3,0.023430770997947548,UWaveGestureLibraryX,3489
tshap_train,3,3,0.21815134099597344,UWaveGestureLibraryX,3489
mrsqm,3,3,2.4396002118010074e-05,UWaveGestureLibraryX,3489
hydra,3,3,0.17032683399884263,UWaveGestureLibraryX,3000
shapley_sampling,3,3,1.013516648003133,UWaveGestureLibraryX,3000
feature_ablation,3,3,0.04337632300303085,UWaveGestureLibraryX,3000
tshap_centroid,3,3,0.021533535000344273,UWaveGestureLibraryX,3000
tshap_zero,3,3,0.02355422399705276,UWaveGestureLibraryX,3000
tshap_train,3,3,0.21561856699554482,UWaveGestureLibraryX,3000
mrsqm,3,3,2.7431997295934707e-05,UWaveGestureLibraryX,3000
hydra,7,7,0.17308181699627312,UWaveGestureLibraryX,2700
shapley_sampling,7,7,1.0244914240029175,UWaveGestureLibraryX,2700
feature_ablation,7,7,0.04372521100594895,UWaveGestureLibraryX,2700
tshap_centroid,7,7,0.021262775000650436,UWaveGestureLibraryX,2700
tshap_zero,7,7,0.023563611997815315,UWaveGestureLibraryX,2700
tshap_train,7,7,0.2123890009970637,UWaveGestureLibraryX,2700
mrsqm,7,7,2.3052998585626483e-05,UWaveGestureLibraryX,2700
hydra,4,4,0.17107943200244335,UWaveGestureLibraryX,460
shapley_sampling,4,4,1.0041529110021656,UWaveGestureLibraryX,460
feature_ablation,4,4,0.04287912599829724,UWaveGestureLibraryX,460
tshap_centroid,4,4,0.020904429999063723,UWaveGestureLibraryX,460
tshap_zero,4,4,0.021674962001270615,UWaveGestureLibraryX,460
tshap_train,4,4,0.21165709199703997,UWaveGestureLibraryX,460
mrsqm,4,4,2.371400478295982e-05,UWaveGestureLibraryX,460
hydra,5,5,0.16884548199595883,UWaveGestureLibraryX,317
shapley_sampling,5,5,0.983253420003166,UWaveGestureLibraryX,317
feature_ablation,5,5,0.04181317700567888,UWaveGestureLibraryX,317
tshap_centroid,5,5,0.020378368004458025,UWaveGestureLibraryX,317
tshap_zero,5,5,0.021211448998656124,UWaveGestureLibraryX,317
tshap_train,5,5,0.2092483619999257,UWaveGestureLibraryX,317
mrsqm,5,5,2.5236993678845465e-05,UWaveGestureLibraryX,317
hydra,1,1,0.16958969499683008,UWaveGestureLibraryX,2316
shapley_sampling,1,1,1.004740327000036,UWaveGestureLibraryX,2316
feature_ablation,1,1,0.04279056000086712,UWaveGestureLibraryX,2316
tshap_centroid,1,1,0.02056147400435293,UWaveGestureLibraryX,2316
