method,true_label,pred_label,explain_time_s,dataset,sample_idx
hydra,11,11,0.1668516549980268,WordSynonyms,478
shapley_sampling,11,11,0.8675647659983952,WordSynonyms,478
feature_ablation,11,11,0.037382817004981916,WordSynonyms,478
tshap_centroid,11,11,0.01561569200566737,WordSynonyms,478
tshap_zero,11,11,0.017426785998395644,WordSynonyms,478
tshap_train,11,11,0.15287148499919567,WordSynonyms,478
mrsqm,11,11,2.879399835364893e-05,WordSynonyms,478
hydra,11,11,0.14178744400123833,WordSynonyms,452
shapley_sampling,11,11,0.8722087479982292,WordSynonyms,452
feature_ablation,11,11,0.037763475003885105,WordSynonyms,452
tshap_centroid,11,11,0.015712273998360615,WordSynonyms,452
tshap_zero,11,11,0.01726579100068193,WordSynonyms,452
tshap_train,11,11,0.15196953499980737,WordSynonyms,452
mrsqm,11,11,2.8524002118501812e-05,WordSynonyms,452
hydra,19,19,0.14280883999890648,WordSynonyms,130
shapley_sampling,19,19,0.87013659299555,WordSynonyms,130
feature_ablation,19,19,0.037134399004571605,WordSynonyms,130
tshap_centroid,19,19,0.015599250000377651,WordSynonyms,130
tshap_zero,19,19,0.017410585001925938,WordSynonyms,130
tshap_train,19,19,0.15225955200003227,WordSynonyms,130
mrsqm,19,19,2.9175003874115646e-05,WordSynonyms,130
hydra,11,11,0.14256195400230354,WordSynonyms,611
shapley_sampling,11,11,0.869179138004256,WordSynonyms,611
feature_ablation,11,11,0.0373189870006172,WordSynonyms,611
tshap_centroid,11,11,0.01555163099692436,WordSynonyms,611
tshap_zero,11,11,0.01737229200080037,WordSynonyms,611
tshap_train,11,11,0.1516945260009379,WordSynonyms,611
mrsqm,11,11,2.7041001885663718e-05,WordSynonyms,611
hydra,11,11,0.14369800499844132,WordSynonyms,540
shapley_sampling,11,11,0.8699785850039916,WordSynonyms,540
feature_ablation,11,11,0.03733448599814437,WordSynonyms,540
tshap_centroid,11,11,0.015761476999614388,WordSynonyms,540
tshap_zero,11,11,0.017323751002550125,WordSynonyms,540
tshap_train,11,11,0.15209052299906034,WordSynonyms,540
mrsqm,11,11,2.5167995772790164e-05,WordSynonyms,540
hydra,5,5,0.14167481199547183,WordSynonyms,481
shapley_sampling,5,5,0.8673334499981138,WordSynonyms,481
feature_ablation,5,5,0.03782197500549955,WordSynonyms,481
tshap_centroid,5,5,0.015710961000877433,WordSynonyms,481
tshap_zero,5,5,0.017335673997877166,WordSynonyms,481
tshap_train,5,5,0.1520775080061867,WordSynonyms,481
mrsqm,5,5,2.7221001801081002e-05,WordSynonyms,481
hydra,0,0,0.14166250899870647,WordSynonyms,88
shapley_sampling,0,0,0.870651313001872,WordSynonyms,88
feature_ablation,0,0,0.037099664004927035,WordSynonyms,88
tshap_centroid,0,0,0.015847297996515408,WordSynonyms,88
tshap_zero,0,0,0.01736733299912885,WordSynonyms,88
tshap_train,0,0,0.15400258600129746,WordSynonyms,88
mrsqm,0,0,2.7882997528649867e-05,WordSynonyms,88
hydra,19,19,0.14245462200051406,WordSynonyms,61
shapley_sampling,19,19,0.8711979229992721,WordSynonyms,61
feature_ablation,19,19,0.037505899999814574,WordSynonyms,61
tshap_centroid,19,19,0.015598890000546817,WordSynonyms,61
tshap_zero,19,19,0.017232919999514706,WordSynonyms,61
tshap_train,19,19,0.15340178400219884,WordSynonyms,61
mrsqm,19,19,2.7522000891622156e-05,WordSynonyms,61
hydra,11,11,0.14227313000446884,WordSynonyms,407
