sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,variant,variant_label
0,0.1,top,global_mean,10,10,10,0.6834317503249273,0.39826319932361753,0.2851685510013098,0.41725912442113855,0.0,GestureMidAirD3,predicted,Predicted-class saliency
0,0.1,bottom,global_mean,10,10,10,0.6834317503249273,0.5246294683045513,0.15880228202037605,0.2323597778199479,0.0,GestureMidAirD3,predicted,Predicted-class saliency
0,0.1,random,global_mean,10,10,10,0.6834317503249273,,0.20157856518655942,0.2949501104398671,0.0,GestureMidAirD3,predicted,Predicted-class saliency
4,0.1,top,global_mean,18,18,18,0.13563214782694244,0.12503905613209954,0.010593091694842904,0.07810105320536306,0.0,GestureMidAirD3,predicted,Predicted-class saliency
4,0.1,bottom,global_mean,18,18,18,0.13563214782694244,0.3241264082736426,-0.18849426044670015,-1.0,0.0,GestureMidAirD3,predicted,Predicted-class saliency
4,0.1,random,global_mean,18,18,18,0.13563214782694244,,0.02731403167697437,0.20391179888764305,0.0,GestureMidAirD3,predicted,Predicted-class saliency
7,0.1,top,global_mean,10,10,10,1.1882125274420878,0.6627598293198985,0.5254526981221893,0.4422207675529088,0.0,GestureMidAirD3,predicted,Predicted-class saliency
7,0.1,bottom,global_mean,10,10,10,1.1882125274420878,0.9933458156484579,0.1948667117936299,0.16399974187562638,0.0,GestureMidAirD3,predicted,Predicted-class saliency
7,0.1,random,global_mean,10,10,10,1.1882125274420878,,0.2630852848112452,0.2214124639513227,0.0,GestureMidAirD3,predicted,Predicted-class saliency
8,0.1,top,global_mean,10,10,10,0.5147407284499107,0.32225000219009303,0.19249072625981767,0.3739559387180106,0.0,GestureMidAirD3,predicted,Predicted-class saliency
8,0.1,bottom,global_mean,10,10,10,0.5147407284499107,0.46491153791189654,0.049829190538014156,0.09680425693885242,0.0,GestureMidAirD3,predicted,Predicted-class saliency
8,0.1,random,global_mean,10,10,10,0.5147407284499107,,0.19044839243467232,0.3699882521826764,0.0,GestureMidAirD3,predicted,Predicted-class saliency
9,0.1,top,global_mean,16,16,25,-0.25032999381373366,-0.45506208155976774,0.20473208774603407,0.81784554372189,1.0,GestureMidAirD3,predicted,Predicted-class saliency
9,0.1,bottom,global_mean,16,16,16,-0.25032999381373366,-0.3556753530743815,0.10534535926064781,0.4208242761143401,0.0,GestureMidAirD3,predicted,Predicted-class saliency
9,0.1,random,global_mean,16,16,20,-0.25032999381373366,,0.14055219496399715,0.5614654135419574,0.4,GestureMidAirD3,predicted,Predicted-class saliency
11,0.1,top,global_mean,8,8,4,-0.29589628077093977,-0.5769278393586701,0.2810315585877303,0.9497605312746443,1.0,GestureMidAirD3,predicted,Predicted-class saliency
11,0.1,bottom,global_mean,8,8,8,-0.29589628077093977,-0.18460940877919207,-0.1112868719917477,-0.37609967790781146,0.0,GestureMidAirD3,predicted,Predicted-class saliency
11,0.1,random,global_mean,8,8,8,-0.29589628077093977,,0.07308802502039781,0.24700472011764368,0.0,GestureMidAirD3,predicted,Predicted-class saliency
15,0.1,top,global_mean,12,12,25,-0.3698188476842015,-0.6066894538975752,0.23687060621337375,0.6405026871776864,1.0,GestureMidAirD3,predicted,Predicted-class saliency
15,0.1,bottom,global_mean,12,12,12,-0.3698188476842015,-0.39585291275479095,0.026034065070589474,0.07039661400980464,0.0,GestureMidAirD3,predicted,Predicted-class saliency
15,0.1,random,global_mean,12,12,17,-0.3698188476842015,,0.057745023604469405,0.15614365742148956,0.4,GestureMidAirD3,predicted,Predicted-class saliency
16,0.1,top,global_mean,0,0,6,0.23489756145037177,-0.7904983963633238,1.0253959578136955,1.0,1.0,GestureMidAirD3,predicted,Predicted-class saliency
16,0.1,bottom,global_mean,0,0,0,0.23489756145037177,0.32368572934165496,-0.08878816789128319,-0.37798514960272295,0.0,GestureMidAirD3,predicted,Predicted-class saliency
16,0.1,random,global_mean,0,0,1,0.23489756145037177,,0.17382026038766243,0.24399046878880268,0.2,GestureMidAirD3,predicted,Predicted-class saliency
18,0.1,top,global_mean,4,4,4,-0.4788854981583859,-0.5428805869872351,0.06399508882884919,0.13363310319866983,0.0,GestureMidAirD3,predicted,Predicted-class saliency
18,0.1,bottom,global_mean,4,4,4,-0.4788854981583859,-0.45590807392148913,-0.02297742423689675,-0.04798093979525237,0.0,GestureMidAirD3,predicted,Predicted-class saliency
18,0.1,random,global_mean,4,4,7,-0.4788854981583859,,-0.0011625944014539314,-0.0024277034452314383,0.2,GestureMidAirD3,predicted,Predicted-class saliency
19,0.1,top,global_mean,10,10,10,0.584383879460537,0.2842841250527516,0.30009975440778547,0.5135310049171984,0.0,GestureMidAirD3,predicted,Predicted-class saliency
19,0.1,bottom,global_mean,10,10,10,0.584383879460537,0.4640870546950625,0.12029682476547454,0.20585204886978611,0.0,GestureMidAirD3,predicted,Predicted-class saliency
19,0.1,random,global_mean,10,10,10,0.584383879460537,,0.1758955281014261,0.3009926065571725,0.0,GestureMidAirD3,predicted,Predicted-class saliency
