sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,variant,variant_label
0,0.1,top,global_mean,0,0,0,0.43289304164497633,0.1536542859204456,0.2792387557245307,0.6450510491284126,0.0,SmoothSubspace,predicted,Predicted-class saliency
0,0.1,bottom,global_mean,0,0,0,0.43289304164497633,0.7693037357488475,-0.33641069410387114,-0.7771201766268874,0.0,SmoothSubspace,predicted,Predicted-class saliency
0,0.1,random,global_mean,0,0,0,0.43289304164497633,,0.13644250602183322,0.3151868422659696,0.0,SmoothSubspace,predicted,Predicted-class saliency
1,0.1,top,global_mean,0,0,0,0.8293012307957583,1.0883102149054567,-0.2590089841096983,-0.31232158131440907,0.0,SmoothSubspace,predicted,Predicted-class saliency
1,0.1,bottom,global_mean,0,0,0,0.8293012307957583,0.6095150041712167,0.21978622662454161,0.2650254858396382,0.0,SmoothSubspace,predicted,Predicted-class saliency
1,0.1,random,global_mean,0,0,0,0.8293012307957583,,-0.0018837559132529602,-0.0022714950512618126,0.0,SmoothSubspace,predicted,Predicted-class saliency
2,0.1,top,global_mean,0,0,0,0.8040473082422406,0.6269676057041784,0.17707970253806216,0.22023515343895514,0.0,SmoothSubspace,predicted,Predicted-class saliency
2,0.1,bottom,global_mean,0,0,0,0.8040473082422406,0.6832353339845063,0.12081197425773427,0.15025462154363056,0.0,SmoothSubspace,predicted,Predicted-class saliency
2,0.1,random,global_mean,0,0,0,0.8040473082422406,,0.11885591953390562,0.14782186383022294,0.0,SmoothSubspace,predicted,Predicted-class saliency
3,0.1,top,global_mean,0,0,0,0.8800409493702583,0.6984790174754429,0.1815619318948154,0.2063105423835054,0.0,SmoothSubspace,predicted,Predicted-class saliency
3,0.1,bottom,global_mean,0,0,0,0.8800409493702583,0.8299855311311466,0.05005541823911175,0.05687844570924201,0.0,SmoothSubspace,predicted,Predicted-class saliency
3,0.1,random,global_mean,0,0,0,0.8800409493702583,,0.16937674262732022,0.19246439643987773,0.0,SmoothSubspace,predicted,Predicted-class saliency
4,0.1,top,global_mean,0,0,0,0.5065449867087755,0.16385556087838055,0.3426894258303949,0.6765218456412619,0.0,SmoothSubspace,predicted,Predicted-class saliency
4,0.1,bottom,global_mean,0,0,0,0.5065449867087755,0.4163365450284774,0.09020844168029807,0.1780853941147912,0.0,SmoothSubspace,predicted,Predicted-class saliency
4,0.1,random,global_mean,0,0,0,0.5065449867087755,,0.08324886902454696,0.164346122975817,0.0,SmoothSubspace,predicted,Predicted-class saliency
5,0.1,top,global_mean,0,0,0,0.8992840881564519,1.0099228875304251,-0.11063879937397325,-0.12302972753699772,0.0,SmoothSubspace,predicted,Predicted-class saliency
5,0.1,bottom,global_mean,0,0,0,0.8992840881564519,0.5381800384828854,0.36110404967356646,0.401545688268706,0.0,SmoothSubspace,predicted,Predicted-class saliency
5,0.1,random,global_mean,0,0,0,0.8992840881564519,,-0.09441973937936647,-0.1049942233256957,0.0,SmoothSubspace,predicted,Predicted-class saliency
6,0.1,top,global_mean,0,0,0,0.43607155288988886,0.2708425371540222,0.16522901573586668,0.37890258086843653,0.0,SmoothSubspace,predicted,Predicted-class saliency
6,0.1,bottom,global_mean,0,0,0,0.43607155288988886,0.48149020702262113,-0.04541865413273227,-0.1041538932724362,0.0,SmoothSubspace,predicted,Predicted-class saliency
6,0.1,random,global_mean,0,0,0,0.43607155288988886,,0.12509550774398512,0.2868685655975522,0.0,SmoothSubspace,predicted,Predicted-class saliency
7,0.1,top,global_mean,0,0,0,0.6289236234261133,0.3937762532773401,0.23514737014877318,0.3738880008669251,0.0,SmoothSubspace,predicted,Predicted-class saliency
7,0.1,bottom,global_mean,0,0,0,0.6289236234261133,0.6811559860744492,-0.05223236264833586,-0.08305027455245147,0.0,SmoothSubspace,predicted,Predicted-class saliency
7,0.1,random,global_mean,0,0,0,0.6289236234261133,,0.01421990564564568,0.022609872655616026,0.0,SmoothSubspace,predicted,Predicted-class saliency
8,0.1,top,global_mean,0,0,0,0.7738559647031142,0.6117004740213631,0.16215549068175117,0.209541941312063,0.0,SmoothSubspace,predicted,Predicted-class saliency
8,0.1,bottom,global_mean,0,0,0,0.7738559647031142,0.7545271762120942,0.019328788491020044,0.024977210741309826,0.0,SmoothSubspace,predicted,Predicted-class saliency
8,0.1,random,global_mean,0,0,0,0.7738559647031142,,0.0776824013586386,0.10038341050331052,0.0,SmoothSubspace,predicted,Predicted-class saliency
9,0.1,top,global_mean,0,0,0,1.0605302920239128,0.6442569555933355,0.4162733364305773,0.39251395933463057,0.0,SmoothSubspace,predicted,Predicted-class saliency
9,0.1,bottom,global_mean,0,0,0,1.0605302920239128,0.8681137851686271,0.19241650685528566,0.18143406828484895,0.0,SmoothSubspace,predicted,Predicted-class saliency
9,0.1,random,global_mean,0,0,0,1.0605302920239128,,0.26267810939640607,0.24768539256876848,0.0,SmoothSubspace,predicted,Predicted-class saliency
10,0.1,top,global_mean,0,0,0,0.8556031311723487,0.9800092941853802,-0.12440616301303153,-0.14540154550512774,0.0,SmoothSubspace,predicted,Predicted-class saliency
10,0.1,bottom,global_mean,0,0,0,0.8556031311723487,1.0081064052332798,-0.15250327406093112,-0.178240460166983,0.0,SmoothSubspace,predicted,Predicted-class saliency
10,0.1,random,global_mean,0,0,0,0.8556031311723487,,0.17403974251803817,0.20341152663623646,0.0,SmoothSubspace,predicted,Predicted-class saliency
11,0.1,top,global_mean,0,0,0,0.6310487737526554,0.7004320719742887,-0.06938329822163325,-0.10994901053372144,0.0,SmoothSubspace,predicted,Predicted-class saliency
