sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,variant,variant_label
0,0.1,top,global_mean,5,5,5,0.3565251311278237,0.02807568085181056,0.32844945027601313,0.9212493043273051,0.0,Symbols,predicted,Predicted-class saliency
0,0.1,bottom,global_mean,5,5,5,0.3565251311278237,0.5120536616838485,-0.15552853055602478,-0.4362331873515994,0.0,Symbols,predicted,Predicted-class saliency
0,0.1,random,global_mean,5,5,5,0.3565251311278237,,0.04437889668738084,0.12447585972729133,0.0,Symbols,predicted,Predicted-class saliency
1,0.1,top,global_mean,5,5,5,0.6446798930962383,0.32005515144369046,0.32462474165254784,0.5035432958055539,0.0,Symbols,predicted,Predicted-class saliency
1,0.1,bottom,global_mean,5,5,5,0.6446798930962383,0.6098531052388192,0.034826787857419106,0.05402174661971895,0.0,Symbols,predicted,Predicted-class saliency
1,0.1,random,global_mean,5,5,5,0.6446798930962383,,0.28106195962013397,0.43597066801571377,0.0,Symbols,predicted,Predicted-class saliency
2,0.1,top,global_mean,2,2,2,0.9024870875666132,0.5590027491703734,0.3434843383962398,0.3805970883475922,0.0,Symbols,predicted,Predicted-class saliency
2,0.1,bottom,global_mean,2,2,2,0.9024870875666132,0.6838038885799064,0.21868319898670685,0.24231145208392094,0.0,Symbols,predicted,Predicted-class saliency
2,0.1,random,global_mean,2,2,2,0.9024870875666132,,0.5187640650898027,0.574815415556953,0.0,Symbols,predicted,Predicted-class saliency
3,0.1,top,global_mean,4,4,4,0.36238932693083536,0.15415348493976178,0.2082358419910736,0.5746175505143017,0.0,Symbols,predicted,Predicted-class saliency
3,0.1,bottom,global_mean,4,4,4,0.36238932693083536,0.26082035330769116,0.10156897362314421,0.2802750682761169,0.0,Symbols,predicted,Predicted-class saliency
3,0.1,random,global_mean,4,4,4,0.36238932693083536,,0.08778598911862982,0.24224153514832744,0.0,Symbols,predicted,Predicted-class saliency
4,0.1,top,global_mean,2,2,2,1.007052371203831,0.8057939572274385,0.20125841397639255,0.19984880616189027,0.0,Symbols,predicted,Predicted-class saliency
4,0.1,bottom,global_mean,2,2,2,1.007052371203831,0.33581966874788194,0.6712327024559491,0.6665314090091948,0.0,Symbols,predicted,Predicted-class saliency
4,0.1,random,global_mean,2,2,2,1.007052371203831,,0.42969671362658807,0.4266871309044215,0.0,Symbols,predicted,Predicted-class saliency
5,0.1,top,global_mean,5,5,5,0.610407798833486,0.3677804287404567,0.24262737009302926,0.39748340875278865,0.0,Symbols,predicted,Predicted-class saliency
5,0.1,bottom,global_mean,5,5,5,0.610407798833486,0.5821991330447549,0.028208665788731047,0.046212744381533916,0.0,Symbols,predicted,Predicted-class saliency
5,0.1,random,global_mean,5,5,5,0.610407798833486,,0.11344034714930254,0.1858432371323796,0.0,Symbols,predicted,Predicted-class saliency
6,0.1,top,global_mean,4,4,4,0.21990306009125904,-0.05241708256601596,0.272320142657275,1.0,0.0,Symbols,predicted,Predicted-class saliency
6,0.1,bottom,global_mean,4,4,4,0.21990306009125904,0.14372562879060047,0.07617743130065857,0.3464121183985659,0.0,Symbols,predicted,Predicted-class saliency
6,0.1,random,global_mean,4,4,4,0.21990306009125904,,0.03063366625485251,0.14502098843462335,0.0,Symbols,predicted,Predicted-class saliency
7,0.1,top,global_mean,2,2,2,0.7921108116913084,0.42752483849839773,0.36458597319291064,0.4602708453677148,0.0,Symbols,predicted,Predicted-class saliency
7,0.1,bottom,global_mean,2,2,2,0.7921108116913084,0.4604518232732008,0.3316589884181076,0.4187022381473557,0.0,Symbols,predicted,Predicted-class saliency
7,0.1,random,global_mean,2,2,2,0.7921108116913084,,0.34759376862122837,0.4388190700995228,0.0,Symbols,predicted,Predicted-class saliency
8,0.1,top,global_mean,5,5,5,0.5369864355204936,0.3430022551613674,0.19398418035912623,0.36124528718460674,0.0,Symbols,predicted,Predicted-class saliency
8,0.1,bottom,global_mean,5,5,5,0.5369864355204936,0.4614716049288434,0.0755148305916502,0.14062681097641483,0.0,Symbols,predicted,Predicted-class saliency
8,0.1,random,global_mean,5,5,5,0.5369864355204936,,0.21636944899644664,0.40293205144869554,0.0,Symbols,predicted,Predicted-class saliency
9,0.1,top,global_mean,4,4,4,0.9916351038609708,0.4886584236715392,0.5029766801894315,0.5072190072861141,0.0,Symbols,predicted,Predicted-class saliency
9,0.1,bottom,global_mean,4,4,4,0.9916351038609708,0.9470056213939242,0.044629482467046566,0.04500590720051446,0.0,Symbols,predicted,Predicted-class saliency
9,0.1,random,global_mean,4,4,4,0.9916351038609708,,0.23075568948619277,0.2327019847177177,0.0,Symbols,predicted,Predicted-class saliency
10,0.1,top,global_mean,0,0,0,1.0864018524444188,0.24501515209105562,0.8413867003533632,0.7744702606958677,0.0,Symbols,predicted,Predicted-class saliency
10,0.1,bottom,global_mean,0,0,0,1.0864018524444188,0.5105988818239665,0.5758029706204523,0.5300087065538249,0.0,Symbols,predicted,Predicted-class saliency
10,0.1,random,global_mean,0,0,0,1.0864018524444188,,0.6469006350296143,0.5954518929824977,0.0,Symbols,predicted,Predicted-class saliency
11,0.1,top,global_mean,2,2,2,0.8777539899377381,0.626961485063421,0.25079250487431715,0.2857203977753594,0.0,Symbols,predicted,Predicted-class saliency
11,0.1,bottom,global_mean,2,2,2,0.8777539899377381,0.3696580727584612,0.5080959171792769,0.5788584775978519,0.0,Symbols,predicted,Predicted-class saliency
11,0.1,random,global_mean,2,2,2,0.8777539899377381,,0.5724444401669329,0.6521688247053294,0.0,Symbols,predicted,Predicted-class saliency
12,0.1,top,global_mean,1,1,1,0.7104887433606824,0.5088254396947698,0.20166330366591256,0.2838370371288211,0.0,Symbols,predicted,Predicted-class saliency
12,0.1,bottom,global_mean,1,1,1,0.7104887433606824,0.6869300777843554,0.02355866557632691,0.033158347177388144,0.0,Symbols,predicted,Predicted-class saliency
12,0.1,random,global_mean,1,1,1,0.7104887433606824,,0.06951724743235488,0.0978441252417408,0.0,Symbols,predicted,Predicted-class saliency
13,0.1,top,global_mean,2,2,2,0.9358298622256241,0.5145411281570552,0.4212887340685689,0.45017614942367473,0.0,Symbols,predicted,Predicted-class saliency
13,0.1,bottom,global_mean,2,2,2,0.9358298622256241,0.7200682344512223,0.2157616277744019,0.23055622173142526,0.0,Symbols,predicted,Predicted-class saliency
13,0.1,random,global_mean,2,2,2,0.9358298622256241,,0.33494771957145236,0.357914803936759,0.0,Symbols,predicted,Predicted-class saliency
14,0.1,top,global_mean,1,1,1,0.7710469943948868,0.49042414029040016,0.2806228541044866,0.3639499177022275,0.0,Symbols,predicted,Predicted-class saliency
14,0.1,bottom,global_mean,1,1,1,0.7710469943948868,0.5563843562794211,0.2146626381154657,0.2784037306055526,0.0,Symbols,predicted,Predicted-class saliency
14,0.1,random,global_mean,1,1,1,0.7710469943948868,,0.09508750054121698,0.12332241472963172,0.0,Symbols,predicted,Predicted-class saliency
15,0.1,top,global_mean,3,3,3,1.1059771183452773,0.5551824805280383,0.550794637817239,0.49801585463672393,0.0,Symbols,predicted,Predicted-class saliency
15,0.1,bottom,global_mean,3,3,3,1.1059771183452773,0.8722505737743635,0.2337265445709138,0.21133017072761498,0.0,Symbols,predicted,Predicted-class saliency
15,0.1,random,global_mean,3,3,3,1.1059771183452773,,0.557151058583784,0.5037631842277064,0.0,Symbols,predicted,Predicted-class saliency
16,0.1,top,global_mean,2,2,2,0.8073588854400054,0.4920785792934014,0.3152803061466041,0.39050776714621943,0.0,Symbols,predicted,Predicted-class saliency
16,0.1,bottom,global_mean,2,2,2,0.8073588854400054,0.5386398423092381,0.26871904313076733,0.3328367534439952,0.0,Symbols,predicted,Predicted-class saliency
16,0.1,random,global_mean,2,2,2,0.8073588854400054,,0.3812556247559917,0.47222512739558525,0.0,Symbols,predicted,Predicted-class saliency
18,0.1,top,global_mean,1,1,1,0.8031675487508663,0.4859080514488099,0.3172594973020564,0.3950098616230385,0.0,Symbols,predicted,Predicted-class saliency
18,0.1,bottom,global_mean,1,1,1,0.8031675487508663,0.9394859455569493,-0.13631839680608304,-0.16972576555455665,0.0,Symbols,predicted,Predicted-class saliency
18,0.1,random,global_mean,1,1,1,0.8031675487508663,,0.0591327650684705,0.07362435339436182,0.0,Symbols,predicted,Predicted-class saliency
