sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,blur,7,7,7,0.5887659490068998,0.5738145595127179,0.014951389494181955,0.02539441033400592,0.0,Adiac,HYDRA
0,0.05,bottom,blur,7,7,7,0.5887659490068998,0.5074728658833986,0.08129308312350125,0.13807344868903054,0.0,Adiac,HYDRA
0,0.05,random,blur,7,7,7,0.5887659490068998,,0.016977078869986784,0.028834972646855937,0.0,Adiac,HYDRA
0,0.1,top,blur,7,7,7,0.5887659490068998,0.5522081890574465,0.03655775994945332,0.062092072272597776,0.0,Adiac,HYDRA
0,0.1,bottom,blur,7,7,7,0.5887659490068998,0.5895802367208464,-0.0008142877139465377,-0.0013830391045557737,0.0,Adiac,HYDRA
0,0.1,random,blur,7,7,7,0.5887659490068998,,0.015531187623499764,0.026379177108526435,0.0,Adiac,HYDRA
0,0.2,top,blur,7,7,7,0.5887659490068998,0.5702525001159072,0.0185134488909926,0.031444443208335796,0.0,Adiac,HYDRA
0,0.2,bottom,blur,7,7,7,0.5887659490068998,0.45975712813744296,0.12900882086945686,0.21911695465763142,0.0,Adiac,HYDRA
0,0.2,random,blur,7,7,7,0.5887659490068998,,0.026342806018028363,0.04474233151582639,0.0,Adiac,HYDRA
1,0.05,top,blur,29,29,29,1.0632348499154012,1.0951959299491056,-0.03196108003370446,-0.03006019787260514,0.0,Adiac,HYDRA
1,0.05,bottom,blur,29,29,29,1.0632348499154012,1.0693780347778383,-0.0061431848624371455,-0.0057778195335738,0.0,Adiac,HYDRA
1,0.05,random,blur,29,29,29,1.0632348499154012,,0.0017622023593730773,0.0016573955435318435,0.0,Adiac,HYDRA
1,0.1,top,blur,29,29,29,1.0632348499154012,1.094861338217187,-0.03162648830178583,-0.029745505951762504,0.0,Adiac,HYDRA
1,0.1,bottom,blur,29,29,29,1.0632348499154012,1.0703363989809223,-0.007101549065521073,-0.006679185117851439,0.0,Adiac,HYDRA
1,0.1,random,blur,29,29,29,1.0632348499154012,,0.014324919950081649,0.013472946713771406,0.0,Adiac,HYDRA
1,0.2,top,blur,29,29,29,1.0632348499154012,1.1136530760297423,-0.0504182261143411,-0.047419606965239884,0.0,Adiac,HYDRA
1,0.2,bottom,blur,29,29,29,1.0632348499154012,1.058440738968021,0.004794110947380137,0.004508981659865581,0.0,Adiac,HYDRA
1,0.2,random,blur,29,29,29,1.0632348499154012,,0.03862381112000133,0.03632666366834275,0.0,Adiac,HYDRA
4,0.05,top,blur,7,7,7,-0.051166936126744056,-0.05792023675840574,0.006753300631661685,0.13198305702488403,0.0,Adiac,HYDRA
4,0.05,bottom,blur,7,7,7,-0.051166936126744056,-0.06722590385711957,0.016058967730375517,0.3138482601799126,0.0,Adiac,HYDRA
4,0.05,random,blur,7,7,7,-0.051166936126744056,,-0.003238618845003849,-0.06329391197217181,0.0,Adiac,HYDRA
4,0.1,top,blur,7,7,7,-0.051166936126744056,-0.03967446425477872,-0.011492471871965337,-0.2246029983210236,0.0,Adiac,HYDRA
4,0.1,bottom,blur,7,7,7,-0.051166936126744056,-0.07216894350551462,0.02100200737877056,0.4104525014796013,0.0,Adiac,HYDRA
4,0.1,random,blur,7,7,7,-0.051166936126744056,,0.012044180664150982,0.23538531306631744,0.0,Adiac,HYDRA
4,0.2,top,blur,7,7,7,-0.051166936126744056,-0.04524236012516891,-0.005924576001575144,-0.11578688628167147,0.0,Adiac,HYDRA
4,0.2,bottom,blur,7,7,7,-0.051166936126744056,0.015609963578588348,-0.0667768997053324,-1.0,0.0,Adiac,HYDRA
4,0.2,random,blur,7,7,7,-0.051166936126744056,,0.033747214118658705,0.3875217455068632,0.0,Adiac,HYDRA
6,0.05,top,blur,16,16,16,0.7014880055264321,0.7217465157782916,-0.02025851025185954,-0.02887929831010901,0.0,Adiac,HYDRA
6,0.05,bottom,blur,16,16,16,0.7014880055264321,0.7327832494069213,-0.03129524388048921,-0.044612593545929786,0.0,Adiac,HYDRA
6,0.05,random,blur,16,16,16,0.7014880055264321,,0.017566335190235628,0.025041497517203394,0.0,Adiac,HYDRA
6,0.1,top,blur,16,16,16,0.7014880055264321,0.7324348169428956,-0.030946811416463493,-0.04411588944753236,0.0,Adiac,HYDRA
6,0.1,bottom,blur,16,16,16,0.7014880055264321,0.7810780374578603,-0.07959003193142822,-0.11345870185335252,0.0,Adiac,HYDRA
6,0.1,random,blur,16,16,16,0.7014880055264321,,0.05117497881303836,0.07295193283126958,0.0,Adiac,HYDRA
6,0.2,top,blur,16,16,16,0.7014880055264321,0.8038764308165758,-0.10238842529014369,-0.14595870282144527,0.0,Adiac,HYDRA
6,0.2,bottom,blur,16,16,16,0.7014880055264321,0.7349118190473412,-0.03342381352090906,-0.04764695277843475,0.0,Adiac,HYDRA
6,0.2,random,blur,16,16,16,0.7014880055264321,,0.08653973271539424,0.12336577199873651,0.0,Adiac,HYDRA
7,0.05,top,blur,11,11,11,0.7396727660015499,0.5378164353625299,0.20185633063901998,0.2728991346147012,0.0,Adiac,HYDRA
7,0.05,bottom,blur,11,11,11,0.7396727660015499,0.7174777529719591,0.022195013029590704,0.030006489414340264,0.0,Adiac,HYDRA
7,0.05,random,blur,11,11,11,0.7396727660015499,,0.0006996521659652366,0.0009458929032285984,0.0,Adiac,HYDRA
7,0.1,top,blur,11,11,11,0.7396727660015499,0.555012729525757,0.18466003647579288,0.24965065000751419,0.0,Adiac,HYDRA
7,0.1,bottom,blur,11,11,11,0.7396727660015499,0.7170642053966851,0.022608560604864714,0.030565583969646072,0.0,Adiac,HYDRA
7,0.1,random,blur,11,11,11,0.7396727660015499,,0.014350990508701455,0.019401783824615715,0.0,Adiac,HYDRA
7,0.2,top,blur,11,11,11,0.7396727660015499,0.5686374393798683,0.17103532662168153,0.2312307594011968,0.0,Adiac,HYDRA
7,0.2,bottom,blur,11,11,11,0.7396727660015499,0.6706056468915327,0.06906711911001717,0.09337510979113521,0.0,Adiac,HYDRA
7,0.2,random,blur,11,11,11,0.7396727660015499,,0.02250551270416077,0.030426268631668096,0.0,Adiac,HYDRA
8,0.05,top,blur,23,23,23,0.042771510031522686,-0.07328498151983154,0.11605649155135422,1.0,0.0,Adiac,HYDRA
8,0.05,bottom,blur,23,23,23,0.042771510031522686,0.01669692624553376,0.026074583785988925,0.6096107936329281,0.0,Adiac,HYDRA
8,0.05,random,blur,23,23,23,0.042771510031522686,,0.07795003362429072,0.7262404258968643,0.0,Adiac,HYDRA
8,0.1,top,blur,23,23,23,0.042771510031522686,-0.1091182063342655,0.15188971636578819,1.0,0.0,Adiac,HYDRA
8,0.1,bottom,blur,23,23,23,0.042771510031522686,-0.042731326611116116,0.0855028366426388,1.0,0.0,Adiac,HYDRA
8,0.1,random,blur,23,23,23,0.042771510031522686,,0.06425334637328665,0.3812615704229927,0.0,Adiac,HYDRA
8,0.2,top,blur,23,23,23,0.042771510031522686,-0.11310832701104667,0.15587983704256936,1.0,0.0,Adiac,HYDRA
8,0.2,bottom,blur,23,23,23,0.042771510031522686,-0.01263632360626643,0.05540783363778912,1.0,0.0,Adiac,HYDRA
8,0.2,random,blur,23,23,23,0.042771510031522686,,0.03683688240601295,0.6500415192675177,0.0,Adiac,HYDRA
9,0.05,top,blur,5,5,5,0.6358946950430159,0.5930538063883347,0.042840888654681164,0.06737093675682636,0.0,Adiac,HYDRA
9,0.05,bottom,blur,5,5,5,0.6358946950430159,0.6414604683746042,-0.005565773331588364,-0.008752651378166448,0.0,Adiac,HYDRA
9,0.05,random,blur,5,5,5,0.6358946950430159,,-0.016858518339466055,-0.0265114522253931,0.0,Adiac,HYDRA
9,0.1,top,blur,5,5,5,0.6358946950430159,0.5687778570038889,0.06711683803912694,0.10554692941361514,0.0,Adiac,HYDRA
9,0.1,bottom,blur,5,5,5,0.6358946950430159,0.6374936503071665,-0.0015989552641506588,-0.002514492984643489,0.0,Adiac,HYDRA
9,0.1,random,blur,5,5,5,0.6358946950430159,,0.011148858906143344,0.017532527729078533,0.0,Adiac,HYDRA
9,0.2,top,blur,5,5,5,0.6358946950430159,0.6092947571818769,0.02659993786113901,0.04183066195996126,0.0,Adiac,HYDRA
9,0.2,bottom,blur,5,5,5,0.6358946950430159,0.6208383802602896,0.015056314782726288,0.023677334034645076,0.0,Adiac,HYDRA
9,0.2,random,blur,5,5,5,0.6358946950430159,,0.023912212867088466,0.037603986083709684,0.0,Adiac,HYDRA
10,0.05,top,blur,16,16,16,0.5328158870460225,0.5368214824808804,-0.0040055954348579,-0.007517771174756167,0.0,Adiac,HYDRA
10,0.05,bottom,blur,16,16,16,0.5328158870460225,0.5608689240665286,-0.0280530370205061,-0.05265042775958975,0.0,Adiac,HYDRA
10,0.05,random,blur,16,16,16,0.5328158870460225,,0.039367665430105434,0.07388591913511373,0.0,Adiac,HYDRA
10,0.1,top,blur,16,16,16,0.5328158870460225,0.4823364739071816,0.050479413138840856,0.09474064048289194,0.0,Adiac,HYDRA
10,0.1,bottom,blur,16,16,16,0.5328158870460225,0.5467858655850273,-0.013969978539004835,-0.02621909867845117,0.0,Adiac,HYDRA
10,0.1,random,blur,16,16,16,0.5328158870460225,,0.06001278318543042,0.11263303518427478,0.0,Adiac,HYDRA
10,0.2,top,blur,16,16,16,0.5328158870460225,0.5158906436838151,0.016925243362207354,0.03176559109461075,0.0,Adiac,HYDRA
10,0.2,bottom,blur,16,16,16,0.5328158870460225,0.5673785445618478,-0.034562657515825324,-0.06486779671613514,0.0,Adiac,HYDRA
10,0.2,random,blur,16,16,16,0.5328158870460225,,0.14413016352287192,0.2705059975143441,0.0,Adiac,HYDRA
11,0.05,top,blur,5,5,5,0.8034143031537649,0.819110463297403,-0.01569616014363806,-0.0195367950822241,0.0,Adiac,HYDRA
11,0.05,bottom,blur,5,5,5,0.8034143031537649,0.8144044252064709,-0.010990122052705997,-0.013679254066439666,0.0,Adiac,HYDRA
11,0.05,random,blur,5,5,5,0.8034143031537649,,-0.0009448674372786847,-0.001176063529745646,0.0,Adiac,HYDRA
11,0.1,top,blur,5,5,5,0.8034143031537649,0.8218902825021613,-0.0184759793483964,-0.02299679789004504,0.0,Adiac,HYDRA
11,0.1,bottom,blur,5,5,5,0.8034143031537649,0.779557730103528,0.023856573050236918,0.029693949015645062,0.0,Adiac,HYDRA
11,0.1,random,blur,5,5,5,0.8034143031537649,,-0.013255203089107681,-0.01649856934150379,0.0,Adiac,HYDRA
11,0.2,top,blur,5,5,5,0.8034143031537649,0.8188375880159319,-0.01542328486216693,-0.019197150964916438,0.0,Adiac,HYDRA
11,0.2,bottom,blur,5,5,5,0.8034143031537649,0.8533911254663448,-0.04997682231257983,-0.06220546474083629,0.0,Adiac,HYDRA
11,0.2,random,blur,5,5,5,0.8034143031537649,,-0.020241361916190394,-0.025194145340192032,0.0,Adiac,HYDRA
12,0.05,top,blur,17,17,17,-0.05460872105112602,0.004033030742344734,-0.05864175179347075,-1.0,0.0,Adiac,HYDRA
12,0.05,bottom,blur,17,17,17,-0.05460872105112602,-0.023227753701852816,-0.0313809673492732,-0.5746406820114337,0.0,Adiac,HYDRA
12,0.05,random,blur,17,17,17,-0.05460872105112602,,-0.016711739098937594,-0.2501870195028818,0.0,Adiac,HYDRA
12,0.1,top,blur,17,17,17,-0.05460872105112602,0.040770489344053584,-0.0953792103951796,-1.0,0.0,Adiac,HYDRA
12,0.1,bottom,blur,17,17,17,-0.05460872105112602,-0.04166766374354447,-0.01294105730758155,-0.23697351054890092,0.0,Adiac,HYDRA
12,0.1,random,blur,17,17,17,-0.05460872105112602,,-0.08743246021622338,-0.6279543142686743,0.0,Adiac,HYDRA
12,0.2,top,blur,17,17,17,-0.05460872105112602,0.09808447735742487,-0.1526931984085509,-1.0,0.0,Adiac,HYDRA
12,0.2,bottom,blur,17,17,17,-0.05460872105112602,0.07369419831073187,-0.1283029193618579,-1.0,0.0,Adiac,HYDRA
12,0.2,random,blur,17,17,17,-0.05460872105112602,,-0.22704717885760214,-1.0,0.0,Adiac,HYDRA
13,0.05,top,blur,9,9,9,-0.2327268398167145,-0.2694161009222593,0.036689261105544824,0.15764878466813237,0.0,Adiac,HYDRA
13,0.05,bottom,blur,9,9,9,-0.2327268398167145,-0.27262269869430633,0.03989585887759184,0.17142710089610225,0.0,Adiac,HYDRA
13,0.05,random,blur,9,9,9,-0.2327268398167145,,0.0016121781920791945,0.006927311289224666,0.0,Adiac,HYDRA
13,0.1,top,blur,9,9,9,-0.2327268398167145,-0.2803210736985392,0.04759423388182471,0.20450597538871024,0.0,Adiac,HYDRA
13,0.1,bottom,blur,9,9,9,-0.2327268398167145,-0.2857689605465561,0.0530421207298416,0.22791480714819112,0.0,Adiac,HYDRA
13,0.1,random,blur,9,9,9,-0.2327268398167145,,0.029690738968223652,0.12757708313541982,0.0,Adiac,HYDRA
13,0.2,top,blur,9,9,9,-0.2327268398167145,-0.28954826977004156,0.05682142995332706,0.24415398689764384,0.0,Adiac,HYDRA
13,0.2,bottom,blur,9,9,9,-0.2327268398167145,-0.31182239085752295,0.07909555104080845,0.3398628677303944,0.0,Adiac,HYDRA
13,0.2,random,blur,9,9,9,-0.2327268398167145,,0.04542262663881604,0.19517487325362007,0.0,Adiac,HYDRA
