sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,blur,1,1,1,0.8565926757202665,0.7972631516263559,0.05932952409391068,0.06926215517996145,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
0,0.05,bottom,blur,1,1,1,0.8565926757202665,0.9121326970832689,-0.0555400213630024,-0.06483823420281686,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
0,0.05,random,blur,1,1,1,0.8565926757202665,,0.08814034862196785,0.10289633360630997,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
0,0.1,top,blur,1,1,1,0.8565926757202665,0.6519843358460177,0.20460833987424887,0.2388627720163869,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
0,0.1,bottom,blur,1,1,1,0.8565926757202665,0.8175903540121575,0.03900232170810902,0.045531881466803883,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
0,0.1,random,blur,1,1,1,0.8565926757202665,,0.05825070679986695,0.06800272807394574,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
0,0.2,top,blur,1,1,1,0.8565926757202665,0.6529367272581247,0.20365594846214186,0.23775093633617805,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
0,0.2,bottom,blur,1,1,1,0.8565926757202665,0.5084366922478788,0.34815598347238774,0.40644239309803554,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
0,0.2,random,blur,1,1,1,0.8565926757202665,,0.14818284513117896,0.17299082322383416,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
2,0.05,top,blur,2,2,2,0.15888819313002073,-0.13047727303772755,0.2893654661677483,1.0,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
2,0.05,bottom,blur,2,2,2,0.15888819313002073,0.1386908770435012,0.020197316086519534,0.12711573196794987,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
2,0.05,random,blur,2,2,2,0.15888819313002073,,0.010331476945016228,0.06502315696550784,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
2,0.1,top,blur,2,2,2,0.15888819313002073,0.1058434661934623,0.05304472693655843,0.3338472925163095,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
2,0.1,bottom,blur,2,2,2,0.15888819313002073,0.20158930747889076,-0.04270111434887003,-0.26874775752638663,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
2,0.1,random,blur,2,2,2,0.15888819313002073,,0.006015775509105414,0.037861451685909465,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
2,0.2,top,blur,2,2,2,0.15888819313002073,-0.004497235652492715,0.16338542878251344,1.0,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
2,0.2,bottom,blur,2,2,2,0.15888819313002073,0.1294524006113868,0.02943579251863393,0.1852598778983433,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
2,0.2,random,blur,2,2,2,0.15888819313002073,,0.19809651771885767,0.3552776166849769,0.4,DistalPhalanxOutlineAgeGroup,HYDRA
3,0.05,top,blur,1,1,1,0.2235461731172994,0.15459452288123543,0.06895165023606398,0.3084434004445395,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
3,0.05,bottom,blur,1,1,1,0.2235461731172994,0.1244353946448129,0.0991107784724865,0.44335509633343123,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
3,0.05,random,blur,1,1,1,0.2235461731172994,,-0.02774403821791065,-0.12410820423729016,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
3,0.1,top,blur,1,1,1,0.2235461731172994,0.07268805876928264,0.15085811434801677,0.6748379424545828,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
3,0.1,bottom,blur,1,1,1,0.2235461731172994,0.10773564364716137,0.11581052947013804,0.518058572851512,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
3,0.1,random,blur,1,1,1,0.2235461731172994,,-0.08856703803078239,-0.12733699681310343,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
3,0.2,top,blur,1,1,1,0.2235461731172994,0.3218542881658998,-0.09830811504860038,-0.4397645189501737,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
3,0.2,bottom,blur,1,1,2,0.2235461731172994,-0.21010557433339253,0.4336517474506919,1.0,1.0,DistalPhalanxOutlineAgeGroup,HYDRA
3,0.2,random,blur,1,1,1,0.2235461731172994,,-0.13650178153031103,-0.43920048430644754,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
5,0.05,top,blur,2,2,2,0.38761058635249757,0.10216772728253631,0.28544285906996125,0.7364146715944061,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
5,0.05,bottom,blur,2,2,2,0.38761058635249757,0.42898759571112294,-0.04137700935862537,-0.10674863914154707,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
5,0.05,random,blur,2,2,2,0.38761058635249757,,0.07313190180103593,0.18867315729444964,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
5,0.1,top,blur,2,2,1,0.38761058635249757,-0.078624618539123,0.46623520489162057,1.0,1.0,DistalPhalanxOutlineAgeGroup,HYDRA
5,0.1,bottom,blur,2,2,2,0.38761058635249757,0.30897911189284416,0.0786314744596534,0.20286151711715145,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
5,0.1,random,blur,2,2,2,0.38761058635249757,,-0.012162955014119615,-0.031379234889688024,0.0,DistalPhalanxOutlineAgeGroup,HYDRA
