sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,blur,0,0,0,0.2459842696787192,0.23984406098130515,0.006140208697414051,0.024961692647018106,0.0,Ham,HYDRA
0,0.05,bottom,blur,0,0,0,0.2459842696787192,0.2230268050792341,0.02295746459948511,0.09332861528444286,0.0,Ham,HYDRA
0,0.05,random,blur,0,0,0,0.2459842696787192,,-0.02907791637899084,-0.1182099904476778,0.0,Ham,HYDRA
0,0.1,top,blur,0,0,0,0.2459842696787192,0.2608585253003489,-0.014874255621629723,-0.06046807453575149,0.0,Ham,HYDRA
0,0.1,bottom,blur,0,0,0,0.2459842696787192,0.3556612988712309,-0.10967702919251168,-0.44586828038833626,0.0,Ham,HYDRA
0,0.1,random,blur,0,0,0,0.2459842696787192,,-0.04383712070850581,-0.17821034879755757,0.0,Ham,HYDRA
0,0.2,top,blur,0,0,0,0.2459842696787192,0.3486524464324019,-0.1026681767536827,-0.41737530417076346,0.0,Ham,HYDRA
0,0.2,bottom,blur,0,0,0,0.2459842696787192,0.3466429556395376,-0.10065868596081842,-0.409206153247666,0.0,Ham,HYDRA
0,0.2,random,blur,0,0,0,0.2459842696787192,,-0.026977287631563745,-0.10967033784908634,0.0,Ham,HYDRA
4,0.05,top,blur,0,0,1,0.027739938319773796,-0.006109146534124726,0.03384908485389852,1.0,1.0,Ham,HYDRA
4,0.05,bottom,blur,0,0,0,0.027739938319773796,0.0331654168629677,-0.005425478543193904,-0.1955766052558724,0.0,Ham,HYDRA
4,0.05,random,blur,0,0,0,0.027739938319773796,,0.01134650677659307,0.32380146290603423,0.2,Ham,HYDRA
4,0.1,top,blur,0,0,1,0.027739938319773796,-0.045191607880908785,0.07293154620068258,1.0,1.0,Ham,HYDRA
4,0.1,bottom,blur,0,0,0,0.027739938319773796,0.12044114159099209,-0.0927012032712183,-1.0,0.0,Ham,HYDRA
4,0.1,random,blur,0,0,0,0.027739938319773796,,-0.014067661556937963,-0.07116731589385852,0.2,Ham,HYDRA
4,0.2,top,blur,0,0,0,0.027739938319773796,0.04375828182152684,-0.016018343501753046,-0.5774261604675116,0.0,Ham,HYDRA
4,0.2,bottom,blur,0,0,0,0.027739938319773796,0.1422509034885209,-0.1145109651687471,-1.0,0.0,Ham,HYDRA
4,0.2,random,blur,0,0,0,0.027739938319773796,,-0.0199910871179706,-0.3198583722796473,0.2,Ham,HYDRA
7,0.05,top,blur,0,0,0,0.4140691514208771,0.3890208569790645,0.025048294441812557,0.06049287628161464,0.0,Ham,HYDRA
