sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,blur,2,2,2,0.1816143535024205,0.1963871865247241,-0.014772833022303589,-0.08134132240150446,0.0,Lightning7,HYDRA
0,0.05,bottom,blur,2,2,2,0.1816143535024205,0.15444334805688797,0.027171005445532526,0.14960742537205368,0.0,Lightning7,HYDRA
0,0.05,random,blur,2,2,2,0.1816143535024205,,0.006844728847453752,0.037688051783367135,0.0,Lightning7,HYDRA
0,0.1,top,blur,2,2,2,0.1816143535024205,0.2338152279272906,-0.05220087442487009,-0.28742544844466783,0.0,Lightning7,HYDRA
0,0.1,bottom,blur,2,2,2,0.1816143535024205,0.10313297384160991,0.07848137966081059,0.4321296528476852,0.0,Lightning7,HYDRA
0,0.1,random,blur,2,2,2,0.1816143535024205,,-0.009535415824226724,-0.052503357454851074,0.0,Lightning7,HYDRA
0,0.2,top,blur,2,2,2,0.1816143535024205,0.36305506574455737,-0.18144071224213687,-0.9990384003504346,0.0,Lightning7,HYDRA
0,0.2,bottom,blur,2,2,2,0.1816143535024205,0.019666980902202758,0.16194737260021774,0.8917052962598747,0.0,Lightning7,HYDRA
0,0.2,random,blur,2,2,2,0.1816143535024205,,-0.06878287322542782,-0.37872829526227864,0.0,Lightning7,HYDRA
1,0.05,top,blur,5,5,5,0.01669496848456059,0.01669495843053609,1.0054024501826575e-08,6.021827671227291e-07,0.0,Lightning7,HYDRA
1,0.05,bottom,blur,5,5,5,0.01669496848456059,0.09951853482215561,-0.08282356633759502,-1.0,0.0,Lightning7,HYDRA
1,0.05,random,blur,5,5,5,0.01669496848456059,,-0.05071333505002178,-0.3999999137698443,0.0,Lightning7,HYDRA
1,0.1,top,blur,5,5,5,0.01669496848456059,0.016694955862590677,1.2621969913695352e-08,7.559890835543548e-07,0.0,Lightning7,HYDRA
1,0.1,bottom,blur,5,5,5,0.01669496848456059,0.15397108780176844,-0.13727611931720785,-1.0,0.0,Lightning7,HYDRA
1,0.1,random,blur,5,5,5,0.01669496848456059,,-0.09375122687053448,-0.6766610702380902,0.0,Lightning7,HYDRA
1,0.2,top,blur,5,5,5,0.01669496848456059,0.0979795741481782,-0.08128460566361762,-1.0,0.0,Lightning7,HYDRA
1,0.2,bottom,blur,5,5,5,0.01669496848456059,0.24642943437867776,-0.22973446589411717,-1.0,0.0,Lightning7,HYDRA
1,0.2,random,blur,5,5,5,0.01669496848456059,,-0.21389576823575754,-1.0,0.0,Lightning7,HYDRA
2,0.05,top,blur,0,0,0,-0.07269552027723414,-0.12300792872925526,0.05031240845202112,0.6920882630991225,0.0,Lightning7,HYDRA
2,0.05,bottom,blur,0,0,0,-0.07269552027723414,-0.07269550232677957,-1.795045456720601e-08,-2.4692316081637027e-07,0.0,Lightning7,HYDRA
