sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,blur,0,0,0,0.4341813393871671,0.1120514660718337,0.3221298733153334,0.7419230219497371,0.0,SemgHandSubjectCh2,HYDRA
0,0.05,bottom,blur,0,0,0,0.4341813393871671,0.12199414773624262,0.31218719165092446,0.7190232382357273,0.0,SemgHandSubjectCh2,HYDRA
0,0.05,random,blur,0,0,0,0.4341813393871671,,0.23700779761913143,0.5458715754161247,0.0,SemgHandSubjectCh2,HYDRA
0,0.1,top,blur,0,0,0,0.4341813393871671,-0.02790456625579163,0.4620859056429587,1.0,0.0,SemgHandSubjectCh2,HYDRA
0,0.1,bottom,blur,0,0,3,0.4341813393871671,-0.3721471926550227,0.8063285320421898,1.0,1.0,SemgHandSubjectCh2,HYDRA
0,0.1,random,blur,0,0,1,0.4341813393871671,,0.534717312309699,0.9614903661026208,0.2,SemgHandSubjectCh2,HYDRA
0,0.2,top,blur,0,0,3,0.4341813393871671,-0.3154855158900527,0.7496668552772198,1.0,1.0,SemgHandSubjectCh2,HYDRA
0,0.2,bottom,blur,0,0,3,0.4341813393871671,-1.0152414702496408,1.449422809636808,1.0,1.0,SemgHandSubjectCh2,HYDRA
0,0.2,random,blur,0,0,3,0.4341813393871671,,0.7867705235835116,1.0,1.0,SemgHandSubjectCh2,HYDRA
1,0.05,top,blur,0,0,0,0.22111893170032348,-0.10253516288858261,0.3236540945889061,1.0,0.0,SemgHandSubjectCh2,HYDRA
1,0.05,bottom,blur,0,0,0,0.22111893170032348,0.15471430972545863,0.06640462197486485,0.3003104309242499,0.0,SemgHandSubjectCh2,HYDRA
1,0.05,random,blur,0,0,0,0.22111893170032348,,0.2761039984701748,0.9584666911088038,0.0,SemgHandSubjectCh2,HYDRA
1,0.1,top,blur,0,0,1,0.22111893170032348,-0.28392380648509163,0.5050427381854151,1.0,1.0,SemgHandSubjectCh2,HYDRA
1,0.1,bottom,blur,0,0,1,0.22111893170032348,-0.308569901101141,0.5296888328014645,1.0,1.0,SemgHandSubjectCh2,HYDRA
1,0.1,random,blur,0,0,1,0.22111893170032348,,0.4834229462779581,1.0,0.6,SemgHandSubjectCh2,HYDRA
1,0.2,top,blur,0,0,1,0.22111893170032348,-0.6160937661319251,0.8372126978322486,1.0,1.0,SemgHandSubjectCh2,HYDRA
1,0.2,bottom,blur,0,0,1,0.22111893170032348,-1.2754052944447156,1.496524226145039,1.0,1.0,SemgHandSubjectCh2,HYDRA
1,0.2,random,blur,0,0,2,0.22111893170032348,,0.8977728500223904,1.0,1.0,SemgHandSubjectCh2,HYDRA
2,0.05,top,blur,0,0,0,0.7262986897005993,0.3599539632436839,0.3663447264569154,0.504398847544507,0.0,SemgHandSubjectCh2,HYDRA
2,0.05,bottom,blur,0,0,0,0.7262986897005993,0.3989575338338026,0.3273411558667967,0.4506970889685161,0.0,SemgHandSubjectCh2,HYDRA
2,0.05,random,blur,0,0,0,0.7262986897005993,,0.2171845578094446,0.2990288456531959,0.0,SemgHandSubjectCh2,HYDRA
2,0.1,top,blur,0,0,3,0.7262986897005993,0.11768904039570416,0.6086096493048951,0.8379593960115566,1.0,SemgHandSubjectCh2,HYDRA
2,0.1,bottom,blur,0,0,3,0.7262986897005993,0.23673203199067805,0.48956665770992125,0.6740559918340789,1.0,SemgHandSubjectCh2,HYDRA
2,0.1,random,blur,0,0,1,0.7262986897005993,,0.49549491740754636,0.6822182694471519,0.2,SemgHandSubjectCh2,HYDRA
2,0.2,top,blur,0,0,3,0.7262986897005993,0.0019878871954492894,0.72431080250515,0.9972616163497616,1.0,SemgHandSubjectCh2,HYDRA
2,0.2,bottom,blur,0,0,3,0.7262986897005993,-0.6010410647763624,1.3273397544769616,1.0,1.0,SemgHandSubjectCh2,HYDRA
2,0.2,random,blur,0,0,3,0.7262986897005993,,0.7579931895067078,0.9187879428906692,1.0,SemgHandSubjectCh2,HYDRA
4,0.05,top,blur,0,0,3,-0.01455051984066813,-0.1723035369331426,0.15775301709247447,1.0,1.0,SemgHandSubjectCh2,HYDRA
4,0.05,bottom,blur,0,0,3,-0.01455051984066813,-0.3315066723974365,0.31695615255676834,1.0,1.0,SemgHandSubjectCh2,HYDRA
4,0.05,random,blur,0,0,2,-0.01455051984066813,,0.17451464393687713,1.0,0.6,SemgHandSubjectCh2,HYDRA
4,0.1,top,blur,0,0,3,-0.01455051984066813,-0.18515443098862105,0.17060391114795292,1.0,1.0,SemgHandSubjectCh2,HYDRA
4,0.1,bottom,blur,0,0,3,-0.01455051984066813,-0.2163027795836624,0.20175225974299427,1.0,1.0,SemgHandSubjectCh2,HYDRA
4,0.1,random,blur,0,0,2,-0.01455051984066813,,0.30739568009352164,1.0,1.0,SemgHandSubjectCh2,HYDRA
4,0.2,top,blur,0,0,3,-0.01455051984066813,-0.44206531750415123,0.4275147976634831,1.0,1.0,SemgHandSubjectCh2,HYDRA
4,0.2,bottom,blur,0,0,3,-0.01455051984066813,-0.5321553168971846,0.5176047970565165,1.0,1.0,SemgHandSubjectCh2,HYDRA
4,0.2,random,blur,0,0,3,-0.01455051984066813,,0.6988502560756944,1.0,1.0,SemgHandSubjectCh2,HYDRA
5,0.05,top,blur,0,0,0,0.5474324132723741,0.3396319146760354,0.20780049859633876,0.3795904553106774,0.0,SemgHandSubjectCh2,HYDRA
5,0.05,bottom,blur,0,0,0,0.5474324132723741,0.3388632107024244,0.2085692025699497,0.38099465161103824,0.0,SemgHandSubjectCh2,HYDRA
5,0.05,random,blur,0,0,0,0.5474324132723741,,0.1863487845424925,0.3404044766441305,0.0,SemgHandSubjectCh2,HYDRA
5,0.1,top,blur,0,0,2,0.5474324132723741,0.05237433249026202,0.4950580807821121,0.9043256563804175,1.0,SemgHandSubjectCh2,HYDRA
5,0.1,bottom,blur,0,0,2,0.5474324132723741,0.04753592324966438,0.49989649002270975,0.9131640084489827,1.0,SemgHandSubjectCh2,HYDRA
5,0.1,random,blur,0,0,1,0.5474324132723741,,0.38352526906213097,0.7005879797682516,0.6,SemgHandSubjectCh2,HYDRA
5,0.2,top,blur,0,0,2,0.5474324132723741,-0.3779530936603485,0.9253855069327226,1.0,1.0,SemgHandSubjectCh2,HYDRA
5,0.2,bottom,blur,0,0,2,0.5474324132723741,-0.22445988631925984,0.771892299591634,1.0,1.0,SemgHandSubjectCh2,HYDRA
5,0.2,random,blur,0,0,2,0.5474324132723741,,0.7535096912919788,1.0,1.0,SemgHandSubjectCh2,HYDRA
6,0.05,top,blur,0,0,0,0.4585149115422905,0.1883103016795663,0.2702046098627242,0.5893025804793741,0.0,SemgHandSubjectCh2,HYDRA
6,0.05,bottom,blur,0,0,0,0.4585149115422905,0.4802117457345033,-0.0216968341922128,-0.047319697410787946,0.0,SemgHandSubjectCh2,HYDRA
6,0.05,random,blur,0,0,0,0.4585149115422905,,0.22661479692935543,0.49423540432239504,0.0,SemgHandSubjectCh2,HYDRA
6,0.1,top,blur,0,0,0,0.4585149115422905,0.08279421725036407,0.37572069429192645,0.8194278210065398,0.0,SemgHandSubjectCh2,HYDRA
