sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,blur,0,0,0,0.4692638125803562,0.18558204378336754,0.2836817687969887,0.6045238449418396,0.0,SmallKitchenAppliances,HYDRA
0,0.05,bottom,blur,0,0,0,0.4692638125803562,0.46926381705784936,-4.477493154020351e-09,-9.541506275315778e-09,0.0,SmallKitchenAppliances,HYDRA
0,0.05,random,blur,0,0,0,0.4692638125803562,,0.13332321205162415,0.2841108228816839,0.0,SmallKitchenAppliances,HYDRA
0,0.1,top,blur,0,0,1,0.4692638125803562,-0.00797592158886043,0.4772397341692166,1.0,1.0,SmallKitchenAppliances,HYDRA
0,0.1,bottom,blur,0,0,0,0.4692638125803562,0.4692638198818232,-7.301466986575633e-09,-1.5559374559594412e-08,0.0,SmallKitchenAppliances,HYDRA
0,0.1,random,blur,0,0,0,0.4692638125803562,,0.019850504093804466,0.04230128396939052,0.0,SmallKitchenAppliances,HYDRA
0,0.2,top,blur,0,0,1,0.4692638125803562,-0.25033257598267517,0.7195963885630314,1.0,1.0,SmallKitchenAppliances,HYDRA
0,0.2,bottom,blur,0,0,0,0.4692638125803562,0.4692638134090543,-8.2869811013353e-10,-1.7659498174959048e-09,0.0,SmallKitchenAppliances,HYDRA
0,0.2,random,blur,0,0,0,0.4692638125803562,,0.27192498114401153,0.4727792438152588,0.2,SmallKitchenAppliances,HYDRA
1,0.05,top,blur,0,0,1,0.028757739167894952,-0.8069134746985764,0.8356712138664714,1.0,1.0,SmallKitchenAppliances,HYDRA
1,0.05,bottom,blur,0,0,0,0.028757739167894952,0.028757741501498457,-2.3336035048782122e-09,-8.114415208728444e-08,0.0,SmallKitchenAppliances,HYDRA
1,0.05,random,blur,0,0,0,0.028757739167894952,,0.06939987642735082,0.19999990361553605,0.2,SmallKitchenAppliances,HYDRA
1,0.1,top,blur,0,0,1,0.028757739167894952,-0.8069134733661054,0.8356712125340003,1.0,1.0,SmallKitchenAppliances,HYDRA
1,0.1,bottom,blur,0,0,0,0.028757739167894952,0.028757723887116338,1.5280778614679136e-08,5.313438299735322e-07,0.0,SmallKitchenAppliances,HYDRA
1,0.1,random,blur,0,0,0,0.028757739167894952,,0.16713423670361427,0.1999998648682218,0.2,SmallKitchenAppliances,HYDRA
1,0.2,top,blur,0,0,1,0.028757739167894952,-1.0862118471665245,1.1149695863344196,1.0,1.0,SmallKitchenAppliances,HYDRA
