sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,blur,1,1,1,1.054061743415747,1.0541710279487533,-0.00010928453300618202,-0.00010367934327328524,0.0,Wafer,HYDRA
0,0.05,bottom,blur,1,1,1,1.054061743415747,1.0357157808330435,0.0183459625827036,0.017405000506186683,0.0,Wafer,HYDRA
0,0.05,random,blur,1,1,1,1.054061743415747,,0.02182995521120996,0.020710299597981062,0.0,Wafer,HYDRA
0,0.1,top,blur,1,1,1,1.054061743415747,1.063010100877839,-0.008948357462091883,-0.008489397351332473,0.0,Wafer,HYDRA
0,0.1,bottom,blur,1,1,1,1.054061743415747,1.0774088788462017,-0.023347135430454635,-0.02214966383765447,0.0,Wafer,HYDRA
0,0.1,random,blur,1,1,1,1.054061743415747,,-0.008451630099806363,-0.008018147071983969,0.0,Wafer,HYDRA
0,0.2,top,blur,1,1,1,1.054061743415747,1.0530079503942846,0.001053793021462468,0.0009997441120512382,0.0,Wafer,HYDRA
0,0.2,bottom,blur,1,1,1,1.054061743415747,1.088505180882717,-0.034443437466969984,-0.03267683796066463,0.0,Wafer,HYDRA
0,0.2,random,blur,1,1,1,1.054061743415747,,0.020859570484604007,0.019789685780001526,0.0,Wafer,HYDRA
1,0.05,top,blur,1,1,1,0.9697100711749335,0.9154148322952976,0.05429523887963583,0.055991150862957514,0.0,Wafer,HYDRA
1,0.05,bottom,blur,1,1,1,0.9697100711749335,0.9697100671592518,4.015681676072802e-09,4.141111507788884e-09,0.0,Wafer,HYDRA
1,0.05,random,blur,1,1,1,0.9697100711749335,,0.0008790047698205905,0.000906460486993884,0.0,Wafer,HYDRA
1,0.1,top,blur,1,1,1,0.9697100711749335,0.9098621182485878,0.059847952926345704,0.061717303953054775,0.0,Wafer,HYDRA
1,0.1,bottom,blur,1,1,1,0.9697100711749335,0.9697100698321708,1.342762678824272e-09,1.3847038759672374e-09,0.0,Wafer,HYDRA
1,0.1,random,blur,1,1,1,0.9697100711749335,,0.011215444069577796,0.011565758505766879,0.0,Wafer,HYDRA
1,0.2,top,blur,1,1,1,0.9697100711749335,0.9269270867809345,0.04278298439399897,0.0441193110667095,0.0,Wafer,HYDRA
1,0.2,bottom,blur,1,1,1,0.9697100711749335,0.8701566367154537,0.09955343445947973,0.10266298634587882,0.0,Wafer,HYDRA
1,0.2,random,blur,1,1,1,0.9697100711749335,,-0.01763555813907718,-0.018186404861511334,0.0,Wafer,HYDRA
2,0.05,top,blur,1,1,1,0.9574802458679554,0.9569518788198047,0.0005283670481507352,0.0005518301798922142,0.0,Wafer,HYDRA
2,0.05,bottom,blur,1,1,1,0.9574802458679554,0.9148869088590226,0.04259333700893286,0.04448477418512992,0.0,Wafer,HYDRA
2,0.05,random,blur,1,1,1,0.9574802458679554,,0.005238465318473717,0.005471089215669238,0.0,Wafer,HYDRA
2,0.1,top,blur,1,1,1,0.9574802458679554,0.962919024619999,-0.0054387787520435715,-0.005680297943708888,0.0,Wafer,HYDRA
2,0.1,bottom,blur,1,1,1,0.9574802458679554,0.9495464194495611,0.007933826418394352,0.00828614289066555,0.0,Wafer,HYDRA
2,0.1,random,blur,1,1,1,0.9574802458679554,,0.020815282732822536,0.02173962448105551,0.0,Wafer,HYDRA
2,0.2,top,blur,1,1,1,0.9574802458679554,0.9380256712360198,0.019454574631935673,0.020318491579749038,0.0,Wafer,HYDRA
