sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,global_mean,9,9,9,0.39025642992657505,0.17186242763342874,0.21839400229314632,0.5596152322692128,0.0,CricketY,HYDRA
0,0.05,bottom,global_mean,9,9,9,0.39025642992657505,0.45609155817542735,-0.06583512824885229,-0.1686966684048497,0.0,CricketY,HYDRA
0,0.05,random,global_mean,9,9,9,0.39025642992657505,,0.15519798436122548,0.3976810496354296,0.0,CricketY,HYDRA
0,0.1,top,global_mean,9,9,9,0.39025642992657505,0.1531669919435098,0.23708943798306525,0.6075206256231238,0.0,CricketY,HYDRA
0,0.1,bottom,global_mean,9,9,9,0.39025642992657505,0.4960891760483389,-0.10583274612176385,-0.27118701145978374,0.0,CricketY,HYDRA
0,0.1,random,global_mean,9,9,9,0.39025642992657505,,0.11156777074358433,0.2858825026459464,0.0,CricketY,HYDRA
0,0.2,top,global_mean,9,9,9,0.39025642992657505,0.501084440981573,-0.11082801105499795,-0.28398693415228426,0.0,CricketY,HYDRA
0,0.2,bottom,global_mean,9,9,9,0.39025642992657505,0.5759103515214544,-0.18565392159487937,-0.4757216835815508,0.0,CricketY,HYDRA
0,0.2,random,global_mean,9,9,9,0.39025642992657505,,-0.16469855042290976,-0.4220254062911678,0.0,CricketY,HYDRA
1,0.05,top,global_mean,11,11,11,0.31716571900614055,0.17152381910975634,0.1456418998963842,0.45919666588209873,0.0,CricketY,HYDRA
1,0.05,bottom,global_mean,11,11,11,0.31716571900614055,0.31444811133859596,0.002717607667544586,0.00856838849946287,0.0,CricketY,HYDRA
1,0.05,random,global_mean,11,11,11,0.31716571900614055,,0.02163571698666784,0.06821559668827978,0.0,CricketY,HYDRA
1,0.1,top,global_mean,11,11,11,0.31716571900614055,0.48317708732191567,-0.16601136831577512,-0.5234198872945464,0.0,CricketY,HYDRA
1,0.1,bottom,global_mean,11,11,11,0.31716571900614055,0.1586934387539296,0.15847228025221094,0.4996497764607605,0.0,CricketY,HYDRA
1,0.1,random,global_mean,11,11,11,0.31716571900614055,,0.023744183014765108,0.0748634128106783,0.0,CricketY,HYDRA
1,0.2,top,global_mean,11,11,11,0.31716571900614055,0.029614510401701932,0.2875512086044386,0.9066247855559885,0.0,CricketY,HYDRA
1,0.2,bottom,global_mean,11,11,11,0.31716571900614055,0.437276009077487,-0.12011029007134644,-0.37869764661222555,0.0,CricketY,HYDRA
1,0.2,random,global_mean,11,11,11,0.31716571900614055,,-0.0023746466390029085,-0.007487061210091639,0.0,CricketY,HYDRA
2,0.05,top,global_mean,3,3,3,0.033707715441201325,-0.013609613614498639,0.047317329055699964,1.0,0.0,CricketY,HYDRA
2,0.05,bottom,global_mean,3,3,3,0.033707715441201325,-0.039775192659861514,0.07348290810106284,1.0,0.0,CricketY,HYDRA
2,0.05,random,global_mean,3,3,3,0.033707715441201325,,0.08769374545889537,0.5888666701993209,0.0,CricketY,HYDRA
2,0.1,top,global_mean,3,3,3,0.033707715441201325,-0.011988379722098874,0.0456960951633002,1.0,0.0,CricketY,HYDRA
2,0.1,bottom,global_mean,3,3,3,0.033707715441201325,-0.08555725746362108,0.11926497290482241,1.0,0.0,CricketY,HYDRA
2,0.1,random,global_mean,3,3,2,0.033707715441201325,,0.11345886471596482,0.8419298725238595,0.2,CricketY,HYDRA
2,0.2,top,global_mean,3,3,3,0.033707715441201325,-0.1296219185077565,0.16332963394895783,1.0,0.0,CricketY,HYDRA
2,0.2,bottom,global_mean,3,3,3,0.033707715441201325,-0.11170545714562852,0.14541317258682984,1.0,0.0,CricketY,HYDRA
2,0.2,random,global_mean,3,3,2,0.033707715441201325,,0.14965718867395453,1.0,0.2,CricketY,HYDRA
3,0.05,top,global_mean,6,6,6,0.04439575251898509,-0.3440850240811225,0.3884807766001076,1.0,0.0,CricketY,HYDRA
3,0.05,bottom,global_mean,6,6,6,0.04439575251898509,-0.006102418626979689,0.050498171145964776,1.0,0.0,CricketY,HYDRA
3,0.05,random,global_mean,6,6,6,0.04439575251898509,,0.06670785470946687,0.7464015887959825,0.0,CricketY,HYDRA
3,0.1,top,global_mean,6,6,6,0.04439575251898509,-0.33359213612991534,0.3779878886489004,1.0,0.0,CricketY,HYDRA
3,0.1,bottom,global_mean,6,6,6,0.04439575251898509,0.09314935551965076,-0.04875360300066567,-1.0,0.0,CricketY,HYDRA
3,0.1,random,global_mean,6,6,5,0.04439575251898509,,0.24642283657679737,0.7967099100561674,0.2,CricketY,HYDRA
3,0.2,top,global_mean,6,6,6,0.04439575251898509,-0.32064963730017915,0.36504538981916423,1.0,0.0,CricketY,HYDRA
3,0.2,bottom,global_mean,6,6,6,0.04439575251898509,0.07666608064924374,-0.03227032813025865,-0.7268623558999976,0.0,CricketY,HYDRA
3,0.2,random,global_mean,6,6,6,0.04439575251898509,,0.27863591836447277,0.9346510376407633,0.4,CricketY,HYDRA
