sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,global_mean,1,1,1,0.9070100247509508,2.5638722088058685,-1.6568621840549178,-1.0,0.0,HandOutlines,HYDRA
0,0.05,bottom,global_mean,1,1,1,0.9070100247509508,0.6922320901747557,0.2147779345761951,0.23679749056541988,0.0,HandOutlines,HYDRA
0,0.05,random,global_mean,1,1,1,0.9070100247509508,,-0.04480180573585326,0.05727051200006711,0.0,HandOutlines,HYDRA
0,0.1,top,global_mean,1,1,1,0.9070100247509508,3.3042919573285405,-2.39728193257759,-1.0,0.0,HandOutlines,HYDRA
0,0.1,bottom,global_mean,1,1,0,0.9070100247509508,-0.6358316474515958,1.5428416722025466,1.0,1.0,HandOutlines,HYDRA
0,0.1,random,global_mean,1,1,1,0.9070100247509508,,0.4643004396359486,0.27445223109633643,0.4,HandOutlines,HYDRA
0,0.2,top,global_mean,1,1,1,0.9070100247509508,4.673621324543925,-3.766611299792974,-1.0,0.0,HandOutlines,HYDRA
0,0.2,bottom,global_mean,1,1,0,0.9070100247509508,-1.306169121109753,2.2131791458607037,1.0,1.0,HandOutlines,HYDRA
0,0.2,random,global_mean,1,1,1,0.9070100247509508,,-1.2406318191694394,-0.7712023531420688,0.0,HandOutlines,HYDRA
1,0.05,top,global_mean,1,1,1,0.47732953815928936,1.8257207106453845,-1.348391172486095,-1.0,0.0,HandOutlines,HYDRA
1,0.05,bottom,global_mean,1,1,0,0.47732953815928936,-0.7277811799340981,1.2051107180933873,1.0,1.0,HandOutlines,HYDRA
1,0.05,random,global_mean,1,1,1,0.47732953815928936,,0.5813775398761944,0.5339938405468488,0.4,HandOutlines,HYDRA
1,0.1,top,global_mean,1,1,1,0.47732953815928936,2.3470871590552638,-1.8697576208959745,-1.0,0.0,HandOutlines,HYDRA
1,0.1,bottom,global_mean,1,1,0,0.47732953815928936,-1.4971348492679863,1.9744643874272758,1.0,1.0,HandOutlines,HYDRA
1,0.1,random,global_mean,1,1,1,0.47732953815928936,,-0.052605918113935515,-0.03674016107685942,0.4,HandOutlines,HYDRA
1,0.2,top,global_mean,1,1,1,0.47732953815928936,1.335158144068315,-0.8578286059090255,-1.0,0.0,HandOutlines,HYDRA
1,0.2,bottom,global_mean,1,1,0,0.47732953815928936,-2.196820701013141,2.6741502391724303,1.0,1.0,HandOutlines,HYDRA
1,0.2,random,global_mean,1,1,1,0.47732953815928936,,-0.1216483757315476,-0.12382429469911523,0.2,HandOutlines,HYDRA
3,0.05,top,global_mean,1,1,1,0.819145659455986,2.292824654084631,-1.4736789946286448,-1.0,0.0,HandOutlines,HYDRA
3,0.05,bottom,global_mean,1,1,0,0.819145659455986,-0.20030074974563994,1.019446409201626,1.0,1.0,HandOutlines,HYDRA
3,0.05,random,global_mean,1,1,1,0.819145659455986,,0.11988164559989985,0.11423197895980453,0.4,HandOutlines,HYDRA
3,0.1,top,global_mean,1,1,1,0.819145659455986,2.998313768945165,-2.179168109489179,-1.0,0.0,HandOutlines,HYDRA
3,0.1,bottom,global_mean,1,1,0,0.819145659455986,-1.5618844447808264,2.3810301042368125,1.0,1.0,HandOutlines,HYDRA
3,0.1,random,global_mean,1,1,0,0.819145659455986,,1.1583257068647548,0.8090572962944129,0.6,HandOutlines,HYDRA
3,0.2,top,global_mean,1,1,1,0.819145659455986,1.6836198291763347,-0.8644741697203486,-1.0,0.0,HandOutlines,HYDRA
3,0.2,bottom,global_mean,1,1,0,0.819145659455986,-2.1269023263934783,2.9460479858494644,1.0,1.0,HandOutlines,HYDRA
3,0.2,random,global_mean,1,1,0,0.819145659455986,,1.1554159506381247,0.722482768945073,0.6,HandOutlines,HYDRA
4,0.05,top,global_mean,1,1,1,1.020260556722918,2.250387692694758,-1.23012713597184,-1.0,0.0,HandOutlines,HYDRA
4,0.05,bottom,global_mean,1,1,0,1.020260556722918,-0.04781709891922176,1.0680776556421396,1.0,1.0,HandOutlines,HYDRA
4,0.05,random,global_mean,1,1,1,1.020260556722918,,-0.28744541184196154,-0.2630042129070291,0.0,HandOutlines,HYDRA
4,0.1,top,global_mean,1,1,1,1.020260556722918,2.8730569385592206,-1.8527963818363027,-1.0,0.0,HandOutlines,HYDRA
4,0.1,bottom,global_mean,1,1,0,1.020260556722918,-1.5773261269536227,2.597586683676541,1.0,1.0,HandOutlines,HYDRA
4,0.1,random,global_mean,1,1,1,1.020260556722918,,0.3075663595082788,0.29952193956054385,0.4,HandOutlines,HYDRA
4,0.2,top,global_mean,1,1,1,1.020260556722918,1.5698402848767814,-0.5495797281538635,-0.5386655260432576,0.0,HandOutlines,HYDRA
4,0.2,bottom,global_mean,1,1,0,1.020260556722918,-2.138656671395198,3.158917228118116,1.0,1.0,HandOutlines,HYDRA
4,0.2,random,global_mean,1,1,0,1.020260556722918,,1.1047072471825135,0.506994559997223,0.6,HandOutlines,HYDRA
5,0.05,top,global_mean,1,1,1,0.41711224752757736,2.162123192263461,-1.7450109447358835,-1.0,0.0,HandOutlines,HYDRA
5,0.05,bottom,global_mean,1,1,0,0.41711224752757736,-0.2836303324142535,0.7007425799418309,1.0,1.0,HandOutlines,HYDRA
5,0.05,random,global_mean,1,1,1,0.41711224752757736,,-1.1415920705937268,-0.8454008187506517,0.0,HandOutlines,HYDRA
5,0.1,top,global_mean,1,1,1,0.41711224752757736,2.9221028564937663,-2.504990608966189,-1.0,0.0,HandOutlines,HYDRA
5,0.1,bottom,global_mean,1,1,0,0.41711224752757736,-0.991803523883311,1.4089157714108884,1.0,1.0,HandOutlines,HYDRA
5,0.1,random,global_mean,1,1,1,0.41711224752757736,,-0.2677942582803858,-0.0817181120487243,0.4,HandOutlines,HYDRA
5,0.2,top,global_mean,1,1,1,0.41711224752757736,1.9495726082549294,-1.532460360727352,-1.0,0.0,HandOutlines,HYDRA
