sample_idx,fraction,mode,perturbation,true_label,base_pred,masked_pred,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,dataset,model
0,0.05,top,global_mean,2,2,2,0.18161435687463734,0.11309954733672234,0.068514809537915,0.37725229141943295,0.0,Lightning7,HYDRA
0,0.05,bottom,global_mean,2,2,2,0.18161435687463734,0.21910545914794022,-0.03749110227330288,-0.2064313443448599,0.0,Lightning7,HYDRA
0,0.05,random,global_mean,2,2,2,0.18161435687463734,,0.08403708880146823,0.4627201699660016,0.0,Lightning7,HYDRA
0,0.1,top,global_mean,2,2,2,0.18161435687463734,0.011323155853252276,0.17029120102138506,0.9376475863708544,0.0,Lightning7,HYDRA
0,0.1,bottom,global_mean,2,2,2,0.18161435687463734,0.246248314622876,-0.06463395774823866,-0.35588376919498715,0.0,Lightning7,HYDRA
0,0.1,random,global_mean,2,2,2,0.18161435687463734,,0.30080788924873014,0.9989736106059119,0.4,Lightning7,HYDRA
0,0.2,top,global_mean,2,2,0,0.18161435687463734,-0.4386256751046201,0.6202400319792574,1.0,1.0,Lightning7,HYDRA
0,0.2,bottom,global_mean,2,2,2,0.18161435687463734,0.3471304904893935,-0.16551613361475614,-0.9113553857067609,0.0,Lightning7,HYDRA
0,0.2,random,global_mean,2,2,1,0.18161435687463734,,0.584768598278548,0.8257641999244937,0.8,Lightning7,HYDRA
1,0.05,top,global_mean,5,5,5,0.016694947448434028,-0.03580504276079077,0.0524999902092248,1.0,0.0,Lightning7,HYDRA
1,0.05,bottom,global_mean,5,5,5,0.016694947448434028,-0.011036156817355813,0.02773110426578984,1.0,0.0,Lightning7,HYDRA
1,0.05,random,global_mean,5,5,4,0.016694947448434028,,0.1349045969575801,0.6982666085433118,0.2,Lightning7,HYDRA
1,0.1,top,global_mean,5,5,5,0.016694947448434028,0.10461510532604373,-0.0879201578776097,-1.0,0.0,Lightning7,HYDRA
1,0.1,bottom,global_mean,5,5,5,0.016694947448434028,-0.09397516612736495,0.11067011357579898,1.0,0.0,Lightning7,HYDRA
1,0.1,random,global_mean,5,5,3,0.016694947448434028,,0.2711867037267516,1.0,0.6,Lightning7,HYDRA
1,0.2,top,global_mean,5,5,0,0.016694947448434028,-0.4728387138795602,0.48953366132799425,1.0,1.0,Lightning7,HYDRA
1,0.2,bottom,global_mean,5,5,2,0.016694947448434028,-0.7412487322657271,0.7579436797141611,1.0,1.0,Lightning7,HYDRA
1,0.2,random,global_mean,5,5,2,0.016694947448434028,,0.9162111307962695,1.0,1.0,Lightning7,HYDRA
2,0.05,top,global_mean,0,0,0,-0.0726955027100401,-0.27019027071813717,0.19749476800809707,1.0,0.0,Lightning7,HYDRA
