dataset,sample_idx,reference_seed,compared_seed,pearson,spearman,top_window_iou
ArrowHead,4,42,43,0.9442171701474966,0.9371519635742742,0.9230769230769231
ArrowHead,4,42,44,0.9558781152577409,0.9473557199772338,1.0
ArrowHead,4,42,45,0.8493064356994896,0.8348928097135268,0.0
ArrowHead,4,42,46,0.9347843828170914,0.9291390627964333,0.9230769230769231
ArrowHead,5,42,43,0.9482141774988945,0.9469922215898312,0.9230769230769231
ArrowHead,5,42,44,0.9517199716574386,0.9410540694365396,0.8518518518518519
ArrowHead,5,42,45,0.8360531842290777,0.7883862644659457,1.0
ArrowHead,5,42,46,0.9160028094573396,0.8825505596660974,0.7857142857142857
ArrowHead,6,42,43,0.9360968971006317,0.9333044963005123,0.7241379310344828
ArrowHead,6,42,44,0.9389440916756318,0.9351485486624928,1.0
ArrowHead,6,42,45,0.7007808651007418,0.6833223297287042,0.0
ArrowHead,6,42,46,0.8439542245092106,0.820835515082527,1.0
ArrowHead,8,42,43,0.9675270767637442,0.9611656232214001,0.8518518518518519
ArrowHead,8,42,44,0.9616003913923306,0.9556387782204516,0.8518518518518519
ArrowHead,8,42,45,0.8479837399549002,0.8475568203376967,0.9230769230769231
ArrowHead,8,42,46,0.9476366558708522,0.9384078922405615,1.0
ArrowHead,9,42,43,0.9514223828319746,0.9357594384367293,0.9230769230769231
ArrowHead,9,42,44,0.9468133512249517,0.9276736862075506,1.0
ArrowHead,9,42,45,0.8439701340283482,0.8112365774995257,1.0
ArrowHead,9,42,46,0.9086773283445474,0.8847823942325935,1.0
ArrowHead,10,42,43,0.9618661180515852,0.9575025611838361,1.0
ArrowHead,10,42,44,0.9627831378278588,0.9556448491747297,0.8518518518518519
ArrowHead,10,42,45,0.868141921262899,0.8544405236198065,0.9230769230769231
ArrowHead,10,42,46,0.9201156071677756,0.9087004363498387,1.0
ArrowHead,11,42,43,0.952038761828681,0.9454084613925251,0.0
ArrowHead,11,42,44,0.9356948346483761,0.929473724151015,1.0
ArrowHead,11,42,45,0.8739717741753039,0.8818933788654904,0.0
ArrowHead,11,42,46,0.9012203153311302,0.8883065831910454,0.0
ArrowHead,12,42,43,0.9348917433393421,0.9267296528173021,1.0
ArrowHead,12,42,44,0.9405113043744797,0.9358634035287421,1.0
ArrowHead,12,42,45,0.8288025970201732,0.8299730601403909,0.0
ArrowHead,12,42,46,0.8936408088945287,0.8807535571997723,1.0
ArrowHead,14,42,43,0.8999965680466289,0.8673117055587175,0.0
ArrowHead,14,42,44,0.9415916580477677,0.9253910073989754,0.9230769230769231
ArrowHead,14,42,45,0.7586393488630321,0.7261521532915955,0.0
ArrowHead,14,42,46,0.9021434278139413,0.8572976664769493,0.9230769230769231
ArrowHead,18,42,43,0.9577074123088078,0.9496141149686965,1.0
ArrowHead,18,42,44,0.9427427033374534,0.9163976475052171,1.0
ArrowHead,18,42,45,0.8149817214383255,0.7873845570100549,0.0
ArrowHead,18,42,46,0.9221855550310591,0.9040857522291784,1.0
ArrowHead,19,42,43,0.958779311971871,0.952025801555682,0.8518518518518519
