dataset,sample_idx,reference_seed,compared_seed,pearson,spearman,top_window_iou
EOGVerticalSignal,0,42,43,0.8904976940868348,0.8832181937522672,0.968503937007874
EOGVerticalSignal,0,42,44,0.9252596314104063,0.916369434348438,0.6891891891891891
EOGVerticalSignal,0,42,45,0.9207903280742497,0.8969940537561946,0.45348837209302323
EOGVerticalSignal,0,42,46,0.9420548537434351,0.9343128688082363,1.0
EOGVerticalSignal,1,42,43,0.695328414491525,0.6803166005226244,0.0
EOGVerticalSignal,1,42,44,0.6678815706280237,0.6530146684253878,0.0
EOGVerticalSignal,1,42,45,0.6124770964357441,0.5864253332642133,0.0
EOGVerticalSignal,1,42,46,0.7074140784773286,0.6940441730842708,1.0
EOGVerticalSignal,2,42,43,0.745557165034376,0.737219342092379,0.9841269841269841
EOGVerticalSignal,2,42,44,0.7823100947733679,0.7663138610648712,0.9841269841269841
EOGVerticalSignal,2,42,45,0.7404129794893023,0.7173946136285527,0.0
EOGVerticalSignal,2,42,46,0.7642505838244875,0.7454709175493873,0.6025641025641025
EOGVerticalSignal,3,42,43,0.8722620142573678,0.8649852678305715,1.0
EOGVerticalSignal,3,42,44,0.8713644961019882,0.8637918995148158,1.0
EOGVerticalSignal,3,42,45,0.8607194066862082,0.8504380052723235,1.0
EOGVerticalSignal,3,42,46,0.8584450497791882,0.8460274442610626,1.0
EOGVerticalSignal,4,42,43,0.7909288785842438,0.7629840075417648,1.0
EOGVerticalSignal,4,42,44,0.8301279331482079,0.8172917798987392,0.9841269841269841
EOGVerticalSignal,4,42,45,0.7731415843597869,0.7501805116035276,0.8518518518518519
EOGVerticalSignal,4,42,46,0.8034679380442887,0.7897763989608955,0.0
EOGVerticalSignal,5,42,43,0.7802455131889235,0.7549679194674687,0.9841269841269841
EOGVerticalSignal,5,42,44,0.7844093455773649,0.7659458536613464,1.0
EOGVerticalSignal,5,42,45,0.7647840868690445,0.7369955406051462,0.22549019607843138
EOGVerticalSignal,5,42,46,0.7592867706099362,0.736241331461319,0.6891891891891891
EOGVerticalSignal,6,42,43,0.7254404156015006,0.6910250095520062,0.8939393939393939
EOGVerticalSignal,6,42,44,0.763984518537455,0.7334230112147273,1.0
EOGVerticalSignal,6,42,45,0.6982387834527721,0.6680731305428036,0.3888888888888889
EOGVerticalSignal,6,42,46,0.7119493450236937,0.6683117697995327,0.968503937007874
EOGVerticalSignal,7,42,43,0.8082330534585137,0.7967018710411976,1.0
EOGVerticalSignal,7,42,44,0.8106191440435158,0.7963550297312191,1.0
EOGVerticalSignal,7,42,45,0.8110317139929701,0.7689911856875294,1.0
EOGVerticalSignal,7,42,46,0.8131770188038839,0.7631750061920041,1.0
EOGVerticalSignal,8,42,43,0.6818204343459139,0.6624945357340946,1.0
EOGVerticalSignal,8,42,44,0.6697576118190827,0.6524841582618613,0.19617224880382775
EOGVerticalSignal,8,42,45,0.614843037500046,0.5949060984999031,0.1848341232227488
EOGVerticalSignal,8,42,46,0.6334763114063809,0.618616553098594,0.13122171945701358
EOGVerticalSignal,9,42,43,0.8465877486957392,0.8366228437906201,0.7605633802816901
EOGVerticalSignal,9,42,44,0.8703687507516625,0.8590578461810218,0.4880952380952381
EOGVerticalSignal,9,42,45,0.8694313796007629,0.855751935841239,0.5151515151515151
EOGVerticalSignal,9,42,46,0.8823711420035866,0.8662907212100617,0.7605633802816901
EOGVerticalSignal,11,42,43,0.6775373300650912,0.6611797854590628,0.937984496124031
EOGVerticalSignal,11,42,44,0.6792613382631325,0.6564177338993498,0.2562814070351759
EOGVerticalSignal,11,42,45,0.6417127196619281,0.6179298684991159,0.0
EOGVerticalSignal,11,42,46,-0.009145690696145911,-0.01963339496537278,0.45348837209302323
EOGVerticalSignal,12,42,43,0.6572600035915761,0.593280917299787,0.33689839572192515
EOGVerticalSignal,12,42,44,0.7218598537442799,0.655157991909115,0.5822784810126582
EOGVerticalSignal,12,42,45,0.6585302309140519,0.5900415772426095,0.0
EOGVerticalSignal,12,42,46,0.676434334367666,0.6031655259939367,0.6556291390728477
EOGVerticalSignal,13,42,43,-0.0947258123588417,-0.11313961135335128,0.0
EOGVerticalSignal,13,42,44,-0.13557767521149952,-0.1318103115585994,0.0
EOGVerticalSignal,13,42,45,-0.08978639873885681,-0.0964076085808695,0.0
EOGVerticalSignal,13,42,46,-0.1596850012840626,-0.17178867544875231,0.0
EOGVerticalSignal,15,42,43,0.7117137764322125,0.6865593754620003,0.358695652173913
EOGVerticalSignal,15,42,44,0.6891636094720901,0.6535436855959589,0.0
EOGVerticalSignal,15,42,45,0.6317530556589452,0.59578507813445,0.0
EOGVerticalSignal,15,42,46,-0.0070195376389186465,-0.007977150449376288,0.0
EOGVerticalSignal,16,42,43,0.07112877181732179,0.11306577885809849,0.29533678756476683
EOGVerticalSignal,16,42,44,0.711802398652601,0.6583459680934197,0.20192307692307693
EOGVerticalSignal,16,42,45,0.16178213673958902,0.154399276543537,0.937984496124031
EOGVerticalSignal,16,42,46,0.046186506361433746,0.05555017289611067,0.937984496124031
EOGVerticalSignal,17,42,43,0.7432226711459992,0.6899889891769532,0.33689839572192515
EOGVerticalSignal,17,42,44,0.7807952118195357,0.7282879756083045,0.0
EOGVerticalSignal,17,42,45,0.25511652130147316,0.3361487714275383,0.7730496453900709
EOGVerticalSignal,17,42,46,0.30809182522834855,0.36206052074273326,0.8382352941176471
EOGVerticalSignal,31,42,43,0.6353406744445903,0.6062710127814483,0.42857142857142855
EOGVerticalSignal,31,42,44,0.028714441811355806,0.031092711867335598,0.6666666666666666
EOGVerticalSignal,31,42,45,0.6593898140503613,0.6234263620008718,0.9841269841269841
EOGVerticalSignal,31,42,46,0.06223216264999279,0.0527862067111723,0.47058823529411764
EOGVerticalSignal,40,42,43,0.9784700121237947,0.9650309838278298,0.4619883040935672
EOGVerticalSignal,40,42,44,0.9829278390975676,0.965913557704677,0.9841269841269841
EOGVerticalSignal,40,42,45,0.9841515217029287,0.96916509360966,0.4619883040935672
EOGVerticalSignal,40,42,46,0.9818516800176871,0.9655574758127845,0.9841269841269841
EOGVerticalSignal,42,42,43,0.9659443333333699,0.8736337705176132,1.0
EOGVerticalSignal,42,42,44,0.9654729492399761,0.8732046039681889,1.0
EOGVerticalSignal,42,42,45,0.9639388973628159,0.8802421444109725,0.44508670520231214
EOGVerticalSignal,42,42,46,0.9692846970161417,0.8851971176941554,1.0
EOGVerticalSignal,43,42,43,0.9638907766835991,0.8532433758997607,1.0
EOGVerticalSignal,43,42,44,0.9708531889148725,0.8747452331169494,0.9841269841269841
EOGVerticalSignal,43,42,45,0.9652945439158336,0.8640869222956304,0.9841269841269841
EOGVerticalSignal,43,42,46,0.9727335177939955,0.8627175466992301,0.953125
