dataset,sample_idx,reference_seed,compared_seed,pearson,spearman,top_window_iou
Earthquakes,0,42,43,0.8309854048321055,0.8116760779796378,0.8888888888888888
Earthquakes,0,42,44,0.8395637731615042,0.8304827298130333,0.8888888888888888
Earthquakes,0,42,45,0.7763800008632948,0.7591589309959638,0.7586206896551724
Earthquakes,0,42,46,0.8165396009808303,0.8104607642216208,0.10869565217391304
Earthquakes,1,42,43,0.7180596630283986,0.7103345371133313,0.0
Earthquakes,1,42,44,0.7794986262715251,0.7687271653734793,0.0
Earthquakes,1,42,45,0.7793230033179003,0.7576362781954886,0.0
Earthquakes,1,42,46,0.7356343434258608,0.7100659575594237,0.7
Earthquakes,2,42,43,0.8379679251807015,0.8270958324750233,1.0
Earthquakes,2,42,44,0.8151890435376956,0.8111192829390829,0.9245283018867925
Earthquakes,2,42,45,0.8023088880351992,0.7903812577963172,0.0
Earthquakes,2,42,46,0.8047628959227672,0.7925097775832275,0.9615384615384616
Earthquakes,3,42,43,0.8079686949832012,0.7835926502901088,0.7586206896551724
Earthquakes,3,42,44,0.7952339089882754,0.7709960546343027,0.9245283018867925
Earthquakes,3,42,45,0.7965311289251553,0.7889522607889587,0.9245283018867925
Earthquakes,3,42,46,0.8039879113504229,0.7853585340348588,0.9245283018867925
Earthquakes,4,42,43,0.780475900176189,0.7924952935992949,0.0
Earthquakes,4,42,44,0.7845561291805543,0.767834969844703,0.8888888888888888
Earthquakes,4,42,45,0.789368389903763,0.7941985028209794,0.8888888888888888
Earthquakes,4,42,46,0.7551372434156238,0.7478772916881243,0.9615384615384616
Earthquakes,5,42,43,0.7821337363695964,0.7634261166615167,0.0
Earthquakes,5,42,44,0.7899850846759122,0.7814753064167266,0.9615384615384616
Earthquakes,5,42,45,0.765100862433861,0.7450383414300592,0.8888888888888888
Earthquakes,5,42,46,0.7702622388481944,0.7537293576406771,0.9615384615384616
Earthquakes,6,42,43,0.7543857930020115,0.7421318886542841,0.0
Earthquakes,6,42,44,0.7942422511901127,0.7721996558176262,0.0
Earthquakes,6,42,45,0.7817121113647985,0.7522201622778406,0.45714285714285713
Earthquakes,6,42,46,0.7847756478548729,0.78022351469427,0.8888888888888888
Earthquakes,7,42,43,0.8168984698378735,0.7956114065128574,0.0
Earthquakes,7,42,44,0.7485459256798608,0.7497850648310274,0.0
Earthquakes,7,42,45,0.754558621453738,0.735534255158444,0.0
Earthquakes,7,42,46,0.7977226322316149,0.7889797088325836,0.0
Earthquakes,9,42,43,0.8304828444639949,0.8048292999908446,0.8545454545454545
Earthquakes,9,42,44,0.8320842561120887,0.798729128757968,0.0
Earthquakes,9,42,45,0.7937430566731309,0.7553415502225883,0.7288135593220338
Earthquakes,9,42,46,0.8160026576676338,0.785591976516634,0.0
Earthquakes,10,42,43,0.8469686679864554,0.8343619644144608,0.9615384615384616
Earthquakes,10,42,44,0.8013039228672363,0.8004090920795138,0.7586206896551724
Earthquakes,10,42,45,0.7874663704109592,0.784898265212117,0.7586206896551724
Earthquakes,10,42,46,0.8057385472961984,0.7966445079593962,0.0
Earthquakes,11,42,43,0.7934680879066192,0.7930747423639006,0.0
Earthquakes,11,42,44,0.8185518777081193,0.8113761501356129,0.6190476190476191
Earthquakes,11,42,45,0.7781559603808088,0.7621382937938453,0.36
Earthquakes,11,42,46,0.7987924214871653,0.7936305875991349,0.0
Earthquakes,12,42,43,0.8297875256985869,0.8295688386205239,0.0
Earthquakes,12,42,44,0.8439089724603358,0.8358362909270894,1.0
Earthquakes,12,42,45,0.8059309575591147,0.7999871789920004,0.0
Earthquakes,12,42,46,0.8163797934104022,0.8187703133404287,0.9615384615384616
Earthquakes,13,42,43,0.8527225778349423,0.8302146276078324,1.0
Earthquakes,13,42,44,0.8615711284318961,0.8513623170368844,0.59375
Earthquakes,13,42,45,0.8317032032890821,0.8020833333333334,1.0
Earthquakes,13,42,46,0.863440317651439,0.8368353281891944,0.5454545454545454
Earthquakes,14,42,43,0.8504656894541848,0.8327235754912394,0.6451612903225806
Earthquakes,14,42,44,0.8228689778423108,0.7886976287751343,0.6190476190476191
Earthquakes,14,42,45,0.7845647267015705,0.7485710923999497,0.9615384615384616
Earthquakes,14,42,46,0.7895599322091162,0.7592173570341378,0.6190476190476191
Earthquakes,16,42,43,0.7863234838071205,0.7733708021480642,0.0
Earthquakes,16,42,44,0.8056852569702351,0.7791250565054189,0.9615384615384616
Earthquakes,16,42,45,0.7787901817583465,0.74786996028885,0.9615384615384616
Earthquakes,16,42,46,0.8256949978040964,0.805515590488779,0.9615384615384616
Earthquakes,17,42,43,0.8383820539007704,0.8203282276542626,1.0
Earthquakes,17,42,44,0.8421978463499789,0.8329368938603326,0.9615384615384616
Earthquakes,17,42,45,0.8114149317683428,0.7723329519366404,1.0
Earthquakes,17,42,46,0.8460722838958366,0.8179065411954247,0.6451612903225806
Earthquakes,18,42,43,0.8261705159339678,0.8109798969455603,0.1590909090909091
Earthquakes,18,42,44,0.8635211389538857,0.8601640194950847,0.13333333333333333
Earthquakes,18,42,45,0.8233695860660226,0.8041655401345831,0.04081632653061224
Earthquakes,18,42,46,0.8623844798767943,0.8561821756159806,0.12087912087912088
Earthquakes,19,42,43,0.7767338183446892,0.7602881883647474,0.7288135593220338
Earthquakes,19,42,44,0.8234743079070281,0.7950003969684486,0.6190476190476191
Earthquakes,19,42,45,0.8095706915180556,0.7876390462457514,0.6721311475409836
Earthquakes,19,42,46,0.7924017003959108,0.7693107268742633,0.9245283018867925
Earthquakes,21,42,43,0.8220722177554693,0.7901182214955196,0.9245283018867925
Earthquakes,21,42,44,0.8342263240939018,0.8115160725729851,0.0
Earthquakes,21,42,45,0.7814263953659517,0.74433264954624,0.5223880597014925
Earthquakes,21,42,46,0.7909647228850918,0.7539967748995777,0.0
Earthquakes,22,42,43,0.8340342315150352,0.8310526423078244,0.3972602739726027
Earthquakes,22,42,44,0.8365907533374867,0.8187289177567205,0.5223880597014925
Earthquakes,22,42,45,0.8231015369705696,0.8129843193886542,0.0
Earthquakes,22,42,46,0.8257014820540362,0.8011670872386446,0.5223880597014925
