dataset,sample_idx,reference_seed,compared_seed,pearson,spearman,top_window_iou
MoteStrain,0,42,43,0.9843615915014916,0.9731294927609598,1.0
MoteStrain,0,42,44,0.9767389709800268,0.9560595322466338,1.0
MoteStrain,0,42,45,0.9741220121305548,0.9551078262630354,1.0
MoteStrain,0,42,46,0.9681915186085521,0.9500455603928318,1.0
MoteStrain,1,42,43,0.9899275892871484,0.9673585096689278,1.0
MoteStrain,1,42,44,0.9908697246711132,0.9748304140933481,1.0
MoteStrain,1,42,45,0.9782675474556596,0.9370254125746684,1.0
MoteStrain,1,42,46,0.9818983707509251,0.9357902197023388,1.0
MoteStrain,2,42,43,0.9838947601018544,0.9789409739799534,1.0
MoteStrain,2,42,44,0.9811791177224627,0.9735749721575377,1.0
MoteStrain,2,42,45,0.9732064952885547,0.9689176875569504,1.0
MoteStrain,2,42,46,0.9628968563946432,0.9684317100334109,0.7777777777777778
MoteStrain,3,42,43,0.9962653214230444,0.9944922547332187,0.7777777777777778
MoteStrain,3,42,44,0.9952120734169736,0.9938037865748709,0.7777777777777778
MoteStrain,3,42,45,0.993836543016903,0.9906044345449023,0.7777777777777778
MoteStrain,3,42,46,0.9918427995049571,0.9915156424015389,0.7777777777777778
MoteStrain,4,42,43,0.9905348171925984,0.9789207249164726,1.0
MoteStrain,4,42,44,0.9910032687607367,0.9846512098815431,1.0
MoteStrain,4,42,45,0.9729811275464431,0.9620735041004355,0.0
MoteStrain,4,42,46,0.9886237067130788,0.9783942492659715,0.7777777777777778
MoteStrain,5,42,43,0.9847741560781189,0.9823428166447301,1.0
MoteStrain,5,42,44,0.9799364339242637,0.9763085957274478,0.7777777777777778
MoteStrain,5,42,45,0.9586796992999751,0.9609598056089905,0.7777777777777778
MoteStrain,5,42,46,0.9658988134530012,0.9636326819884581,0.7777777777777778
MoteStrain,6,42,43,0.9868108354745921,0.9830920319935204,1.0
MoteStrain,6,42,44,0.9843423335249168,0.9788194795990686,0.6
MoteStrain,6,42,45,0.972584772367178,0.9667307887010225,0.6
MoteStrain,6,42,46,0.9706931857983774,0.9735547230940569,0.6
MoteStrain,7,42,43,0.9777699007038062,0.9645641389085756,0.7777777777777778
MoteStrain,7,42,44,0.9776183391605539,0.9524147008200872,0.7777777777777778
MoteStrain,7,42,45,0.9667642294258701,0.9518274779791435,0.0
MoteStrain,7,42,46,0.9770772843016737,0.964098410448517,0.7777777777777778
MoteStrain,9,42,43,0.9821866307909868,0.9758631163308698,1.0
MoteStrain,9,42,44,0.9620249440318763,0.9488711147109445,1.0
MoteStrain,9,42,45,0.9535548088496871,0.9352232459248758,0.7777777777777778
MoteStrain,9,42,46,0.9750349012071945,0.9605345752758935,1.0
MoteStrain,10,42,43,0.9837528844889871,0.9656980864635011,1.0
MoteStrain,10,42,44,0.9879496908557842,0.9702136276197226,0.7777777777777778
MoteStrain,10,42,45,0.9819371313933888,0.9602308393236814,0.0
MoteStrain,10,42,46,0.9752504180934995,0.9496000809962539,0.7777777777777778
MoteStrain,11,42,43,0.9715732886253783,0.9668522830819074,0.7777777777777778
MoteStrain,11,42,44,0.9442510446170005,0.9358712159562621,1.0
MoteStrain,11,42,45,0.9777310895863847,0.9737369646653843,1.0
MoteStrain,11,42,46,0.9531521891651038,0.9545003543586111,0.7777777777777778
MoteStrain,12,42,43,0.9902373153374763,0.9894704869899766,0.7777777777777778
MoteStrain,12,42,44,0.9856321299856281,0.9820998278829605,1.0
MoteStrain,12,42,45,0.9825911896159564,0.9829097904221931,1.0
MoteStrain,12,42,46,0.9881907286308985,0.9854814214842563,1.0
MoteStrain,13,42,43,0.9950828683269861,0.9898957173230738,0.7777777777777778
MoteStrain,13,42,44,0.9958660940200674,0.9928318315277919,0.7777777777777778
MoteStrain,13,42,45,0.9937391657862519,0.9933583071782931,0.0
MoteStrain,13,42,46,0.9956605062370134,0.9913131517667308,0.6
MoteStrain,14,42,43,0.9923793520308157,0.9891667510377646,1.0
MoteStrain,14,42,44,0.9935153023366686,0.9872025918801256,1.0
MoteStrain,14,42,45,0.9869075382595704,0.9808646350106309,1.0
MoteStrain,14,42,46,0.9911229545998591,0.9840234889136378,1.0
MoteStrain,15,42,43,0.9695410800186449,0.967783740002025,1.0
MoteStrain,15,42,44,0.9737636900875328,0.9699301407309913,1.0
MoteStrain,15,42,45,0.9693936145663036,0.9692416725726435,1.0
MoteStrain,15,42,46,0.9682744652952998,0.9674395059228511,1.0
MoteStrain,16,42,43,0.9926457121076477,0.9914548952110965,0.7777777777777778
MoteStrain,16,42,44,0.9915243211326291,0.9903614457831326,0.7777777777777778
MoteStrain,16,42,45,0.9860368359490588,0.9840234889136378,0.7777777777777778
MoteStrain,16,42,46,0.9939639497908278,0.9923458540042523,0.7777777777777778
MoteStrain,17,42,43,0.9886644296700147,0.9824643110256152,1.0
MoteStrain,17,42,44,0.9855964299841572,0.9789004758529918,1.0
MoteStrain,17,42,45,0.9822653636214475,0.9738584590462691,1.0
MoteStrain,17,42,46,0.9762917962187428,0.9716715601903413,0.7777777777777778
MoteStrain,18,42,43,0.9937584770800922,0.9893489926090919,1.0
MoteStrain,18,42,44,0.9881272669715186,0.9827275488508657,1.0
MoteStrain,18,42,45,0.980241310859252,0.9781715095676825,1.0
MoteStrain,18,42,46,0.9843806764718901,0.9857244102460261,1.0
MoteStrain,19,42,43,0.9965392794508949,0.990422192973575,1.0
MoteStrain,19,42,44,0.9962477262356637,0.9882150450541662,1.0
MoteStrain,19,42,45,0.9932923409305691,0.9905639364179407,1.0
MoteStrain,19,42,46,0.99422635291303,0.9854814214842563,1.0
MoteStrain,20,42,43,0.9882918986889716,0.983679254834464,1.0
MoteStrain,20,42,44,0.9858055391960262,0.9793054571226083,1.0
MoteStrain,20,42,45,0.9858136208423879,0.9821605750734029,1.0
MoteStrain,20,42,46,0.9756762826027786,0.9726030171104585,1.0
