dataset,sample_idx,reference_seed,compared_seed,pearson,spearman,top_window_iou
WormsTwoClass,0,42,43,0.8833507426313921,0.8728271680993845,1.0
WormsTwoClass,0,42,44,0.8919476086970889,0.886988617681421,0.2
WormsTwoClass,0,42,45,0.9001285727766142,0.8912919480970554,1.0
WormsTwoClass,0,42,46,0.9129305730756595,0.9086341588076036,0.19205298013245034
WormsTwoClass,4,42,43,0.9266040070702952,0.9318974467869714,1.0
WormsTwoClass,4,42,44,0.9125049733112759,0.916351637126925,0.978021978021978
WormsTwoClass,4,42,45,0.9190473179190087,0.9184538252516362,0.978021978021978
WormsTwoClass,4,42,46,0.9252172783205441,0.9287006033340783,0.978021978021978
WormsTwoClass,5,42,43,0.9136096768755786,0.9091139783300145,0.9354838709677419
WormsTwoClass,5,42,44,0.916512487190867,0.910050753149078,1.0
WormsTwoClass,5,42,45,0.9076023435532737,0.909157501017491,0.7475728155339806
WormsTwoClass,5,42,46,0.9274258296893265,0.9282664958022583,0.9354838709677419
WormsTwoClass,6,42,43,0.9023511177976585,0.895991180236025,0.0
WormsTwoClass,6,42,44,0.9022620818676956,0.9014413433432222,0.9354838709677419
WormsTwoClass,6,42,45,0.9104221733582127,0.9092315258002377,0.0
WormsTwoClass,6,42,46,0.9245161175132204,0.9243316267468644,0.9354838709677419
WormsTwoClass,8,42,43,0.8850465273751111,0.8849426398468806,0.6666666666666666
WormsTwoClass,8,42,44,0.8869113427470765,0.8879475653673647,0.6666666666666666
WormsTwoClass,8,42,45,0.907141721138499,0.9078719521052907,0.0
WormsTwoClass,8,42,46,0.9231183999392968,0.9258277108984085,0.7142857142857143
WormsTwoClass,10,42,43,0.9312839717257735,0.92727375383591,0.18421052631578946
WormsTwoClass,10,42,44,0.9335523022914525,0.9313257259165341,0.9354838709677419
WormsTwoClass,10,42,45,0.9240539733745508,0.921288182660308,0.0
WormsTwoClass,10,42,46,0.9450559044063659,0.9440148609236967,0.9354838709677419
WormsTwoClass,11,42,43,0.897204644725494,0.9006616057550689,1.0
WormsTwoClass,11,42,44,0.9054221574422231,0.9065815142981659,0.9565217391304348
WormsTwoClass,11,42,45,0.890834496574205,0.8901421030560944,0.0
WormsTwoClass,11,42,46,0.9171981305520138,0.914121836364407,0.9565217391304348
WormsTwoClass,12,42,43,0.8463830827290435,0.8256359658057192,0.0
WormsTwoClass,12,42,44,0.82219840561945,0.7954405375809106,0.0
WormsTwoClass,12,42,45,0.8328328364113848,0.8057430852795292,0.0
WormsTwoClass,12,42,46,0.8550497921191671,0.8317192819579613,0.0
WormsTwoClass,14,42,43,0.9220728327342833,0.9261238758730977,0.978021978021978
WormsTwoClass,14,42,44,0.9140594428901706,0.9212405941241902,0.0
WormsTwoClass,14,42,45,0.9072838386821984,0.9131532425760197,0.9148936170212766
WormsTwoClass,14,42,46,0.9220735592985663,0.9248907550091626,0.9565217391304348
WormsTwoClass,15,42,43,0.8526997273259236,0.8404675725937111,0.7475728155339806
WormsTwoClass,15,42,44,0.8475002608174729,0.8354600766996831,0.6981132075471698
WormsTwoClass,15,42,45,0.8296947928753728,0.811478763142506,0.0
WormsTwoClass,15,42,46,0.8497587333480178,0.8371756179122856,0.7647058823529411
WormsTwoClass,17,42,43,0.9113484818913895,0.9058721800891112,0.6513761467889908
WormsTwoClass,17,42,44,0.9123742998562416,0.9091154268914736,0.6363636363636364
WormsTwoClass,17,42,45,0.9165042650907369,0.9162689007434989,0.8367346938775511
WormsTwoClass,17,42,46,0.9240949937625169,0.9220965128763534,0.5929203539823009
WormsTwoClass,18,42,43,0.8956470163448895,0.8923735790620319,0.0
WormsTwoClass,18,42,44,0.8750850389893781,0.8725981307795855,0.0
WormsTwoClass,18,42,45,0.8770691449043012,0.8813138781652817,0.0
WormsTwoClass,18,42,46,0.9086887092394222,0.9104151651216031,0.0
WormsTwoClass,19,42,43,0.8532181562039421,0.8567992964600368,0.6981132075471698
WormsTwoClass,19,42,44,0.8427316380915388,0.8430581107713302,0.6071428571428571
WormsTwoClass,19,42,45,0.8235484940422264,0.8251439322764597,0.0
WormsTwoClass,19,42,46,0.8747712403852186,0.8760081761417813,0.0
WormsTwoClass,20,42,43,0.9273810907826655,0.9204963627527113,0.5
WormsTwoClass,20,42,44,0.930698137936039,0.9252074961409419,0.41732283464566927
WormsTwoClass,20,42,45,0.9238735632845227,0.9196191435627288,0.40625
WormsTwoClass,20,42,46,0.9427225482530288,0.9364212383801297,0.41732283464566927
WormsTwoClass,21,42,43,0.9240270996670952,0.9283975247706068,0.0
WormsTwoClass,21,42,44,0.9284672749772993,0.9320825005133753,0.8947368421052632
WormsTwoClass,21,42,45,0.9219377461428695,0.9247098823578794,1.0
