true_label,pred_before,fraction,hydra_start,shap_start,window_length,iou,overlap_fraction,normalised_centre_distance,score_before,hydra_score_drop,shap_score_drop,hydra_flipped,shap_flipped,hydra_explain_time_s,windowshap_explain_time_s,windowshap_over_hydra_time_ratio,hydra_over_windowshap_time_ratio,dataset,sample_idx
1,1,0.05,32,34,4,0.3333333333333333,0.5,0.025,0.5311765765266918,1.0306323416787726,0.9389287022044384,1,1,0.044349265001073945,0.5853514329992322,13.1986726946897,0.07576519420792487,DistalPhalanxOutlineCorrect,0
1,1,0.1,31,33,8,0.6,0.75,0.025,0.5311765765266918,0.9772125235861837,0.4680789910614033,1,0,0.044349265001073945,0.5853514329992322,13.1986726946897,0.07576519420792487,DistalPhalanxOutlineCorrect,0
1,1,0.2,25,25,16,1.0,1.0,0.0,0.5311765765266918,1.3475291157987481,1.3475291379034466,1,1,0.044349265001073945,0.5853514329992322,13.1986726946897,0.07576519420792487,DistalPhalanxOutlineCorrect,0
1,1,0.05,6,32,4,0.0,0.0,0.325,0.532475209661466,0.6087566660973969,0.6467599321039983,1,1,0.030585313999836217,0.5829848450011923,19.060940325945783,0.05246330888716955,DistalPhalanxOutlineCorrect,2
1,1,0.1,33,33,8,1.0,1.0,0.0,0.532475209661466,1.194661182685476,1.194661192967431,1,1,0.030585313999836217,0.5829848450011923,19.060940325945783,0.05246330888716955,DistalPhalanxOutlineCorrect,2
1,1,0.2,29,32,16,0.6842105263157895,0.8125,0.0375,0.532475209661466,1.4043932640964547,0.9335233168991146,1,1,0.030585313999836217,0.5829848450011923,19.060940325945783,0.05246330888716955,DistalPhalanxOutlineCorrect,2
1,1,0.05,34,35,4,0.6,0.75,0.0125,1.1678294347849776,1.117780186105362,1.0626076522791323,0,0,0.030440870999882463,0.5860062779993314,19.25064095575958,0.0519463223223646,DistalPhalanxOutlineCorrect,4
1,1,0.1,31,32,8,0.7777777777777778,0.875,0.0125,1.1678294347849776,0.7741318518920219,0.7671763076509778,0,0,0.030440870999882463,0.5860062779993314,19.25064095575958,0.0519463223223646,DistalPhalanxOutlineCorrect,4
1,1,0.2,27,24,16,0.6842105263157895,0.8125,0.0375,1.1678294347849776,2.0814224006570274,1.308034251497678,1,1,0.030440870999882463,0.5860062779993314,19.25064095575958,0.0519463223223646,DistalPhalanxOutlineCorrect,4
1,1,0.05,36,0,4,0.0,0.0,0.45,0.418995288697947,0.9709904955282832,0.33445947612331295,1,0,0.030909294000593945,0.580976159999409,18.796164027177234,0.05320234482706724,DistalPhalanxOutlineCorrect,5
