true_label,pred_before,fraction,hydra_start,shap_start,window_length,iou,overlap_fraction,normalised_centre_distance,score_before,hydra_score_drop,shap_score_drop,hydra_flipped,shap_flipped,hydra_explain_time_s,windowshap_explain_time_s,windowshap_over_hydra_time_ratio,hydra_over_windowshap_time_ratio,dataset,sample_idx
5,5,0.05,87,0,20,0.0,0.0,0.2185929648241206,0.35652513366105887,0.2390113491013176,0.2757154782558614,0,0,0.2314996599998267,0.792994928000553,3.425469082767321,0.29193082052053837,Symbols,0
5,5,0.1,81,67,40,0.48148148148148145,0.65,0.035175879396984924,0.35652513366105887,0.3284494481036444,0.381584887163366,0,0,0.2314996599998267,0.792994928000553,3.425469082767321,0.29193082052053837,Symbols,0
5,5,0.2,56,0,80,0.17647058823529413,0.3,0.1407035175879397,0.35652513366105887,0.47045910433755955,0.9050186914820499,0,1,0.2314996599998267,0.792994928000553,3.425469082767321,0.29193082052053837,Symbols,0
5,5,0.05,118,366,20,0.0,0.0,0.6231155778894473,0.6446798929397188,0.206414445879612,-0.035003036854375225,0,0,0.2131907350012625,0.7921987579993583,3.7159155063406812,0.2691126852302326,Symbols,1
5,5,0.1,102,346,40,0.0,0.0,0.6130653266331658,0.6446798929397188,0.3246247336978154,0.11335219596350177,0,0,0.2131907350012625,0.7921987579993583,3.7159155063406812,0.2691126852302326,Symbols,1
5,5,0.2,70,290,80,0.0,0.0,0.5527638190954773,0.6446798929397188,0.4858176046083007,0.14634739044604594,0,0,0.2131907350012625,0.7921987579993583,3.7159155063406812,0.2691126852302326,Symbols,1
2,2,0.05,31,44,20,0.21212121212121213,0.35,0.032663316582914576,0.9024870900136701,0.3497043850922732,0.3814590243771647,0,0,0.2134073739998712,0.7935152879999805,3.7183124140802155,0.26893920914586894,Symbols,2
2,2,0.1,16,282,40,0.0,0.0,0.6683417085427136,0.9024870900136701,0.34348434003703976,0.6771268569003055,0,0,0.2134073739998712,0.7935152879999805,3.7183124140802155,0.26893920914586894,Symbols,2
2,2,0.2,3,242,80,0.0,0.0,0.6005025125628141,0.9024870900136701,0.4462963180533066,0.6276469568758745,0,0,0.2134073739998712,0.7935152879999805,3.7183124140802155,0.26893920914586894,Symbols,2
4,4,0.05,343,338,20,0.6,0.75,0.01256281407035176,0.3623893158101009,0.16504065883568475,0.0959473249387055,0,0,0.21250998299910862,0.7905935130002035,3.7202652875066096,0.26879803527941915,Symbols,3
4,4,0.1,258,342,40,0.0,0.0,0.21105527638190955,0.3623893158101009,0.20823584052753508,0.41786507070196754,0,1,0.21250998299910862,0.7905935130002035,3.7202652875066096,0.26879803527941915,Symbols,3
4,4,0.2,234,302,80,0.08108108108108109,0.15,0.1708542713567839,0.3623893158101009,0.3154718906946943,0.44260408992260136,0,0,0.21250998299910862,0.7905935130002035,3.7202652875066096,0.26879803527941915,Symbols,3
2,2,0.05,340,151,20,0.0,0.0,0.4748743718592965,1.0070523819442112,0.18441493629417138,0.08912206046617355,0,0,0.2147623359996942,0.7962019010010408,3.70736282642304,0.2697335132328621,Symbols,4
2,2,0.1,336,262,40,0.0,0.0,0.18592964824120603,1.0070523819442112,0.20125842425800733,0.6441721515437813,0,0,0.2147623359996942,0.7962019010010408,3.70736282642304,0.2697335132328621,Symbols,4
2,2,0.2,297,267,80,0.45454545454545453,0.625,0.07537688442211055,1.0070523819442112,0.4776265446977357,0.588837476780236,0,0,0.2147623359996942,0.7962019010010408,3.70736282642304,0.2697335132328621,Symbols,4
5,5,0.05,129,171,20,0.0,0.0,0.10552763819095477,0.6104077971877919,0.1609789561337478,0.12263387389112568,0,0,0.21533988500050327,0.7935211999993044,3.6849708543192072,0.2713725669845898,Symbols,5
5,5,0.1,128,40,40,0.0,0.0,0.22110552763819097,0.6104077971877919,0.2426273634774141,0.35540903359145704,0,0,0.21533988500050327,0.7935211999993044,3.6849708543192072,0.2713725669845898,Symbols,5
5,5,0.2,113,16,80,0.0,0.0,0.24371859296482412,0.6104077971877919,0.3544805131833648,0.5757096392105779,0,0,0.21533988500050327,0.7935211999993044,3.6849708543192072,0.2713725669845898,Symbols,5
4,4,0.05,128,135,20,0.48148148148148145,0.65,0.017587939698492462,0.21990305737831917,0.018100117267956906,0.1087295373923095,0,0,0.21610036799938825,0.7920838119989639,3.6653515185184977,0.27282512876259984,Symbols,6
4,4,0.1,117,131,40,0.48148148148148145,0.65,0.035175879396984924,0.21990305737831917,0.2723201384522326,0.21377548252972856,0,0,0.21610036799938825,0.7920838119989639,3.6653515185184977,0.27282512876259984,Symbols,6
4,4,0.2,96,91,80,0.8823529411764706,0.9375,0.01256281407035176,0.21990305737831917,0.15656251206080962,0.15377001795363188,0,0,0.21610036799938825,0.7920838119989639,3.6653515185184977,0.27282512876259984,Symbols,6
2,2,0.05,269,0,20,0.0,0.0,0.6758793969849246,0.7921108164556616,0.3997213362534813,0.06981430761770024,0,0,0.21419126000000688,0.7910907400000724,3.6933847814334113,0.2707543511380089,Symbols,7
2,2,0.1,269,235,40,0.08108108108108109,0.15,0.08542713567839195,0.7921108164556616,0.3645859719729512,0.581630670288797,0,0,0.21419126000000688,0.7910907400000724,3.6933847814334113,0.2707543511380089,Symbols,7
2,2,0.2,247,167,80,0.0,0.0,0.20100502512562815,0.7921108164556616,0.5182207869623159,0.5294590998464803,0,0,0.21419126000000688,0.7910907400000724,3.6933847814334113,0.2707543511380089,Symbols,7
5,5,0.05,150,64,20,0.0,0.0,0.21608040201005024,0.5369864348551794,0.1155330363651963,0.20163848387647554,0,0,0.21936099099912099,0.7898762629993143,3.6008055005663224,0.277715638859895,Symbols,8
5,5,0.1,134,75,40,0.0,0.0,0.14824120603015076,0.5369864348551794,0.19398417385485467,0.2787717027661303,0,0,0.21936099099912099,0.7898762629993143,3.6008055005663224,0.277715638859895,Symbols,8
5,5,0.2,103,27,80,0.02564102564102564,0.05,0.19095477386934673,0.5369864348551794,0.28444246541855556,0.5241729447376211,0,0,0.21936099099912099,0.7898762629993143,3.6008055005663224,0.277715638859895,Symbols,8
4,4,0.05,248,267,20,0.02564102564102564,0.05,0.04773869346733668,0.9916350929013874,0.2522146269088881,0.26590313908578334,0,0,0.21434102300008817,0.7881643969994911,3.6771514195822745,0.2719496386998391,Symbols,9
4,4,0.1,232,274,40,0.0,0.0,0.10552763819095477,0.9916350929013874,0.5029766783860148,0.14280763090765802,0,0,0.21434102300008817,0.7881643969994911,3.6771514195822745,0.2719496386998391,Symbols,9
4,4,0.2,203,258,80,0.18518518518518517,0.3125,0.13819095477386933,0.9916350929013874,0.6286102718367219,0.5448847884757051,0,0,0.21434102300008817,0.7881643969994911,3.6771514195822745,0.2719496386998391,Symbols,9
0,0,0.05,167,207,20,0.0,0.0,0.10050251256281408,1.0864018580690575,0.20401992206894282,0.43206660268074415,0,0,0.21472147999884328,0.7868382790002215,3.6644600205087086,0.27289150226864195,Symbols,10
0,0,0.1,247,208,40,0.012658227848101266,0.025,0.09798994974874371,1.0864018580690575,0.8413867064443664,0.6222994229147479,0,0,0.21472147999884328,0.7868382790002215,3.6644600205087086,0.27289150226864195,Symbols,10
0,0,0.2,210,203,80,0.8390804597701149,0.9125,0.017587939698492462,1.0864018580690575,0.9099540484532037,0.8219030474007615,0,0,0.21472147999884328,0.7868382790002215,3.6644600205087086,0.27289150226864195,Symbols,10
2,2,0.05,10,56,20,0.0,0.0,0.11557788944723618,0.8777539981769404,0.3220915724081641,0.568792052796482,0,0,0.2137616510008229,0.7914121969988628,3.7023113982021787,0.27010153724119323,Symbols,11
2,2,0.1,2,37,40,0.06666666666666667,0.125,0.08793969849246232,0.8777539981769404,0.25079250612262194,0.6157069110844272,0,0,0.2137616510008229,0.7914121969988628,3.7023113982021787,0.27010153724119323,Symbols,11
2,2,0.2,0,203,80,0.0,0.0,0.5100502512562815,0.8777539981769404,0.4890819158509103,0.5400938082383844,0,0,0.2137616510008229,0.7914121969988628,3.7023113982021787,0.27010153724119323,Symbols,11
1,1,0.05,173,314,20,0.0,0.0,0.3542713567839196,0.7104887434126236,0.09840206305926835,-0.027582827792868247,0,0,0.21579119399939373,0.7974204359998112,3.695333536187077,0.2706115673206108,Symbols,12
1,1,0.1,159,310,40,0.0,0.0,0.3793969849246231,0.7104887434126236,0.2016633044378513,0.09466042942930297,0,0,0.21579119399939373,0.7974204359998112,3.695333536187077,0.2706115673206108,Symbols,12
1,1,0.2,213,270,80,0.1678832116788321,0.2875,0.14321608040201006,0.7104887434126236,0.44298105681224165,0.31487552787864503,0,0,0.21579119399939373,0.7974204359998112,3.695333536187077,0.2706115673206108,Symbols,12
2,2,0.05,317,271,20,0.0,0.0,0.11557788944723618,0.935829868599384,0.22360247204285866,0.60964234190631,0,0,0.21475501299937605,0.7883893010002794,3.6711101174740444,0.27239716815905896,Symbols,13
2,2,0.1,297,251,40,0.0,0.0,0.11557788944723618,0.935829868599384,0.421288733819132,0.6645005407221112,0,0,0.21475501299937605,0.7883893010002794,3.6711101174740444,0.27239716815905896,Symbols,13
2,2,0.2,263,211,80,0.21212121212121213,0.35,0.1306532663316583,0.935829868599384,0.5869314935183099,0.4797792322809433,0,0,0.21475501299937605,0.7883893010002794,3.6711101174740444,0.27239716815905896,Symbols,13
1,1,0.05,262,0,20,0.0,0.0,0.6582914572864321,0.7710469901648139,0.05563466479579238,0.0575188990195985,0,0,0.2193680240015965,0.8059293169990269,3.6738686992647644,0.27219263448367814,Symbols,14
1,1,0.1,248,211,40,0.03896103896103896,0.075,0.09296482412060302,0.7710469901648139,0.2806228502769177,0.20415976078168918,0,0,0.2193680240015965,0.8059293169990269,3.6738686992647644,0.27219263448367814,Symbols,14
1,1,0.2,206,171,80,0.391304347826087,0.5625,0.08793969849246232,0.7710469901648139,0.6086188655644943,0.3481426561027281,0,0,0.2193680240015965,0.8059293169990269,3.6738686992647644,0.27219263448367814,Symbols,14
3,3,0.05,128,239,20,0.0,0.0,0.27889447236180903,1.1059771307238604,0.6998690362013988,0.7125210465028617,0,0,0.21264923499984434,0.7857929290003085,3.695253966001259,0.2706173944201537,Symbols,15
3,3,0.1,214,243,40,0.15942028985507245,0.275,0.0728643216080402,1.1059771307238604,0.5507946402003914,1.0393639651362794,0,0,0.21264923499984434,0.7857929290003085,3.695253966001259,0.2706173944201537,Symbols,15
3,3,0.2,84,211,80,0.0,0.0,0.31909547738693467,1.1059771307238604,1.0206221070784163,1.0866751096230294,0,0,0.21264923499984434,0.7857929290003085,3.695253966001259,0.2706173944201537,Symbols,15
2,2,0.05,25,279,20,0.0,0.0,0.6381909547738693,0.8073588861212733,0.3555024015225168,0.46011583508422627,0,0,0.2123067100001208,0.7839569000007032,3.6925677007582904,0.27081426287584226,Symbols,16
2,2,0.1,6,267,40,0.0,0.0,0.6557788944723618,0.8073588861212733,0.3152803100430017,0.569130859035136,0,0,0.2123067100001208,0.7839569000007032,3.6925677007582904,0.27081426287584226,Symbols,16
2,2,0.2,0,222,80,0.0,0.0,0.5577889447236181,0.8073588861212733,0.4066200092658703,0.591486283452561,0,0,0.2123067100001208,0.7839569000007032,3.6925677007582904,0.27081426287584226,Symbols,16
1,1,0.05,228,123,20,0.0,0.0,0.2638190954773869,0.8031675518743794,0.07319112032564101,0.1268491596950605,0,0,0.2125596170008066,0.7831798869992781,3.684518715501384,0.27140586796121663,Symbols,18
1,1,0.1,212,44,40,0.0,0.0,0.4221105527638191,0.8031675518743794,0.31725948940758486,0.05580123030470774,0,0,0.2125596170008066,0.7831798869992781,3.684518715501384,0.27140586796121663,Symbols,18
1,1,0.2,81,4,80,0.01910828025477707,0.0375,0.1934673366834171,0.8031675518743794,0.5472653980789692,0.1131301341405877,0,0,0.2125596170008066,0.7831798869992781,3.684518715501384,0.27140586796121663,Symbols,18
0,0,0.05,147,286,20,0.0,0.0,0.3492462311557789,1.0272839375728848,0.4638595315176154,0.7620826863469919,0,0,0.21198895099951187,0.7901328659991123,3.727236076567649,0.26829532110584303,Symbols,19
0,0,0.1,144,266,40,0.0,0.0,0.3065326633165829,1.0272839375728848,0.4331406472827143,0.8457629595956325,0,0,0.21198895099951187,0.7901328659991123,3.727236076567649,0.26829532110584303,Symbols,19
0,0,0.2,147,226,80,0.006289308176100629,0.0125,0.1984924623115578,1.0272839375728848,0.5983357666861838,0.8157224549836309,0,0,0.21198895099951187,0.7901328659991123,3.727236076567649,0.26829532110584303,Symbols,19
0,0,0.05,171,231,20,0.0,0.0,0.1507537688442211,0.8023459380745911,0.2563495038889656,0.49762724388499435,0,0,0.21193319600024552,0.7866743499998847,3.711897734033952,0.26940397383018344,Symbols,20
