true_label,pred_before,fraction,hydra_start,shap_start,window_length,iou,overlap_fraction,normalised_centre_distance,score_before,hydra_score_drop,shap_score_drop,hydra_flipped,shap_flipped,hydra_explain_time_s,windowshap_explain_time_s,windowshap_over_hydra_time_ratio,hydra_over_windowshap_time_ratio,dataset,sample_idx
2,2,0.05,206,206,14,1.0,1.0,0.0,0.6065216205882002,0.12442420344924532,0.12442419951161021,0,0,0.16253024000070582,0.9318443930005742,5.733360099613017,0.1744177903752281,Trace,0
2,2,0.1,202,206,28,0.75,0.8571428571428571,0.014545454545454545,0.6065216205882002,0.2987900473331686,0.2953351318601679,0,0,0.16253024000070582,0.9318443930005742,5.733360099613017,0.1744177903752281,Trace,0
2,2,0.2,66,179,55,0.0,0.0,0.4109090909090909,0.6065216205882002,-0.15992784071161936,0.6950047975023055,0,0,0.16253024000070582,0.9318443930005742,5.733360099613017,0.1744177903752281,Trace,0
0,0,0.05,84,85,14,0.8666666666666667,0.9285714285714286,0.0036363636363636364,1.0346971889657208,2.085120722634171,2.0792240718196076,1,1,0.14442974899975525,0.9436633400000574,6.533718617773521,0.1530521986789764,Trace,1
0,0,0.1,74,71,28,0.8064516129032258,0.8928571428571429,0.01090909090909091,1.0346971889657208,2.1154977273989624,2.122837260878111,1,1,0.14442974899975525,0.9436633400000574,6.533718617773521,0.1530521986789764,Trace,1
0,0,0.2,55,69,55,0.5942028985507246,0.7454545454545455,0.05090909090909091,1.0346971889657208,2.109256063411098,2.0890937253871176,1,1,0.14442974899975525,0.9436633400000574,6.533718617773521,0.1530521986789764,Trace,1
2,2,0.05,159,162,14,0.6470588235294118,0.7857142857142857,0.01090909090909091,0.8695343924771879,0.5033735325707053,0.3505066408571853,0,0,0.14584137800011376,0.9340591559994209,6.404623768699527,0.15613719651842284,Trace,2
2,2,0.1,152,148,28,0.75,0.8571428571428571,0.014545454545454545,0.8695343924771879,0.9058229220005171,0.9670997205984833,0,0,0.14584137800011376,0.9340591559994209,6.404623768699527,0.15613719651842284,Trace,2
2,2,0.2,145,7,55,0.0,0.0,0.5018181818181818,0.8695343924771879,1.2057564195258792,-0.45700763709903613,1,0,0.14584137800011376,0.9340591559994209,6.404623768699527,0.15613719651842284,Trace,2
1,1,0.05,49,93,14,0.0,0.0,0.16,0.8844655118126465,-0.043532642475579086,0.6286594859666093,0,1,0.14608089899957122,0.9324655129985331,6.383213133164453,0.15666091342061358,Trace,3
1,1,0.1,130,79,28,0.0,0.0,0.18545454545454546,0.8844655118126465,0.33208947900065855,0.9288276546478524,0,1,0.14608089899957122,0.9324655129985331,6.383213133164453,0.15666091342061358,Trace,3
1,1,0.2,114,52,55,0.0,0.0,0.22545454545454546,0.8844655118126465,0.7478615818947717,0.6722408439350125,0,0,0.14608089899957122,0.9324655129985331,6.383213133164453,0.15666091342061358,Trace,3
0,0,0.05,74,77,14,0.6470588235294118,0.7857142857142857,0.01090909090909091,0.9782176879145471,2.063077716687527,2.067564769519724,1,1,0.14577557499978866,0.9326619140010735,6.397929927578235,0.1563005552295136,Trace,4
0,0,0.1,64,68,28,0.75,0.8571428571428571,0.014545454545454545,0.9782176879145471,2.0994870322478247,2.0668014744647762,1,1,0.14577557499978866,0.9326619140010735,6.397929927578235,0.1563005552295136,Trace,4
0,0,0.2,46,41,55,0.8333333333333334,0.9090909090909091,0.01818181818181818,0.9782176879145471,2.092749887703938,2.067783941285479,1,1,0.14577557499978866,0.9326619140010735,6.397929927578235,0.1563005552295136,Trace,4
2,2,0.05,172,0,14,0.0,0.0,0.6254545454545455,0.9545114209156451,0.513811454612785,-0.013222226935259318,0,0,0.14577430200006347,0.9357782540009794,6.419363640654386,0.15577868087529945,Trace,5
2,2,0.1,165,0,28,0.0,0.0,0.6,0.9545114209156451,0.8872630187020697,-0.07819855514640994,0,0,0.14577430200006347,0.9357782540009794,6.419363640654386,0.15577868087529945,Trace,5
2,2,0.2,37,0,55,0.1956521739130435,0.32727272727272727,0.13454545454545455,0.9545114209156451,-0.2817154746761119,0.04034331646099165,0,0,0.14577430200006347,0.9357782540009794,6.419363640654386,0.15577868087529945,Trace,5
1,1,0.05,140,96,14,0.0,0.0,0.16,0.9328355135732695,0.33245824030045723,0.8587629336195923,0,1,0.145507549001195,0.9320316560006177,6.405383517201319,0.1561186769401946,Trace,6
1,1,0.1,133,82,28,0.0,0.0,0.18545454545454546,0.9328355135732695,0.5026976707392998,0.8798393816154824,0,1,0.145507549001195,0.9320316560006177,6.405383517201319,0.1561186769401946,Trace,6
1,1,0.2,117,61,55,0.0,0.0,0.20363636363636364,0.9328355135732695,0.8438745273395645,0.6585070032141531,0,0,0.145507549001195,0.9320316560006177,6.405383517201319,0.1561186769401946,Trace,6
1,1,0.05,141,82,14,0.0,0.0,0.21454545454545454,1.0134562842136685,0.3343097841258007,0.551872691007212,0,1,0.14859553699898242,0.9325570159999188,6.27580770481892,0.15934203962816507,Trace,7
1,1,0.1,141,68,28,0.0,0.0,0.26545454545454544,1.0134562842136685,0.37214377875841587,0.06557276684620406,0,0,0.14859553699898242,0.9325570159999188,6.27580770481892,0.15934203962816507,Trace,7
1,1,0.2,125,82,55,0.12244897959183673,0.21818181818181817,0.15636363636363637,1.0134562842136685,0.734135965013047,1.2449617541762015,0,1,0.14859553699898242,0.9325570159999188,6.27580770481892,0.15934203962816507,Trace,7
1,1,0.05,143,91,14,0.0,0.0,0.1890909090909091,0.9126251264114966,0.10202375179971934,0.6987426359213537,0,1,0.14469311399989238,0.932775737999691,6.446580021772044,0.15512100937593243,Trace,8
1,1,0.1,134,74,28,0.0,0.0,0.21818181818181817,0.9126251264114966,0.2903955764050634,0.8539162201180341,0,1,0.14469311399989238,0.932775737999691,6.446580021772044,0.15512100937593243,Trace,8
1,1,0.2,108,52,55,0.0,0.0,0.20363636363636364,0.9126251264114966,0.7529769056732671,0.6735887891243381,0,0,0.14469311399989238,0.932775737999691,6.446580021772044,0.15512100937593243,Trace,8
3,3,0.05,86,5,14,0.0,0.0,0.29454545454545455,0.8299397598648652,0.26612513776386604,0.9449387317057742,0,0,0.14471213100114255,0.9322494869993534,6.442096322885281,0.15522897359475074,Trace,9
3,3,0.1,80,0,28,0.0,0.0,0.2909090909090909,0.8299397598648652,0.31966271505506216,0.15099428366642842,0,0,0.14471213100114255,0.9322494869993534,6.442096322885281,0.15522897359475074,Trace,9
3,3,0.2,67,11,55,0.0,0.0,0.20363636363636364,0.8299397598648652,0.2791979114878933,1.4565005612537336,0,1,0.14471213100114255,0.9322494869993534,6.442096322885281,0.15522897359475074,Trace,9
2,2,0.05,188,214,14,0.0,0.0,0.09454545454545454,1.0227497821025902,0.3012507393730053,-0.31794012294873997,0,0,0.14419085900044593,0.9348390260001906,6.483344592581278,0.15424137738171034,Trace,10
2,2,0.1,180,200,28,0.16666666666666666,0.2857142857142857,0.07272727272727272,1.0227497821025902,0.8151282162449315,0.439997515232845,0,0,0.14419085900044593,0.9348390260001906,6.483344592581278,0.15424137738171034,Trace,10
2,2,0.2,169,173,55,0.864406779661017,0.9272727272727272,0.014545454545454545,1.0227497821025902,1.128210965238786,1.1865219616837113,0,0,0.14419085900044593,0.9348390260001906,6.483344592581278,0.15424137738171034,Trace,10
1,1,0.05,46,66,14,0.0,0.0,0.07272727272727272,0.9078189488176305,-0.015646010988148884,0.552257433533079,0,0,0.14559960199949273,0.9284360320016276,6.376638529581023,0.15682243792886044,Trace,11
1,1,0.1,129,63,28,0.0,0.0,0.24,0.9078189488176305,0.3058097651643732,0.7002292851644897,0,0,0.14559960199949273,0.9284360320016276,6.376638529581023,0.15682243792886044,Trace,11
1,1,0.2,111,61,55,0.047619047619047616,0.09090909090909091,0.18181818181818182,0.9078189488176305,0.7208294106509461,1.2385793721609892,0,0,0.14559960199949273,0.9284360320016276,6.376638529581023,0.15682243792886044,Trace,11
2,2,0.05,64,77,14,0.037037037037037035,0.07142857142857142,0.04727272727272727,0.7876983840863963,-0.02986474424728125,-0.0207034809158273,0,0,0.14522194100027264,0.9240699469992251,6.363156563218572,0.1571547061690065,Trace,12
2,2,0.1,55,60,28,0.696969696969697,0.8214285714285714,0.01818181818181818,0.7876983840863963,-0.04217531865540902,-0.02750539889096082,0,0,0.14522194100027264,0.9240699469992251,6.363156563218572,0.1571547061690065,Trace,12
