dataset,sample_idx,true_label,pred_before,variant,variant_label,fraction,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,window_length,window_start
EOGHorizontalSignal,0,0,0,max_only,Max-only,0.1,0.7499570796061158,0.2799468494455707,0.4700102301605451,0.6267153364190681,0,125,594
EOGHorizontalSignal,0,0,0,min_only,Min-only,0.1,0.7499570796061158,1.2063284544372768,-0.45637137483116097,-0.6085291794854066,0,125,315
EOGHorizontalSignal,0,0,0,min_activation_scaled,Activation-scaled min,0.1,0.7499570796061158,0.28216719824179404,0.46778988136432176,0.6237547058763723,0,125,590
EOGHorizontalSignal,0,0,0,combined,Combined,0.1,0.7499570796061158,0.2753671393505127,0.4745899402556031,0.6328219578684473,0,125,602
EOGHorizontalSignal,2,0,0,max_only,Max-only,0.1,-0.14683952266876144,-0.5004449094255481,0.35360538675678665,1.0,1,125,534
EOGHorizontalSignal,2,0,0,min_only,Min-only,0.1,-0.14683952266876144,-0.25304464308764507,0.10620512041888364,0.7232684717314583,1,125,261
EOGHorizontalSignal,2,0,0,min_activation_scaled,Activation-scaled min,0.1,-0.14683952266876144,-0.3514897778284609,0.20465025515969948,1.0,1,125,478
EOGHorizontalSignal,2,0,0,combined,Combined,0.1,-0.14683952266876144,-0.45989948538096365,0.3130599627122022,1.0,1,125,528
EOGHorizontalSignal,3,0,0,max_only,Max-only,0.1,1.1816764470150813,0.41511484314928515,0.7665616038657962,0.6487062995084926,1,125,1125
EOGHorizontalSignal,3,0,0,min_only,Min-only,0.1,1.1816764470150813,1.8473127573545245,-0.6656363103394431,-0.5632978034918423,0,125,372
EOGHorizontalSignal,3,0,0,min_activation_scaled,Activation-scaled min,0.1,1.1816764470150813,1.8734681157313178,-0.6917916687162364,-0.5854318963806097,0,125,287
EOGHorizontalSignal,3,0,0,combined,Combined,0.1,1.1816764470150813,0.4151148099333458,0.7665616370817355,0.6487063276176347,1,125,1125
EOGHorizontalSignal,4,0,0,max_only,Max-only,0.1,-0.0897616216929924,-0.5096941647395202,0.41993254304652783,1.0,1,125,294
EOGHorizontalSignal,4,0,0,min_only,Min-only,0.1,-0.0897616216929924,-0.16519654945513673,0.07543492776214433,0.8403824034924928,0,125,487
EOGHorizontalSignal,4,0,0,min_activation_scaled,Activation-scaled min,0.1,-0.0897616216929924,-0.36954144095783004,0.27977981926483764,1.0,0,125,55
EOGHorizontalSignal,4,0,0,combined,Combined,0.1,-0.0897616216929924,-0.2069541712961036,0.1171925496031112,1.0,0,125,478
EOGHorizontalSignal,6,0,0,max_only,Max-only,0.1,0.17069900880660915,-0.06479681676827265,0.2354958255748818,1.0,1,125,269
EOGHorizontalSignal,6,0,0,min_only,Min-only,0.1,0.17069900880660915,0.4222468460634269,-0.25154783725681773,-1.0,0,125,1010
EOGHorizontalSignal,6,0,0,min_activation_scaled,Activation-scaled min,0.1,0.17069900880660915,-0.004181923666438547,0.1748809324730477,1.0,1,125,230
EOGHorizontalSignal,6,0,0,combined,Combined,0.1,0.17069900880660915,-0.2587404507814228,0.429439459588032,1.0,1,125,289
EOGHorizontalSignal,9,0,0,max_only,Max-only,0.1,0.3578419943347567,-0.07193510738278619,0.4297771017175429,1.0,0,125,442
EOGHorizontalSignal,9,0,0,min_only,Min-only,0.1,0.3578419943347567,0.27004969843734694,0.08779229589740978,0.24533747282273582,0,125,378
EOGHorizontalSignal,9,0,0,min_activation_scaled,Activation-scaled min,0.1,0.3578419943347567,0.04722342365293619,0.3106185706818205,0.8680303250291986,0,125,390
EOGHorizontalSignal,9,0,0,combined,Combined,0.1,0.3578419943347567,-0.07493814683294553,0.43278014116770225,1.0,0,125,443
EOGHorizontalSignal,10,4,4,max_only,Max-only,0.1,0.37546614252877664,0.6151646562159865,-0.23969851368720985,-0.6384007720964261,0,125,1125
EOGHorizontalSignal,10,4,4,min_only,Min-only,0.1,0.37546614252877664,0.5800635022179066,-0.20459735968912995,-0.5449141523041505,0,125,285
EOGHorizontalSignal,10,4,4,min_activation_scaled,Activation-scaled min,0.1,0.37546614252877664,0.5999929690279402,-0.22452682649916356,-0.5979932757550291,0,125,276
EOGHorizontalSignal,10,4,4,combined,Combined,0.1,0.37546614252877664,0.5476252794688499,-0.17215913694007323,-0.45851984751735925,0,125,301
EOGHorizontalSignal,11,4,4,max_only,Max-only,0.1,0.537508210615605,0.5005668556044454,0.03694135501115969,0.06872692463976766,0,125,351
EOGHorizontalSignal,11,4,4,min_only,Min-only,0.1,0.537508210615605,0.5026219980081756,0.03488621260742941,0.06490346940748142,0,125,284
EOGHorizontalSignal,11,4,4,min_activation_scaled,Activation-scaled min,0.1,0.537508210615605,0.619026025160905,-0.08151781454529994,-0.15165845149320925,0,125,1117
EOGHorizontalSignal,11,4,4,combined,Combined,0.1,0.537508210615605,0.5026219997240464,0.03488621089155863,0.06490346621521839,0,125,284
EOGHorizontalSignal,13,4,4,max_only,Max-only,0.1,0.8131207443089394,0.7576860394201475,0.055434704888791986,0.06817515984141483,0,125,933
EOGHorizontalSignal,13,4,4,min_only,Min-only,0.1,0.8131207443089394,0.10603819110494406,0.7070825532039954,0.8695900191488972,0,125,612
EOGHorizontalSignal,13,4,4,min_activation_scaled,Activation-scaled min,0.1,0.8131207443089394,0.9126983443695227,-0.09957760006058325,-0.12246333437462409,0,125,1125
