dataset,sample_idx,true_label,pred_before,variant,variant_label,fraction,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,window_length,window_start
Earthquakes,0,0,0,max_only,Max-only,0.1,0.8620460283882236,0.5389073787784777,0.3231386496097459,0.3748503723908438,0,51,193
Earthquakes,0,0,0,min_only,Min-only,0.1,0.8620460283882236,0.7354668691658691,0.12657915922235452,0.14683556123268657,0,51,461
Earthquakes,0,0,0,min_activation_scaled,Activation-scaled min,0.1,0.8620460283882236,0.4339645158965353,0.42808151249168835,0.49658719117920497,0,51,192
Earthquakes,0,0,0,combined,Combined,0.1,0.8620460283882236,0.5389074158908682,0.3231386124973554,0.3748503293393753,0,51,193
Earthquakes,1,1,1,max_only,Max-only,0.1,0.04369838998611408,0.01938445301015046,0.024313936975963624,0.5563907638914323,0,51,157
Earthquakes,1,1,1,min_only,Min-only,0.1,0.04369838998611408,-0.02706445062945939,0.07076284061557347,1.0,1,51,240
Earthquakes,1,1,1,min_activation_scaled,Activation-scaled min,0.1,0.04369838998611408,0.3011794324660444,-0.2574810424799303,-1.0,0,51,341
Earthquakes,1,1,1,combined,Combined,0.1,0.04369838998611408,-0.069396979740047,0.11309536972616108,1.0,1,51,290
Earthquakes,2,0,0,max_only,Max-only,0.1,0.9226224277864362,0.514244160387333,0.4083782673991032,0.4426272465017356,0,51,409
Earthquakes,2,0,0,min_only,Min-only,0.1,0.9226224277864362,0.7751911658296693,0.14743126195676692,0.15979570593658662,0,51,94
Earthquakes,2,0,0,min_activation_scaled,Activation-scaled min,0.1,0.9226224277864362,0.48830377514428147,0.43431865264215475,0.47074314347748,0,51,407
Earthquakes,2,0,0,combined,Combined,0.1,0.9226224277864362,0.6986447303615904,0.22397769742484586,0.2427617711401655,0,51,459
Earthquakes,3,0,0,max_only,Max-only,0.1,1.0054776951524176,0.5594901761348199,0.4459875190175977,0.44355740322274234,0,51,2
Earthquakes,3,0,0,min_only,Min-only,0.1,1.0054776951524176,0.9414148015899708,0.06406289356244677,0.0637138249386136,0,51,267
Earthquakes,3,0,0,min_activation_scaled,Activation-scaled min,0.1,1.0054776951524176,0.5594901120153236,0.44598758313709397,0.4435574669928616,0,51,2
Earthquakes,3,0,0,combined,Combined,0.1,1.0054776951524176,0.6185892706332853,0.3868884245191323,0.3847803303882884,0,51,9
Earthquakes,4,0,0,max_only,Max-only,0.1,0.698336234468964,0.49029201765764696,0.20804421681131702,0.2979136820185736,0,51,175
Earthquakes,4,0,0,min_only,Min-only,0.1,0.698336234468964,0.7038620370745133,-0.005525802605549357,-0.007912799622880396,0,51,399
Earthquakes,4,0,0,min_activation_scaled,Activation-scaled min,0.1,0.698336234468964,0.5663471052602199,0.13198912920874406,0.18900485710047016,0,51,444
Earthquakes,4,0,0,combined,Combined,0.1,0.698336234468964,0.5675738995032458,0.1307623349657182,0.1872481209814821,0,51,80
Earthquakes,5,0,0,max_only,Max-only,0.1,0.9409468238331214,0.5917706563100148,0.34917616752310665,0.3710898295090096,0,51,110
Earthquakes,5,0,0,min_only,Min-only,0.1,0.9409468238331214,0.6362120825015919,0.30473474133152956,0.32385934013868845,0,51,201
Earthquakes,5,0,0,min_activation_scaled,Activation-scaled min,0.1,0.9409468238331214,0.38733658048834163,0.5536102433447798,0.5883538165692845,0,51,311
Earthquakes,5,0,0,combined,Combined,0.1,0.9409468238331214,0.5917706140522211,0.34917620978090036,0.3710898744188257,0,51,110
Earthquakes,6,0,0,max_only,Max-only,0.1,0.45873713117471476,0.07306181687403779,0.385675314300677,0.8407308834629857,0,51,295
Earthquakes,6,0,0,min_only,Min-only,0.1,0.45873713117471476,0.5672098370343625,-0.10847270585964769,-0.23645888250422079,0,51,460
Earthquakes,6,0,0,min_activation_scaled,Activation-scaled min,0.1,0.45873713117471476,0.3229820769998184,0.13575505417489636,0.295931480182956,0,51,87
Earthquakes,6,0,0,combined,Combined,0.1,0.45873713117471476,0.3886077715267755,0.07012935964793926,0.1528744939260997,0,51,187
Earthquakes,7,0,0,max_only,Max-only,0.1,0.6141724847258415,0.46514284344722756,0.14902964127861396,0.242650724892721,0,51,75
Earthquakes,7,0,0,min_only,Min-only,0.1,0.6141724847258415,0.4229302656467121,0.19124221907912942,0.3113814318514536,0,51,405
Earthquakes,7,0,0,min_activation_scaled,Activation-scaled min,0.1,0.6141724847258415,0.4076078258241135,0.20656465890172804,0.33632949653294725,0,51,92
Earthquakes,7,0,0,combined,Combined,0.1,0.6141724847258415,0.465142934905345,0.14902954982049654,0.24265057598020737,0,51,75
Earthquakes,9,0,0,max_only,Max-only,0.1,1.146950375358454,0.7510523713472909,0.39589800401116315,0.3451741830706939,0,51,277
Earthquakes,9,0,0,min_only,Min-only,0.1,1.146950375358454,0.9493086545638537,0.1976417207946003,0.17231918025542434,0,51,227
Earthquakes,9,0,0,min_activation_scaled,Activation-scaled min,0.1,1.146950375358454,0.8981685345305573,0.24878184082789667,0.21690705131256804,0,51,261
Earthquakes,9,0,0,combined,Combined,0.1,1.146950375358454,0.7970302703560158,0.3499201050024382,0.30508713143404054,0,51,273
Earthquakes,10,0,0,max_only,Max-only,0.1,0.35395715070614286,0.07463653418587335,0.2793206165202695,0.7891345797886778,0,51,275
Earthquakes,10,0,0,min_only,Min-only,0.1,0.35395715070614286,0.4569515629386457,-0.10299441223250283,-0.290979066386888,0,51,223
Earthquakes,10,0,0,min_activation_scaled,Activation-scaled min,0.1,0.35395715070614286,0.06514618869502153,0.28881096201112133,0.8159466350328322,0,51,274
