dataset,sample_idx,true_label,pred_before,variant,variant_label,fraction,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,window_length,window_start
PigAirwayPressure,0,0,0,max_only,Max-only,0.1,-0.1029227622147233,-0.33471462805859564,0.23179186584387235,1.0,0,200,1512
PigAirwayPressure,0,0,0,min_only,Min-only,0.1,-0.1029227622147233,-0.25656831435761174,0.15364555214288844,1.0,0,200,956
PigAirwayPressure,0,0,0,min_activation_scaled,Activation-scaled min,0.1,-0.1029227622147233,-0.37432910974789146,0.27140634753316817,1.0,0,200,349
PigAirwayPressure,0,0,0,combined,Combined,0.1,-0.1029227622147233,-0.2565683035593306,0.15364554134460728,1.0,0,200,956
PigAirwayPressure,1,0,0,max_only,Max-only,0.1,-0.2690329821332196,-0.4128003539603543,0.14376737182713473,0.5343836889569749,0,200,1771
PigAirwayPressure,1,0,0,min_only,Min-only,0.1,-0.2690329821332196,-0.39928576065991395,0.13025277852669437,0.4841499110777617,0,200,1108
PigAirwayPressure,1,0,0,min_activation_scaled,Activation-scaled min,0.1,-0.2690329821332196,-0.546422475093689,0.27738949296046944,1.0,0,200,556
PigAirwayPressure,1,0,0,combined,Combined,0.1,-0.2690329821332196,-0.3992857672378881,0.13025278510466853,0.4841499355281085,0,200,1108
PigAirwayPressure,2,0,0,max_only,Max-only,0.1,-0.28774864357164087,-0.4718769662132326,0.18412832264159174,0.6398907062268852,1,200,1719
PigAirwayPressure,2,0,0,min_only,Min-only,0.1,-0.28774864357164087,-0.42952469687692607,0.1417760533052852,0.4927062690522058,1,200,1093
PigAirwayPressure,2,0,0,min_activation_scaled,Activation-scaled min,0.1,-0.28774864357164087,-0.5420018768849286,0.25425323331328775,0.8835918271085069,1,200,528
PigAirwayPressure,2,0,0,combined,Combined,0.1,-0.28774864357164087,-0.42952469952850036,0.1417760559568595,0.4927062782670714,1,200,1093
PigAirwayPressure,3,0,0,max_only,Max-only,0.1,-0.3934134531143717,-0.6933492280364311,0.29993577492205936,0.7623913472107833,1,200,802
PigAirwayPressure,3,0,0,min_only,Min-only,0.1,-0.3934134531143717,-0.49186062995929997,0.09844717684492826,0.2502378244256017,0,200,367
