dataset,sample_idx,true_label,pred_before,variant,variant_label,fraction,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,window_length,window_start
RefrigerationDevices,0,0,0,max_only,Max-only,0.1,1.7250998710950844,1.2955638449895448,0.42953602610553965,0.24899183189958776,0,72,474
RefrigerationDevices,0,0,0,min_only,Min-only,0.1,1.7250998710950844,1.4825709632158408,0.24252890787924364,0.14058824729784505,0,72,71
RefrigerationDevices,0,0,0,min_activation_scaled,Activation-scaled min,0.1,1.7250998710950844,1.5348088917897231,0.19029097930536132,0.11030716087028909,0,72,364
RefrigerationDevices,0,0,0,combined,Combined,0.1,1.7250998710950844,1.4283363337498223,0.2967635373452622,0.17202677380649536,0,72,75
RefrigerationDevices,1,0,0,max_only,Max-only,0.1,1.2119870652961282,1.0264756353746758,0.18551142992145242,0.15306374314513232,0,72,47
RefrigerationDevices,1,0,0,min_only,Min-only,0.1,1.2119870652961282,0.9885192264590132,0.22346783883711496,0.18438122060427592,0,72,137
RefrigerationDevices,1,0,0,min_activation_scaled,Activation-scaled min,0.1,1.2119870652961282,1.1946894503206906,0.01729761497543758,0.01427210008970774,0,72,227
RefrigerationDevices,1,0,0,combined,Combined,0.1,1.2119870652961282,0.9993171594260486,0.2126699058700796,0.17547194725726728,0,72,135
RefrigerationDevices,2,0,0,max_only,Max-only,0.1,1.2088579966716222,0.8066343714991466,0.40222362517247556,0.33272997618409317,0,72,186
RefrigerationDevices,2,0,0,min_only,Min-only,0.1,1.2088579966716222,1.1719034520190028,0.03695454465261938,0.030569772615637668,0,72,528
RefrigerationDevices,2,0,0,min_activation_scaled,Activation-scaled min,0.1,1.2088579966716222,1.116785530340637,0.09207246633098509,0.07616476907934691,0,72,261
RefrigerationDevices,2,0,0,combined,Combined,0.1,1.2088579966716222,0.8537007209929437,0.3551572756786785,0.2937954522872732,0,72,203
RefrigerationDevices,3,0,0,max_only,Max-only,0.1,1.261706053175516,1.09359532423987,0.16811072893564605,0.13324069839550956,0,72,546
RefrigerationDevices,3,0,0,min_only,Min-only,0.1,1.261706053175516,1.0650582351867126,0.19664781798880338,0.15585853902763888,0,72,218
RefrigerationDevices,3,0,0,min_activation_scaled,Activation-scaled min,0.1,1.261706053175516,1.158975976946754,0.10273007622876196,0.08142149635306127,0,72,157
RefrigerationDevices,3,0,0,combined,Combined,0.1,1.261706053175516,1.0650582098777297,0.19664784329778628,0.15585855908695678,0,72,218
RefrigerationDevices,4,0,0,max_only,Max-only,0.1,1.3235995784062689,0.9853022982024051,0.33829728020386374,0.25558864639603235,0,72,470
RefrigerationDevices,4,0,0,min_only,Min-only,0.1,1.3235995784062689,1.1005366213945946,0.22306295701167422,0.16852739463159014,0,72,93
RefrigerationDevices,4,0,0,min_activation_scaled,Activation-scaled min,0.1,1.3235995784062689,1.3370318608242664,-0.013432282417997543,-0.010148289927593708,0,72,348
RefrigerationDevices,4,0,0,combined,Combined,0.1,1.3235995784062689,1.082513477381368,0.2410861010249008,0.18214414904169174,0,72,73
RefrigerationDevices,8,0,0,max_only,Max-only,0.1,-0.0185450058016553,-0.05073396362321808,0.03218895782156278,1.0,0,72,648
RefrigerationDevices,8,0,0,min_only,Min-only,0.1,-0.0185450058016553,-0.0339019842723885,0.015356978470733196,0.828047755132403,1,72,255
RefrigerationDevices,8,0,0,min_activation_scaled,Activation-scaled min,0.1,-0.0185450058016553,0.0006301838476765464,-0.019175189649331847,-1.0,1,72,260
RefrigerationDevices,8,0,0,combined,Combined,0.1,-0.0185450058016553,-0.3835329747620328,0.3649879689603775,1.0,1,72,96
RefrigerationDevices,10,0,0,max_only,Max-only,0.1,0.6464040031888991,0.6033556081233069,0.043048395065592215,0.06659663036830203,0,72,586
RefrigerationDevices,10,0,0,min_only,Min-only,0.1,0.6464040031888991,0.4945884582686074,0.1518155449202917,0.23486133951832455,0,72,362
RefrigerationDevices,10,0,0,min_activation_scaled,Activation-scaled min,0.1,0.6464040031888991,0.5438936766790303,0.1025103265098688,0.1585852925088084,0,72,382
RefrigerationDevices,10,0,0,combined,Combined,0.1,0.6464040031888991,0.5059507141971147,0.14045328899178444,0.21728372815632388,0,72,327
RefrigerationDevices,11,0,0,max_only,Max-only,0.1,0.9301917113324822,0.845805385376748,0.08438632595573425,0.09071918638757398,0,72,566
RefrigerationDevices,11,0,0,min_only,Min-only,0.1,0.9301917113324822,0.8181621858456132,0.11202952548686906,0.12043689885119507,0,72,207
RefrigerationDevices,11,0,0,min_activation_scaled,Activation-scaled min,0.1,0.9301917113324822,0.7741169217032631,0.15607478962921917,0.16778758608594685,0,72,349
RefrigerationDevices,11,0,0,combined,Combined,0.1,0.9301917113324822,0.8181621697145964,0.11202954161788581,0.12043691619278091,0,72,207
RefrigerationDevices,12,0,0,max_only,Max-only,0.1,1.1682393890484775,1.0680886295441814,0.10015075950429608,0.08572786940354638,0,72,312
RefrigerationDevices,12,0,0,min_only,Min-only,0.1,1.1682393890484775,0.7750945980084292,0.3931447910400483,0.3365273061311137,0,72,28
RefrigerationDevices,12,0,0,min_activation_scaled,Activation-scaled min,0.1,1.1682393890484775,0.9562294218907532,0.21200996715772424,0.18147803238544483,0,72,389
RefrigerationDevices,12,0,0,combined,Combined,0.1,1.1682393890484775,0.7708543781210675,0.39738501092740997,0.3401568843644217,0,72,36
RefrigerationDevices,13,0,0,max_only,Max-only,0.1,0.9860013885777998,0.8646011520081403,0.12140023656965959,0.12312367391398119,0,72,199
RefrigerationDevices,13,0,0,min_only,Min-only,0.1,0.9860013885777998,0.7305263279644993,0.2554750606133005,0.2591018678786318,0,72,316
RefrigerationDevices,13,0,0,min_activation_scaled,Activation-scaled min,0.1,0.9860013885777998,0.851715908373651,0.13428548020414888,0.13619184066870357,0,72,281
RefrigerationDevices,13,0,0,combined,Combined,0.1,0.9860013885777998,0.843660080826995,0.1423413077508049,0.1443620313700422,0,72,185
RefrigerationDevices,14,0,0,max_only,Max-only,0.1,1.152157075886356,0.630893123156353,0.5212639527300029,0.4524239890685089,0,72,432
RefrigerationDevices,14,0,0,min_only,Min-only,0.1,1.152157075886356,0.639003973665871,0.5131531022204849,0.44538428620197446,0,72,357
RefrigerationDevices,14,0,0,min_activation_scaled,Activation-scaled min,0.1,1.152157075886356,0.9504838481257261,0.2016732277606299,0.1750395470738532,0,72,519
RefrigerationDevices,14,0,0,combined,Combined,0.1,1.152157075886356,0.6927595952453312,0.4593974806410248,0.3987278223846238,0,72,464
