dataset,sample_idx,true_label,pred_before,variant,variant_label,fraction,score_before,score_after,score_drop,bounded_relative_score_drop,flipped,window_length,window_start
Symbols,0,5,5,max_only,Max-only,0.1,0.35652514296743854,-0.21482122621688848,0.571346369184327,1.0,0,40,0
Symbols,0,5,5,min_only,Min-only,0.1,0.35652514296743854,0.12487419577665271,0.23165094719078583,0.6497446309622867,0,40,96
Symbols,0,5,5,min_activation_scaled,Activation-scaled min,0.1,0.35652514296743854,-0.21482122237562518,0.5713463653430637,1.0,0,40,0
Symbols,0,5,5,combined,Combined,0.1,0.35652514296743854,0.028075693048293937,0.3284494499191446,0.9212492727332533,0,40,81
Symbols,1,5,5,max_only,Max-only,0.1,0.6446799036168722,0.041913846398450194,0.602766057218422,0.9349835768931667,0,40,0
Symbols,1,5,5,min_only,Min-only,0.1,0.6446799036168722,0.3448590123891395,0.2998208912277327,0.4650686712536989,0,40,105
Symbols,1,5,5,min_activation_scaled,Activation-scaled min,0.1,0.6446799036168722,0.04191384956753064,0.6027660540493416,0.9349835719774316,0,40,0
Symbols,1,5,5,combined,Combined,0.1,0.6446799036168722,0.3200551556380866,0.3246247479787856,0.5035432974011388,0,40,102
Symbols,2,2,2,max_only,Max-only,0.1,0.9024870934151017,0.7415120599677028,0.16097503344739894,0.17836804122063699,0,40,154
Symbols,2,2,2,min_only,Min-only,0.1,0.9024870934151017,0.560242003380653,0.3422450900344487,0.37922393938667975,0,40,17
Symbols,2,2,2,min_activation_scaled,Activation-scaled min,0.1,0.9024870934151017,0.7445972592120855,0.15788983420301617,0.17494949280222175,0,40,158
Symbols,2,2,2,combined,Combined,0.1,0.9024870934151017,0.5590027526660111,0.3434843407490906,0.38059708848824014,0,40,16
Symbols,3,4,4,max_only,Max-only,0.1,0.3623893251865532,0.5174569954210145,-0.15506767023446133,-0.4279023457776771,0,40,308
Symbols,3,4,4,min_only,Min-only,0.1,0.3623893251865532,0.14333544396536568,0.21905388122118752,0.6044694518498026,0,40,256
Symbols,3,4,4,min_activation_scaled,Activation-scaled min,0.1,0.3623893251865532,0.5174569946477862,-0.15506766946123296,-0.42790234364398777,0,40,308
Symbols,3,4,4,combined,Combined,0.1,0.3623893251865532,0.15415349106993226,0.20823583411662094,0.5746175315508885,0,40,258
Symbols,4,2,2,max_only,Max-only,0.1,1.0070523789389454,0.8341468436345396,0.17290553530440578,0.1716945088715983,0,40,163
Symbols,4,2,2,min_only,Min-only,0.1,1.0070523789389454,0.8057939747086087,0.2012584042303367,0.19984879494906932,0,40,336
Symbols,4,2,2,min_activation_scaled,Activation-scaled min,0.1,1.0070523789389454,0.8707498365677966,0.1363025423711488,0.13534788246752155,0,40,155
Symbols,4,2,2,combined,Combined,0.1,1.0070523789389454,0.8057939754456274,0.20125840349331803,0.19984879421721272,0,40,336
Symbols,5,5,5,max_only,Max-only,0.1,0.6104078027243345,0.13268224847073884,0.47772555425359564,0.7826321509805295,0,40,0
Symbols,5,5,5,min_only,Min-only,0.1,0.6104078027243345,0.3786744718332522,0.23173333089108228,0.3796362861361534,0,40,149
Symbols,5,5,5,min_activation_scaled,Activation-scaled min,0.1,0.6104078027243345,0.1326822476298679,0.47772555509446657,0.7826321523580833,0,40,0
Symbols,5,5,5,combined,Combined,0.1,0.6104078027243345,0.36778043512171776,0.24262736760261672,0.3974834021392532,0,40,128
Symbols,6,4,4,max_only,Max-only,0.1,0.21990305701154145,0.060384140456333,0.15951891655520845,0.7254023355596221,0,40,68
Symbols,6,4,4,min_only,Min-only,0.1,0.21990305701154145,-0.05241708906836906,0.2723201460799105,1.0,0,40,117
Symbols,6,4,4,min_activation_scaled,Activation-scaled min,0.1,0.21990305701154145,0.5293186720385031,-0.3094156150269617,-1.0,0,40,83
Symbols,6,4,4,combined,Combined,0.1,0.21990305701154145,-0.0524170816828613,0.27232013869440275,1.0,0,40,117
Symbols,7,2,2,max_only,Max-only,0.1,0.7921108127910796,0.6946432877332445,0.09746752505783518,0.12304768529382144,0,40,124
Symbols,7,2,2,min_only,Min-only,0.1,0.7921108127910796,0.42752484138187885,0.3645859714092008,0.4602708424768319,0,40,269
Symbols,7,2,2,min_activation_scaled,Activation-scaled min,0.1,0.7921108127910796,0.7004880187707594,0.09162279402032025,0.11566901609190604,0,40,125
Symbols,7,2,2,combined,Combined,0.1,0.7921108127910796,0.42752484513012345,0.3645859676609562,0.4602708377448679,0,40,269
Symbols,8,5,5,max_only,Max-only,0.1,0.5369864393609234,0.15080788993342875,0.38617854942749463,0.7191575093210585,0,40,0
Symbols,8,5,5,min_only,Min-only,0.1,0.5369864393609234,0.36718022511625414,0.16980621424466924,0.31622008597958656,0,40,139
Symbols,8,5,5,min_activation_scaled,Activation-scaled min,0.1,0.5369864393609234,0.15080789751442691,0.38617854184649647,0.7191574952034133,0,40,0
Symbols,8,5,5,combined,Combined,0.1,0.5369864393609234,0.3430022585072763,0.1939841808536471,0.3612452855219677,0,40,134
Symbols,9,4,4,max_only,Max-only,0.1,0.991635109918713,0.8829843407042303,0.10865076921448269,0.10956717703976016,0,40,201
Symbols,9,4,4,min_only,Min-only,0.1,0.991635109918713,0.4769922210085388,0.5146428889101742,0.5189836107847674,0,40,234
Symbols,9,4,4,min_activation_scaled,Activation-scaled min,0.1,0.991635109918713,1.0723877859254531,-0.08075267600674019,-0.08143377918474519,0,40,103
Symbols,9,4,4,combined,Combined,0.1,0.991635109918713,0.4886584485974862,0.5029766613212268,0.507218985160249,0,40,232
Symbols,10,0,0,max_only,Max-only,0.1,1.0864018412415035,0.7279326697016271,0.35846917153987645,0.3299597146949932,0,40,155
Symbols,10,0,0,min_only,Min-only,0.1,1.0864018412415035,0.24501514459750362,0.8413866966439999,0.774470265267801,0,40,247
Symbols,10,0,0,min_activation_scaled,Activation-scaled min,0.1,1.0864018412415035,0.510598880111578,0.5758029611299256,0.5300087032835057,0,40,0
Symbols,10,0,0,combined,Combined,0.1,1.0864018412415035,0.24501514320107431,0.8413866980404292,0.7744702665531707,0,40,247
Symbols,11,2,2,max_only,Max-only,0.1,0.8777539987837288,0.7114313738684013,0.16632262491532757,0.18948638873694185,0,40,144
